k,E1,E2,E3,E4,E5,E6,E7,E8
0.0,0.803,0.803,0.803,4.9969,8.0586,8.0586,8.0586,8.9003
0.01,0.8025,0.8029,0.8029,4.9977,8.0579,8.0592,8.0592,8.9005
0.02,0.801,0.8027,0.8027,5.0001,8.0558,8.061,8.061,8.901
0.03,0.7986,0.8025,0.8025,5.004,8.0522,8.0639,8.0639,8.902
0.04,0.7952,0.8021,0.8021,5.0095,8.0472,8.0681,8.0681,8.9033
0.05,0.7909,0.8016,0.8016,5.0166,8.0409,8.0734,8.0734,8.905
0.06,0.7856,0.801,0.801,5.0252,8.0332,8.0799,8.0799,8.907
0.07,0.7795,0.8003,0.8003,5.0353,8.0241,8.0875,8.0875,8.9094
0.08,0.7725,0.7995,0.7995,5.0468,8.0138,8.0964,8.0964,8.9122
0.09,0.7647,0.7986,0.7986,5.0598,8.0023,8.1064,8.1064,8.9154
0.1,0.7561,0.7976,0.7976,5.0742,7.9896,8.1175,8.1175,8.9189
0.11,0.7467,0.7965,0.7965,5.0899,7.9757,8.1299,8.1299,8.9229
0.12,0.7366,0.7953,0.7953,5.107,7.9608,8.1433,8.1433,8.9271
0.13,0.7259,0.794,0.794,5.1253,7.9448,8.158,8.158,8.9318
0.14,0.7145,0.7926,0.7926,5.1448,7.9279,8.1737,8.1737,8.9367
0.15,0.7026,0.7912,0.7912,5.1656,7.91,8.1906,8.1906,8.9421
0.16,0.6901,0.7896,0.7896,5.1874,7.8913,8.2087,8.2087,8.9478
0.17,0.6772,0.788,0.788,5.2103,7.8718,8.2278,8.2278,8.9539
0.18,0.6638,0.7862,0.7862,5.2343,7.8515,8.2481,8.2481,8.9603
0.19,0.6501,0.7845,0.7845,5.2592,7.8306,8.2695,8.2695,8.967
0.2,0.6361,0.7826,0.7826,5.285,7.809,8.2919,8.2919,8.9741
0.21,0.6217,0.7807,0.7807,5.3117,7.7869,8.3155,8.3155,8.9816
0.22,0.6072,0.7786,0.7786,5.3393,7.7642,8.3401,8.3401,8.9894
0.23,0.5925,0.7766,0.7766,5.3676,7.7411,8.3659,8.3659,8.9975
0.24,0.5777,0.7745,0.7745,5.3966,7.7175,8.3926,8.3926,9.0059
0.25,0.5628,0.7723,0.7723,5.4264,7.6936,8.4205,8.4205,9.0147
0.26,0.5479,0.7701,0.7701,5.4567,7.6694,8.4493,8.4493,9.0238
0.27,0.533,0.7678,0.7678,5.4877,7.6448,8.4792,8.4792,9.0332
