k,E1,E2,E3,E4,E5,E6,E7,E8
0.0,0.803,0.803,0.803,4.9969,8.0586,8.0586,8.0586,8.9003
0.0099703012303776,0.8021,0.8027,0.8028,4.9985,8.0578,8.0592,8.0598,8.9009
0.02001131381699901,0.7997,0.8019,0.8025,5.0032,8.0555,8.0608,8.0634,8.9028
0.02998161504737661,0.7956,0.8006,0.802,5.0111,8.0516,8.0634,8.0693,8.906
0.04002262763399802,0.7899,0.7988,0.8012,5.0221,8.0463,8.0671,8.0775,8.9105
0.04999292886437562,0.7827,0.7965,0.8002,5.0362,8.0395,8.0719,8.0881,8.9162
0.06003394145099704,0.7739,0.7937,0.799,5.0533,8.0314,8.0778,8.101,8.9232
0.07000424268137463,0.7637,0.7904,0.7976,5.0733,8.0221,8.0847,8.1163,8.9314
0.07997454391175224,0.7522,0.7866,0.796,5.0962,8.0117,8.0927,8.1338,8.9409
0.09001555649837364,0.7393,0.7824,0.7942,5.1219,8.0003,8.1017,8.1537,8.9517
0.09998585772875124,0.7253,0.7777,0.7921,5.1503,7.988,8.1118,8.1757,8.9636
0.11002687031537264,0.7101,0.7726,0.7898,5.1813,7.9749,8.123,8.2,8.9768
0.11999717154575025,0.6939,0.7672,0.7874,5.2148,7.9613,8.1352,8.2265,8.9912
0.12996747277612786,0.6767,0.7613,0.7847,5.2507,7.9472,8.1484,8.2552,9.0067
0.14000848536274926,0.6587,0.7551,0.7818,5.2888,7.9327,8.1627,8.286,9.0234
0.14997878659312688,0.64,0.7486,0.7787,5.3291,7.918,8.1781,8.3188,9.0413
0.1600197991797483,0.6206,0.7418,0.7754,5.3715,7.9032,8.1945,8.3537,9.0602
0.16999010041012588,0.6007,0.7347,0.7719,5.4158,7.8884,8.2119,8.3906,9.0803
0.1800311129967473,0.5804,0.7274,0.7681,5.462,7.8738,8.2304,8.4294,9.1013
0.19000141422712488,0.5597,0.7198,0.7642,5.5099,7.8595,8.2499,8.4701,9.1234
0.19997171545750247,0.5387,0.712,0.7601,5.5593,7.8455,8.2705,8.5126,9.1464
0.21001272804412388,0.5176,0.7041,0.7559,5.6103,7.832,8.2921,8.5569,9.1702
0.2199830292745015,0.4964,0.6961,0.7514,5.6627,7.819,8.3147,8.6028,9.1949
0.2300240418611229,0.4753,0.6879,0.7467,5.7164,7.8067,8.3383,8.6503,9.2203
0.2399943430915005,0.4542,0.6797,0.7419,5.7712,7.7951,8.3629,8.6993,9.2464
0.25003535567812196,0.4332,0.6714,0.7369,5.8272,7.7843,8.3886,8.7497,9.273
0.2600056569084995,0.4125,0.6631,0.7317,5.8841,7.7743,8.4153,8.8014,9.3
0.2699759581388771,0.3922,0.6549,0.7263,5.942,7.7653,8.4429,8.8544,9.3272
0.2800169707254985,0.3722,0.6466,0.7208,6.0006,7.7572,8.4716,8.9084,9.3546
0.28998727195587615,0.3526,0.6384,0.7151,6.0599,7.7502,8.5012,8.9634,9.3819
0.3000282845424976,0.3336,0.6304,0.7093,6.1199,7.7443,8.5319,9.0192,9.409
0.30999858577287515,0.3151,0.6224,0.7034,6.1804,7.7394,8.5635,9.0758,9.4355
0.31996888700325277,0.2972,0.6146,0.6973,6.2413,7.7357,8.596,9.1329,9.4612
0.33000989958987414,0.2799,0.6069,0.691,6.3026,7.7333,8.6296,9.1904,9.4858
0.33998020082025177,0.2634,0.5994,0.6847,6.3641,7.732,8.664,9.248,9.509
0.35002121340687314,0.2476,0.5921,0.6782,6.4258,7.732,8.6995,9.3057,9.5304
0.35999151463725076,0.2327,0.5851,0.6716,6.4876,7.7332,8.7358,9.363,9.5497
0.37003252722387214,0.2185,0.5783,0.665,6.5494,7.7358,8.7731,9.4197,9.5666
0.38000282845424976,0.2052,0.5718,0.6582,6.6111,7.7396,8.8113,9.4751,9.5809
0.3899731296846274,0.1927,0.5656,0.6513,6.6726,7.7448,8.8503,9.5275,9.5937
0.40001414227124876,0.1812,0.5596,0.6444,6.7338,7.7513,8.8903,9.5687,9.6123
0.4099844435016264,0.1707,0.554,0.6374,6.7945,7.7592,8.9311,9.5835,9.6514
0.42002545608824776,0.161,0.5487,0.6303,6.8547,7.7683,8.9728,9.583,9.6988
0.4299957573186254,0.1524,0.5438,0.6231,6.9143,7.7789,9.0154,9.5753,9.7461
0.44003676990524676,0.1447,0.5392,0.616,6.9731,7.7908,9.0587,9.5617,9.791
0.4500070711356244,0.1381,0.535,0.6088,7.0309,7.804,9.1029,9.5426,9.8327
0.459977372366002,0.1324,0.5311,0.6015,7.0875,7.8186,9.1479,9.5186,9.8703
0.4700183849526234,0.1278,0.5276,0.5942,7.1429,7.8346,9.1936,9.4899,9.9031
0.479988686183001,0.1242,0.5245,0.587,7.1967,7.8518,9.2401,9.4572,9.9302
0.4900296987696224,0.1217,0.5218,0.5797,7.2487,7.8704,9.2873,9.4211,9.951
0.5,0.1201,0.5195,0.5724,7.2986,7.8904,9.3352,9.3823,9.9648
0.5099703012303776,0.1196,0.5175,0.5651,7.3462,7.9116,9.3418,9.3838,9.9709
0.520011313816999,0.1201,0.516,0.5579,7.391,7.9342,9.3003,9.4331,9.9691
0.5299816150473767,0.1216,0.5148,0.5506,7.4326,7.958,9.2588,9.483,9.9591
0.5400226276339981,0.1242,0.5141,0.5435,7.4706,7.9831,9.2181,9.5334,9.9412
0.5499929288643757,0.1277,0.5137,0.5363,7.5044,8.0095,9.1793,9.5845,9.9155
0.560033941450997,0.1321,0.5137,0.5292,7.5337,8.037,9.1431,9.636,9.8826
0.5700042426813747,0.1376,0.514,0.5222,7.5577,8.0659,9.1104,9.6881,9.8432
0.5799745439117523,0.144,0.5147,0.5152,7.5761,8.0959,9.0819,9.7406,9.7979
0.5900155564983737,0.1512,0.5083,0.5158,7.5885,8.127,9.0583,9.7476,9.7935
0.5999858577287513,0.1594,0.5015,0.5172,7.5944,8.1594,9.04,9.6932,9.8467
0.6100268703153727,0.1684,0.4948,0.519,7.5938,8.1928,9.0271,9.6354,9.9003
0.6199971715457503,0.1783,0.4882,0.521,7.5867,8.2274,9.0195,9.5752,9.9541
0.6300381841323717,0.1889,0.4817,0.5234,7.5734,8.263,9.0167,9.5136,10.0081
0.6400084853627493,0.2003,0.4753,0.5261,7.5543,8.2996,9.0175,9.4519,10.0623
0.6499787865931269,0.2125,0.469,0.529,7.5299,8.3373,9.0201,9.3922,10.1165
0.6600197991797483,0.2253,0.4628,0.5322,7.501,8.3759,9.0213,9.3374,10.1708
0.669990100410126,0.2387,0.4567,0.5357,7.468,8.4155,9.0158,9.2926,10.225
0.6800311129967473,0.2527,0.4508,0.5393,7.4318,8.456,8.9971,9.2641,10.279
0.6900014142271249,0.2673,0.445,0.5432,7.393,8.4973,8.9616,9.2553,10.3329
0.6999717154575025,0.2824,0.4394,0.5472,7.3521,8.5394,8.9122,9.2629,10.3864
0.710012728044124,0.2979,0.4339,0.5515,7.3097,8.5823,8.8543,9.2814,10.4395
0.7199830292745015,0.3138,0.4285,0.5558,7.2663,8.6259,8.7918,9.3065,10.4922
0.7300240418611229,0.33,0.4233,0.5603,7.2222,8.6702,8.7273,9.3358,10.5442
0.7399943430915006,0.3465,0.4183,0.5649,7.1778,8.6619,8.715,9.3677,10.5956
0.750035355678122,0.3631,0.4134,0.5696,7.1334,8.5967,8.7604,9.4012,10.5621
0.7600056569084995,0.38,0.4087,0.5743,7.0893,8.5322,8.8062,9.4356,10.5102
0.7699759581388771,0.3969,0.4041,0.579,7.0457,8.4687,8.8525,9.4705,10.4601
0.7800169707254986,0.3997,0.4138,0.5838,7.0028,8.4066,8.899,9.5056,10.4118
0.7899872719558761,0.3955,0.4306,0.5885,6.9608,8.3461,8.9457,9.5404,10.3654
0.8000282845424975,0.3915,0.4474,0.5932,6.92,8.2875,8.9926,9.5748,10.3208
0.8099985857728752,0.3877,0.4639,0.5979,6.8803,8.2308,9.0394,9.6085,10.2782
0.8200395983594966,0.384,0.4801,0.6024,6.8419,8.1764,9.0861,9.6414,10.2376
0.8300098995898741,0.3806,0.496,0.6069,6.805,8.1242,9.1326,9.6733,10.1989
0.8399802008202517,0.3773,0.5115,0.6113,6.7696,8.0744,9.1786,9.704,10.1623
0.8500212134068732,0.3742,0.5265,0.6154,6.7359,8.0272,9.224,9.7335,10.1277
0.8599915146372508,0.3713,0.5409,0.6195,6.704,7.9826,9.2687,9.7616,10.0952
0.8700325272238721,0.3686,0.5547,0.6233,6.6739,7.9407,9.3123,9.7882,10.0649
0.8800028284542498,0.366,0.5677,0.627,6.6457,7.9017,9.3547,9.8132,10.0367
0.8900438410408712,0.3637,0.5801,0.6304,6.6194,7.8655,9.3957,9.8365,10.0106
0.9000141422712488,0.3616,0.5915,0.6336,6.5952,7.8322,9.4348,9.858,9.9867
0.9099844435016263,0.3597,0.6021,0.6365,6.5732,7.8019,9.4719,9.8778,9.9651
0.9200254560882478,0.358,0.6118,0.6391,6.5532,7.7747,9.5065,9.8956,9.9457
0.9299957573186254,0.3564,0.6204,0.6415,6.5355,7.7506,9.5383,9.9114,9.9285
0.9400367699052468,0.3551,0.628,0.6436,6.5201,7.7296,9.567,9.9135,9.9253
0.9500070711356244,0.354,0.6345,0.6454,6.507,7.7118,9.5921,9.9009,9.9371
0.959977372366002,0.3531,0.6398,0.6469,6.4962,7.6972,9.6132,9.8905,9.9468
0.9700183849526234,0.3524,0.644,0.648,6.4877,7.6858,9.6301,9.8825,9.9544
0.979988686183001,0.3519,0.6471,0.6488,6.4817,7.6776,9.6424,9.8767,9.9598
0.9900296987696224,0.3516,0.6489,0.6493,6.4781,7.6727,9.6498,9.8732,9.9631
1.0,0.3515,0.6495,0.6495,6.4769,7.6711,9.6523,9.8721,9.9641
