,0,1,2,3,4,5,6
0,0.0,-0.0,-0.0,0.0,8.616065868263473,8.616065868263473,8.616065868263473
1,0.01,0.0542125748502994,0.0542125748502994,0.08234431137724552,8.615763473053892,8.615763473053892,8.61622754491018
2,0.02,0.10839520958083833,0.10839520958083833,0.16468263473053893,8.614853293413175,8.614853293413175,8.616706586826348
3,0.03,0.16252994011976046,0.16252994011976046,0.2470059880239521,8.613332335329341,8.613332335329341,8.617497005988024
4,0.04,0.2165808383233533,0.2165808383233533,0.32931437125748503,8.611191616766469,8.611191616766469,8.618580838323354
5,0.05,0.27052694610778444,0.27052694610778444,0.4115958083832335,8.608422155688624,8.608422155688624,8.619937125748503
6,0.06,0.3243413173652695,0.3243413173652695,0.49384730538922156,8.605011976047905,8.605011976047905,8.621544910179642
7,0.07,0.37798802395209585,0.37798802395209585,0.576062874251497,8.60094610778443,8.60094610778443,8.623368263473054
8,0.08,0.4314431137724551,0.4314431137724551,0.6582335329341318,8.596215568862277,8.596215568862277,8.625374251497005
9,0.09,0.48467365269461077,0.48467365269461077,0.7403562874251498,8.590796407185628,8.590796407185628,8.627523952095808
10,0.1,0.5376467065868263,0.5376467065868263,0.8224221556886229,8.584676646706587,8.584676646706587,8.629772455089821
11,0.11,0.5903293413173653,0.5903293413173653,0.9044251497005988,8.577844311377246,8.577844311377246,8.632077844311377
12,0.12,0.6426886227544911,0.6426886227544911,0.9863592814371258,8.570275449101798,8.570275449101798,8.634389221556887
13,0.13,0.6946826347305389,0.6946826347305389,1.0682215568862277,8.561964071856288,8.561964071856288,8.636658682634732
14,0.14,0.7462754491017964,0.7462754491017964,1.15,8.552898203592816,8.552898203592816,8.638838323353294
15,0.15,0.7974281437125749,0.7974281437125749,1.231688622754491,8.54306886227545,8.54306886227545,8.640877245508982
16,0.16,0.8481017964071856,0.8481017964071856,1.3132814371257484,8.532473053892216,8.532473053892216,8.642721556886228
17,0.17,0.898248502994012,0.898248502994012,1.3947754491017965,8.52110778443114,8.52110778443114,8.644329341317365
18,0.18,0.9478263473053893,0.9478263473053893,1.4761586826347306,8.508979041916168,8.508979041916168,8.645652694610778
19,0.19,0.9967904191616767,0.9967904191616767,1.5574251497005989,8.49609880239521,8.49609880239521,8.646640718562875
20,0.2,1.0450958083832336,1.0450958083832336,1.6385688622754493,8.482476047904193,8.482476047904193,8.64725748502994
21,0.21,1.092691616766467,1.092691616766467,1.7195808383233533,8.468134730538921,8.468134730538921,8.647461077844312
22,0.22,1.1395329341317366,1.1395329341317366,1.8004550898203593,8.453101796407186,8.453101796407186,8.647215568862276
23,0.23,1.1855718562874253,1.1855718562874253,1.881182634730539,8.437407185628743,8.437407185628743,8.646488023952097
24,0.24,1.2307604790419162,1.2307604790419162,1.9617574850299402,8.421089820359283,8.421089820359283,8.645251497005988
25,0.25,1.2750449101796408,1.2750449101796408,2.0421706586826347,8.404194610778443,8.404194610778443,8.64347904191617
26,0.26,1.3183862275449103,1.3183862275449103,2.1224131736526948,8.38677245508982,8.38677245508982,8.641149700598802
27,0.27,1.3607305389221558,1.3607305389221558,2.2024790419161677,8.368877245508983,8.368877245508983,8.638245508982036
28,0.28,1.4020389221556886,1.4020389221556886,2.282359281437126,8.350568862275448,8.350568862275448,8.63475748502994
29,0.29,1.4422634730538921,1.4422634730538921,2.362044910179641,8.331913173652696,8.331913173652696,8.630667664670659
30,0.3,1.4813622754491018,1.4813622754491018,2.4415269461077846,8.312976047904192,8.312976047904192,8.625976047904192
31,0.31,1.5192994011976049,1.5192994011976049,2.5207964071856286,8.293835329341317,8.293835329341317,8.620676646706588
32,0.32,1.5560389221556887,1.5560389221556887,2.599844311377246,8.27455988023952,8.27455988023952,8.61477245508982
33,0.33,1.5915479041916167,1.5915479041916167,2.6786646706586827,8.25522754491018,8.25522754491018,8.608260479041917
34,0.34,1.6257964071856288,1.6257964071856288,2.757245508982036,8.235916167664671,8.235916167664671,8.601146706586826
35,0.35,1.6587604790419161,1.6587604790419161,2.835577844311377,8.216700598802396,8.216700598802396,8.593440119760478
36,0.36,1.6904251497005989,1.6904251497005989,2.9136497005988025,8.197661676646707,8.197661676646707,8.585146706586826
37,0.37,1.7207694610778443,1.7207694610778443,2.9914550898203593,8.178868263473055,8.178868263473055,8.576275449101798
38,0.38,1.7497844311377246,1.7497844311377246,3.06898502994012,8.160398203592814,8.160398203592814,8.566835329341318
39,0.39,1.7774700598802395,1.7774700598802395,3.1462245508982036,8.142314371257486,8.142314371257486,8.556838323353293
40,0.4,1.8038233532934134,1.8038233532934134,3.2231706586826347,8.124685628742515,8.124685628742515,8.546296407185629
41,0.41,1.8288502994011977,1.8288502994011977,3.299805389221557,8.10756886227545,8.10756886227545,8.535215568862276
42,0.42,1.852562874251497,1.8525658682634731,3.376122754491018,8.091017964071856,8.091017964071856,8.523610778443114
43,0.43,1.874982035928144,1.874982035928144,3.4521107784431138,8.075080838323354,8.075080838323354,8.51148502994012
44,0.44,1.896122754491018,1.896122754491018,3.5277604790419166,8.059802395209582,8.059802395209582,8.498853293413173
45,0.45,1.9160179640718562,1.9160179640718562,3.6030598802395213,8.0452125748503,8.0452125748503,8.485718562874252
46,0.46,1.934694610778443,1.934694610778443,3.6779970059880243,8.03134131736527,8.03134131736527,8.472089820359281
47,0.47,1.952191616766467,1.952191616766467,3.752562874251497,8.018206586826349,8.018206586826349,8.457970059880239
48,0.48,1.9685449101796406,1.9685449101796406,3.82674251497006,8.00582634730539,8.00582634730539,8.443362275449102
