0.42	-5.204600	-5.185500	-3.788500	-3.461600	-3.332100	-2.115700	-0.412600	1.622500	2.472700	2.675600	4.231400
0.43	-5.248200	-5.150500	-3.842600	-3.511200	-3.310500	-2.165900	-0.367700	1.581800	2.457900	2.750500	4.264100
0.44	-5.285400	-5.108100	-3.912600	-3.544100	-3.289300	-2.211700	-0.325100	1.540300	2.442300	2.819900	4.295100
0.45	-5.316200	-5.059200	-3.991800	-3.565700	-3.269400	-2.252200	-0.286100	1.500400	2.426700	2.881700	4.323300
0.46	-5.340800	-5.005600	-4.073400	-3.580300	-3.251700	-2.286600	-0.252200	1.464300	2.412100	2.934000	4.348000
0.47	-5.359500	-4.950400	-4.151600	-3.590700	-3.237100	-2.313900	-0.224500	1.434000	2.399300	2.975400	4.368200
0.48	-5.372400	-4.898700	-4.219500	-3.598200	-3.226400	-2.333500	-0.204200	1.411200	2.389200	3.005100	4.383400
0.49	-5.379800	-4.859400	-4.268100	-3.603100	-3.219900	-2.345200	-0.191900	1.397200	2.382600	3.022800	4.392800
0.50	-5.382200	-4.844200	-4.286300	-3.604900	-3.217800	-2.349000	-0.187900	1.392500	2.380300	3.028500	4.396000
0.51	-5.381600	-4.848200	-4.281600	-3.604300	-3.218300	-2.348100	-0.188900	1.393700	2.380900	3.027200	4.395200
0.52	-5.380000	-4.860100	-4.268000	-3.602500	-3.219700	-2.345500	-0.191700	1.397100	2.382900	3.023100	4.392700
0.53	-5.377300	-4.879000	-4.246800	-3.599200	-3.221900	-2.341200	-0.196300	1.402700	2.386200	3.016400	4.388500
0.54	-5.373600	-4.903500	-4.219600	-3.593800	-3.224800	-2.335500	-0.202500	1.410400	2.391000	3.007300	4.382600
0.55	-5.368900	-4.932300	-4.188300	-3.586000	-3.228300	-2.328500	-0.210100	1.420000	2.397500	2.995900	4.375000
0.56	-5.363500	-4.964400	-4.154700	-3.575100	-3.232200	-2.320300	-0.219000	1.431300	2.405500	2.982400	4.365700
0.57	-5.357200	-4.998700	-4.120500	-3.560300	-3.236300	-2.311100	-0.229000	1.444200	2.415200	2.967000	4.354700
0.58	-5.350200	-5.034600	-4.087300	-3.541000	-3.240600	-2.301100	-0.239800	1.458500	2.426700	2.949800	4.342000
0.59	-5.342600	-5.071600	-4.056400	-3.516200	-3.244800	-2.290500	-0.251400	1.473900	2.440000	2.931000	4.327700
0.60	-5.334500	-5.109200	-4.028800	-3.485400	-3.248900	-2.279300	-0.263500	1.490400	2.455100	2.910700	4.311800
0.61	-5.325800	-5.147100	-4.005300	-3.448200	-3.252700	-2.267800	-0.276000	1.507800	2.472200	2.889200	4.294300
0.62	-5.316800	-5.185100	-3.986300	-3.404600	-3.256200	-2.256100	-0.288700	1.525800	2.491200	2.866600	4.275400
0.63	-5.307400	-5.223000	-3.971400	-3.355000	-3.259100	-2.244300	-0.301500	1.544300	2.512200	2.842900	4.255000
0.64	-5.297700	-5.260600	-3.960500	-3.300000	-3.261400	-2.232600	-0.314300	1.563100	2.535200	2.818500	4.233300
0.65	-5.297900	-5.287800	-3.953000	-3.263100	-3.240200	-2.220900	-0.327000	1.582100	2.560100	2.793300	4.210400
0.66	-5.334700	-5.277800	-3.948300	-3.264000	-3.176400	-2.209600	-0.339400	1.601100	2.587200	2.767600	4.186200
0.67	-5.370900	-5.267800	-3.946000	-3.264000	-3.109100	-2.198500	-0.351600	1.620100	2.616200	2.741500	4.161000
0.68	-5.406500	-5.257800	-3.945600	-3.263200	-3.038900	-2.187900	-0.363500	1.638900	2.647300	2.715000	4.134800
