mfp,kappa
0.01000000071,2.890327853e-17
0.01204503421,2.890327853e-17
0.01450828929,2.890327853e-17
0.01747528464,2.890327853e-17
0.0210490413,6.983601103e-08
0.02535364218,6.983601103e-08
0.0305385571,6.983601103e-08
0.0367837958,6.983601103e-08
0.04430620745,6.983601103e-08
0.05336699635,1.048389852e-06
0.06428073347,1.048389852e-06
0.07742635906,1.631755306e-06
0.09326034039,1.631755306e-06
0.1123324037,1.716382867e-06
0.1353047639,1.260026243e-05
0.1629751027,1.420062827e-05
0.196304068,1.943497998e-05
0.2364489287,5.913963177e-05
0.2848035991,8.273965806e-05
0.3430469334,0.0001969917797
0.4132012129,0.0003485700522
0.4977024198,0.0007827944998
0.5994842649,0.001325532746
0.7220808864,0.002662744991
0.8697491884,0.003933074363
1.047615528,0.006770061711
1.261856914,0.01269350101
1.519911289,0.02218329533
1.830737948,0.03447565561
2.205130816,0.05040045133
2.656088352,0.06441046915
3.199266672,0.09176814571
3.853528738,0.1325311997
4.641589642,0.2123961844
5.590809345,0.4093229195
6.734150887,0.6257636946
8.111310005,0.8305099823
9.770097733,1.019301642
11.76811981,1.22046703
14.17474556,1.466317372
17.07352448,1.71818028
20.56512451,1.950069302
24.77076912,2.212536029
29.83646965,2.32899598
35.93814087,2.528209257
43.28762436,2.804505094
52.1400795,2.987875067
62.8029213,3.091268214
75.64634705,3.172373446
91.11626434,3.231222201
109.7498322,3.257511115
132.1940765,3.2879461
159.2282715,3.294201751
191.7910461,3.303255183
231.0130463,3.326669338
278.256073,3.341007882
335.1601257,3.341007882
403.7016296,3.341007882
486.2601624,3.341007882
585.7021484,3.414455148
705.4804688,3.414455148
849.7539062,3.460474276
1023.53064,3.460474276
1232.846436,3.460474276
1484.968262,3.460474276
1788.649902,3.460474276
2154.435547,3.460474276
2595.022949,3.460474276
3125.714844,3.460474276
3764.935303,3.460474276
4534.878906,3.460474276
5462.278809,3.460474276
6579.334961,3.460474276
7924.825195,3.460474276
9545.481445,3.460474276
11497.56836,3.460474276
13848.86426,3.460474276
16681.00977,3.460474276
20092.33789,3.460474276
24201.27148,3.460474276
29150.52344,3.460474276
35111.91406,3.460474276
42292.43359,3.460474276
50941.39453,3.460474276
61359.10156,3.460474276
73907.1875,3.460474276
89021.48438,3.460474276
107226.7188,3.460474276
129154.9844,3.460474276
155567.6562,3.460474276
187381.8281,3.460474276
225701.8906,3.460474276
271858.7812,3.460474276
327454.9375,3.460474276
394420.6875,3.460474276
475081.1875,3.460474276
572237.0625,3.460474276
689261.0,3.460474276
830217.4375,3.460474276
1000000.0,3.460474276
