"Frequency (THz)" "Total DOS (states/unit cell/THz)" "pDOS Al (states/unit cell/THz)" "pDOS N (states/unit cell/THz)"
23.40000 0.00378 0.00091 0.00288
23.55000 0.00362 0.00090 0.00272
23.70000 0.00346 0.00089 0.00257
23.85000 0.00332 0.00088 0.00244
24.00000 0.00319 0.00087 0.00232
24.15000 0.00306 0.00085 0.00221
24.30000 0.00297 0.00085 0.00212
24.45000 0.00272 0.00079 0.00193
24.60000 0.00268 0.00079 0.00188
24.75000 0.00255 0.00077 0.00178
24.90000 0.00242 0.00074 0.00168
25.05000 0.00228 0.00071 0.00157
25.20000 0.00214 0.00067 0.00146
25.35000 0.00198 0.00063 0.00135
25.50000 0.00182 0.00059 0.00123
25.65000 0.00165 0.00054 0.00111
25.80000 0.00147 0.00048 0.00099
25.95000 0.00128 0.00042 0.00086
26.10000 0.00107 0.00036 0.00071
26.25000 0.00084 0.00028 0.00056
26.40000 0.00061 0.00021 0.00041
26.55000 0.00040 0.00014 0.00027
26.70000 0.00020 0.00007 0.00013
26.85000 0.00000 0.00000 0.00000
27.00000 0.00000 0.00000 0.00000
27.15000 0.00000 0.00000 0.00000
27.30000 0.00000 0.00000 0.00000
27.45000 0.00000 0.00000 0.00000
27.60000 0.00000 0.00000 0.00000
27.75000 0.00000 0.00000 0.00000
27.90000 0.00000 0.00000 0.00000
28.05000 0.00000 0.00000 0.00000
28.20000 0.00000 0.00000 0.00000
28.35000 0.00000 0.00000 0.00000
28.50000 0.00000 0.00000 0.00000
28.65000 0.00000 0.00000 0.00000
28.80000 0.00000 0.00000 0.00000
28.95000 0.00000 0.00000 0.00000
29.10000 0.00000 0.00000 0.00000
29.25000 0.00000 0.00000 0.00000
29.40000 0.00000 0.00000 0.00000
29.55000 0.00000 0.00000 0.00000
29.70000 0.00000 0.00000 0.00000
29.85000 0.00000 0.00000 0.00000
29.99999 0.00000 0.00000 0.00000
