# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.43434 -5.62210 -1.15930 -1.00240 -1.00240 -0.49460 -0.49460 4.69380 6.45700 10.02600 10.79000 10.79000 11.62400
0.44444 -5.59470 -1.19730 -0.99920 -0.99920 -0.49800 -0.49800 4.72270 6.46020 10.01610 10.79030 10.79030 11.58750
0.45455 -5.56670 -1.23570 -0.99600 -0.99600 -0.50160 -0.50160 4.75180 6.46330 10.00630 10.79080 10.79080 11.55100
0.46465 -5.53840 -1.27450 -0.99270 -0.99270 -0.50510 -0.50510 4.78090 6.46630 9.99650 10.79140 10.79140 11.51460
0.47475 -5.50950 -1.31360 -0.98940 -0.98940 -0.50880 -0.50880 4.81030 6.46930 9.98680 10.79220 10.79220 11.47820
0.48485 -5.48020 -1.35310 -0.98600 -0.98600 -0.51250 -0.51250 4.83970 6.47210 9.97720 10.79310 10.79310 11.44200
0.49495 -5.45050 -1.39290 -0.98250 -0.98250 -0.51630 -0.51630 4.86920 6.47470 9.96770 10.79420 10.79420 11.40590
0.50505 -5.42030 -1.43290 -0.97900 -0.97900 -0.52010 -0.52010 4.89880 6.47730 9.95830 10.79550 10.79550 11.36990
0.51515 -5.38970 -1.47330 -0.97540 -0.97540 -0.52400 -0.52400 4.92840 6.47960 9.94910 10.79700 10.79700 11.33410
0.52525 -5.35860 -1.51390 -0.97180 -0.97180 -0.52790 -0.52790 4.95810 6.48180 9.94000 10.79860 10.79860 11.29840
0.53535 -5.32720 -1.55490 -0.96810 -0.96810 -0.53190 -0.53190 4.98790 6.48390 9.93110 10.80050 10.80050 11.26290
0.54545 -5.29530 -1.59600 -0.96430 -0.96430 -0.53590 -0.53590 5.01760 6.48570 9.92250 10.80250 10.80250 11.22750
0.55556 -5.26310 -1.63740 -0.96050 -0.96050 -0.54000 -0.54000 5.04740 6.48730 9.91400 10.80480 10.80480 11.19240
0.56566 -5.23040 -1.67900 -0.95670 -0.95670 -0.54420 -0.54420 5.07710 6.48870 9.90580 10.80730 10.80730 11.15750
0.57576 -5.19740 -1.72090 -0.95280 -0.95280 -0.54840 -0.54840 5.10680 6.48990 9.89780 10.81000 10.81000 11.12270
0.58586 -5.16400 -1.76290 -0.94880 -0.94880 -0.55260 -0.55260 5.13650 6.49080 9.89020 10.81290 10.81290 11.08820
0.59596 -5.13020 -1.80520 -0.94480 -0.94480 -0.55690 -0.55690 5.16610 6.49150 9.88280 10.81600 10.81600 11.05400
0.60606 -5.09600 -1.84760 -0.94080 -0.94070 -0.56130 -0.56130 5.19570 6.49190 9.87570 10.81930 10.81930 11.02000
0.61616 -5.06150 -1.89020 -0.93660 -0.93660 -0.56570 -0.56570 5.22510 6.49190 9.86900 10.82290 10.82290 10.98630
0.62626 -5.02670 -1.93290 -0.93250 -0.93250 -0.57010 -0.57010 5.25450 6.49170 9.86260 10.82670 10.82670 10.95280
0.63636 -4.99150 -1.97580 -0.92830 -0.92830 -0.57460 -0.57460 5.28380 6.49120 9.85660 10.83070 10.83070 10.91960
0.64646 -4.95590 -2.01890 -0.92400 -0.92400 -0.57910 -0.57910 5.31300 6.49040 9.85100 10.83490 10.83490 10.88680
0.65657 -4.92010 -2.06210 -0.91970 -0.91970 -0.58370 -0.58370 5.34210 6.48920 9.84580 10.83940 10.83940 10.85420
0.66667 -4.88390 -2.10540 -0.91540 -0.91540 -0.58830 -0.58830 5.37100 6.48760 9.84110 10.82190 10.84420 10.84420
0.67677 -4.84740 -2.14880 -0.91100 -0.91100 -0.59300 -0.59290 5.39970 6.48570 9.83670 10.79000 10.84920 10.84920
0.68687 -4.81060 -2.19230 -0.90660 -0.90660 -0.59760 -0.59760 5.42830 6.48340 9.83290 10.75840 10.85440 10.85440
0.69697 -4.77350 -2.23590 -0.90210 -0.90210 -0.60240 -0.60230 5.45680 6.48060 9.82950 10.72720 10.85990 10.85990
0.70707 -4.73610 -2.27960 -0.89760 -0.89760 -0.60710 -0.60710 5.48500 6.47750 9.82660 10.69630 10.86560 10.86560
0.71717 -4.69850 -2.32340 -0.89310 -0.89300 -0.61190 -0.61190 5.51310 6.47400 9.82420 10.66590 10.87160 10.87160
0.72727 -4.66050 -2.36730 -0.88850 -0.88850 -0.61670 -0.61670 5.54090 6.47000 9.82230 10.63570 10.87780 10.87780
0.73737 -4.62230 -2.41120 -0.88380 -0.88380 -0.62160 -0.62160 5.56860 6.46560 9.82100 10.60600 10.88430 10.88430
0.74747 -4.58380 -2.45510 -0.87920 -0.87920 -0.62640 -0.62640 5.59590 6.46070 9.82020 10.57670 10.89110 10.89110
0.75758 -4.54510 -2.49920 -0.87450 -0.87450 -0.63130 -0.63130 5.62310 6.45540 9.82000 10.54780 10.89810 10.89810
0.76768 -4.50610 -2.54330 -0.86980 -0.86970 -0.63630 -0.63630 5.65000 6.44960 9.82030 10.51940 10.90530 10.90530
0.77778 -4.46680 -2.58740 -0.86500 -0.86500 -0.64120 -0.64120 5.67660 6.44330 9.82130 10.49130 10.91290 10.91290
0.78788 -4.42730 -2.63150 -0.86020 -0.86020 -0.64620 -0.64620 5.70300 6.43650 9.82280 10.46370 10.92070 10.92070
0.79798 -4.38760 -2.67570 -0.85540 -0.85540 -0.65120 -0.65120 5.72900 6.42920 9.82500 10.43660 10.92870 10.92870
0.80808 -4.34770 -2.71990 -0.85050 -0.85050 -0.65630 -0.65630 5.75480 6.42140 9.82780 10.40990 10.93700 10.93700
0.81818 -4.30750 -2.76400 -0.84560 -0.84560 -0.66130 -0.66130 5.78030 6.41310 9.83120 10.38380 10.94560 10.94560
0.82828 -4.26710 -2.80820 -0.84070 -0.84070 -0.66640 -0.66640 5.80540 6.40430 9.83520 10.35810 10.95450 10.95450
0.83838 -4.22650 -2.85240 -0.83580 -0.83580 -0.67150 -0.67150 5.83020 6.39500 9.83990 10.33290 10.96360 10.96360
0.84848 -4.18570 -2.89660 -0.83080 -0.83080 -0.67660 -0.67660 5.85470 6.38510 9.84520 10.30820 10.97300 10.97300
0.85859 -4.14470 -2.94070 -0.82580 -0.82580 -0.68170 -0.68170 5.87880 6.37470 9.85120 10.28400 10.98260 10.98270
0.86869 -4.10350 -2.98480 -0.82080 -0.82080 -0.68680 -0.68680 5.90260 6.36380 9.85790 10.26030 10.99260 10.99260
0.87879 -4.06210 -3.02890 -0.81580 -0.81580 -0.69200 -0.69200 5.92600 6.35240 9.86520 10.23720 11.00280 11.00280
0.88889 -4.02060 -3.07300 -0.81080 -0.81070 -0.69720 -0.69710 5.94900 6.34040 9.87320 10.21470 11.01320 11.01320
0.89899 -3.97890 -3.11700 -0.80570 -0.80570 -0.70230 -0.70230 5.97160 6.32790 9.88190 10.19270 11.02400 11.02400
0.90909 -3.93700 -3.16100 -0.80060 -0.80060 -0.70750 -0.70750 5.99380 6.31490 9.89120 10.17130 11.03500 11.03500
0.91919 -3.89490 -3.20490 -0.79550 -0.79550 -0.71270 -0.71270 6.01560 6.30130 9.90120 10.15040 11.04620 11.04620
0.92929 -3.85270 -3.24870 -0.79040 -0.79040 -0.71790 -0.71790 6.03700 6.28720 9.91190 10.13010 11.05780 11.05780
0.93939 -3.81040 -3.29250 -0.78530 -0.78520 -0.72310 -0.72310 6.05790 6.27260 9.92330 10.11040 11.06960 11.06960
0.94949 -3.76790 -3.33620 -0.78010 -0.78010 -0.72830 -0.72830 6.07840 6.25740 9.93530 10.09140 11.08160 11.08160
0.95960 -3.72520 -3.37980 -0.77500 -0.77490 -0.73350 -0.73350 6.09850 6.24180 9.94800 10.07290 11.09400 11.09400
0.96970 -3.68240 -3.42330 -0.76980 -0.76980 -0.73870 -0.73870 6.11810 6.22560 9.96130 10.05500 11.10660 11.10660
0.97980 -3.63950 -3.46680 -0.76460 -0.76460 -0.74390 -0.74380 6.13720 6.20890 9.97530 10.03780 11.11940 11.11940
0.98990 -3.59650 -3.51010 -0.75940 -0.75940 -0.74910 -0.74900 6.15590 6.19170 9.99000 10.02120 11.13250 11.13250
1.00000 -3.55340 -3.55340 -0.75420 -0.75420 -0.75420 -0.75420 6.17400 6.17400 10.00530 10.00530 11.14590 11.14590
