# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.55986 4.76484 5.24045 8.76647 9.13817 11.54202 14.92689 18.39244 19.64339 20.03243 20.13811 21.50528 25.49368
0.57152 4.83896 5.34546 8.81586 9.30160 11.64565 14.89807 18.40119 19.64432 20.03262 20.12755 21.51070 25.44061
0.58318 4.91158 5.45007 8.86474 9.46348 11.74600 14.87142 18.41028 19.64519 20.03287 20.11607 21.51566 25.38667
0.59485 4.98271 5.55424 8.91306 9.62377 11.84273 14.84724 18.41970 19.64598 20.03319 20.10377 21.52010 25.33184
0.60651 5.05232 5.65796 8.96076 9.78246 11.93546 14.82583 18.42947 19.64670 20.03359 20.09074 21.52397 25.27613
0.61817 5.12040 5.76119 9.00781 9.93953 12.02381 14.80751 18.43956 19.64733 20.03408 20.07706 21.52720 25.21955
0.62984 5.18694 5.86391 9.05414 10.09497 12.10739 14.79264 18.44998 19.64789 20.03468 20.06284 21.52976 25.16207
0.64150 5.25194 5.96609 9.09971 10.24874 12.18578 14.78155 18.46072 19.64836 20.03538 20.04818 21.53162 25.10371
0.65316 5.31537 6.06771 9.14449 10.40085 12.25859 14.77457 18.47179 19.64875 20.03317 20.03621 21.53274 25.04446
0.66483 5.37724 6.16873 9.18843 10.55127 12.32541 14.77203 18.48316 19.64905 20.01792 20.03715 21.53311 24.98432
0.67649 5.43754 6.26912 9.23149 10.69999 12.38592 14.77419 18.49484 19.64926 20.00252 20.03822 21.53270 24.92329
0.68816 5.49627 6.36886 9.27363 10.84698 12.43980 14.78126 18.50681 19.64940 19.98710 20.03942 21.53153 24.86137
0.69982 5.55342 6.46789 9.31483 10.99223 12.48687 14.79334 18.51907 19.64945 19.97175 20.04076 21.52959 24.79855
0.71148 5.60900 6.56619 9.35505 11.13573 12.52699 14.81048 18.53159 19.64943 19.95660 20.04222 21.52688 24.73485
