# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
0.02998 0.00163 0.00163 0.00177 0.00005 0.00005 0.00005
0.05996 0.01308 0.01308 0.01408 0.00044 0.00044 0.00047
0.08994 0.04410 0.04410 0.04750 0.00176 0.00176 0.00190
0.11992 0.10451 0.10451 0.11254 0.00490 0.00490 0.00527
0.14990 0.20414 0.20414 0.21985 0.01102 0.01102 0.01186
0.17988 0.35274 0.35274 0.37986 0.02159 0.02159 0.02325
0.20985 0.56012 0.56012 0.60322 0.03838 0.03838 0.04134
0.23983 0.83611 0.83611 0.90046 0.06345 0.06345 0.06833
0.26981 1.19049 1.19049 1.28209 0.09914 0.09914 0.10677
0.29979 1.63303 1.63303 1.75868 0.14810 0.14810 0.15949
0.32977 2.17357 2.17357 2.34082 0.21326 0.21326 0.22967
0.35975 2.82239 2.82239 3.07556 0.29787 0.29787 0.32187
0.38973 4.11538 4.11538 6.00355 0.42125 0.42125 0.50185
0.41971 6.33618 6.33618 8.85062 0.61120 0.61120 0.76719
0.44969 8.12806 8.12806 11.19845 0.85487 0.85487 1.10291
0.47967 9.57022 9.57022 13.04829 1.14178 1.14178 1.49409
0.50965 10.65641 10.65641 14.37988 1.46125 1.46125 1.92518
0.53963 11.38044 11.38044 15.17280 1.80243 1.80243 2.38005
0.56961 12.13743 12.13743 16.16288 2.16630 2.16630 2.86460
0.59958 12.91407 12.91407 17.47869 2.55345 2.55345 3.38860
0.62956 13.58019 13.58019 18.57158 2.96058 2.96058 3.94536
0.65954 14.15769 14.15769 19.40476 3.38502 3.38502 4.52710
0.68952 14.70027 14.70027 20.48500 3.82572 3.82572 5.14123
0.71950 15.46146 15.46146 22.14392 4.28924 4.28924 5.80509
0.74948 16.80733 16.80733 23.43154 4.79311 4.79311 6.50755
0.77946 18.79297 18.79297 23.53438 5.35651 5.35651 7.21309
0.80944 20.18069 20.18069 22.91529 5.96151 5.96151 7.90007
0.83942 21.41098 21.41098 22.32138 6.60340 6.60340 8.56925
0.86940 22.45650 22.45650 21.88864 7.27663 7.27663 9.22546
0.89938 23.29648 23.29648 21.66352 7.97504 7.97504 9.87491
0.92936 23.85587 23.85587 21.55578 8.69022 8.69022 10.52114
0.95934 24.08169 24.08169 21.41842 9.41217 9.41217 11.16325
0.98932 24.36406 24.36406 21.58977 10.14259 10.14259 11.81049
1.01929 24.66910 24.66910 21.89808 10.88215 10.88215 12.46698
1.04927 24.87144 24.87144 22.18455 11.62777 11.62777 13.13205
1.07925 25.00500 25.00500 22.44670 12.37741 12.37741 13.80499
1.10923 25.19436 25.19436 22.75794 13.13271 13.13271 14.48726
1.13921 25.35671 25.35671 23.19188 13.89289 13.89289 15.18253
1.16919 25.47429 25.47429 23.48575 14.65659 14.65659 15.88662
1.19917 25.55391 25.55391 23.68255 15.42268 15.42268 16.59660
1.22915 25.59821 25.59821 23.82278 16.19009 16.19009 17.31079
1.25913 25.60451 25.60451 23.96081 16.95770 16.95770 18.02912
1.28911 25.56255 25.56255 24.06615 17.72404 17.72404 18.75060
1.31909 25.44320 25.44320 24.10701 18.48681 18.48681 19.47331
1.34907 25.28853 25.28853 24.12576 19.24494 19.24494 20.19658
1.37905 25.15497 25.15497 24.07616 19.99907 19.99907 20.91837
1.40902 25.05930 25.05930 23.95934 20.75033 20.75033 21.63665
1.43900 25.03062 25.03062 23.82255 21.50073 21.50073 22.35083
1.46898 25.16514 25.16514 24.40872 22.25516 22.25516 23.08259
1.49896 25.36361 25.36361 24.58151 23.01554 23.01554 23.81952
1.52894 25.64387 25.64387 24.75079 23.78432 23.78432 24.56153
1.55892 25.99725 25.99725 24.94959 24.56370 24.56370 25.30950
1.58890 26.42398 26.42398 25.20427 25.35587 25.35587 26.06511
1.61888 26.91479 26.91479 25.48783 26.16276 26.16276 26.82922
1.64886 27.45990 27.45990 25.81639 26.98598 26.98598 27.60317
1.67884 28.03163 28.03163 26.22718 27.82635 27.82635 28.38944
1.70882 28.59969 28.59969 26.63476 28.68375 28.68375 29.18793
1.73880 29.17782 29.17782 27.01903 29.55848 29.55848 29.99794
1.76878 29.76753 29.76753 27.40359 30.45089 30.45089 30.81948
1.79875 30.39766 30.39766 27.80750 31.36218 31.36218 31.65313
1.82873 31.08180 31.08180 28.26706 32.29399 32.29399 32.50055
