# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"Frequency (THz)" "kappa spec xx (W/mK/THz)" "kappa spec yy (W/mK/THz)" "kappa spec zz (W/mK/THz)" "cumulative kappa xx (W/mK)" "cumulative kappa yy (W/mK)" "cumulative kappa zz (W/mK)"
9.77323 0.00037 0.00037 0.00040 40160.76283 40160.76283 67645.10628
9.80321 0.00030 0.00030 0.00037 40160.76284 40160.76284 67645.10629
9.83319 0.00027 0.00027 0.00030 40160.76285 40160.76285 67645.10630
9.86317 0.00023 0.00023 0.00027 40160.76286 40160.76285 67645.10630
9.89315 0.00023 0.00023 0.00023 40160.76286 40160.76286 67645.10631
9.92313 0.00020 0.00020 0.00020 40160.76287 40160.76287 67645.10632
9.95311 0.00017 0.00017 0.00017 40160.76287 40160.76287 67645.10632
9.98309 0.00017 0.00017 0.00017 40160.76288 40160.76288 67645.10633
10.01307 0.00013 0.00013 0.00013 40160.76288 40160.76288 67645.10633
10.04305 0.00013 0.00013 0.00013 40160.76289 40160.76289 67645.10633
10.07303 0.00010 0.00010 0.00010 40160.76289 40160.76289 67645.10634
10.10301 0.00010 0.00010 0.00010 40160.76289 40160.76289 67645.10634
10.13299 0.00010 0.00010 0.00007 40160.76290 40160.76289 67645.10634
10.16296 0.00007 0.00007 0.00007 40160.76290 40160.76290 67645.10634
10.19294 0.00007 0.00007 0.00007 40160.76290 40160.76290 67645.10635
10.22292 0.00007 0.00007 0.00003 40160.76290 40160.76290 67645.10635
10.25290 0.00007 0.00007 0.00003 40160.76290 40160.76290 67645.10635
10.28288 0.00003 0.00003 0.00003 40160.76291 40160.76290 67645.10635
10.31286 0.00003 0.00003 0.00003 40160.76291 40160.76290 67645.10635
10.34284 0.00003 0.00003 0.00003 40160.76291 40160.76291 67645.10635
10.37282 0.00003 0.00003 0.00003 40160.76291 40160.76291 67645.10635
10.40280 0.00003 0.00003 0.00003 40160.76291 40160.76291 67645.10635
10.43278 0.00003 0.00003 0.00000 40160.76291 40160.76291 67645.10635
10.46276 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.49274 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.52272 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.55269 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.58267 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.61265 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.64263 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.67261 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.70259 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.73257 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.76255 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.79253 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.82251 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.85249 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.88247 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.91245 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.94242 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
10.97240 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.00238 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.03236 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.06234 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.09232 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.12230 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.15228 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.18226 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.21224 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.24222 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.27220 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.30218 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.33215 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.36213 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.39211 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.42209 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.45207 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.48205 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.51203 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.54201 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.57199 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.60197 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.63195 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.66193 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.69191 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.72189 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.75186 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.78184 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.81182 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.84180 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.87178 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.90176 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.93174 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.96172 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
11.99170 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.02168 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.05166 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.08164 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.11162 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.14159 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.17157 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.20155 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.23153 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.26151 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.29149 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.32147 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.35145 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.38143 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.41141 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.44139 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.47137 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.50135 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.53132 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.56130 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.59128 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.62126 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.65124 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.68122 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.71120 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.74118 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.77116 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.80114 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.83112 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.86110 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.89108 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.92105 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.95103 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
12.98101 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.01099 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.04097 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.07095 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.10093 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.13091 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.16089 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.19087 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.22085 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.25083 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.28081 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.31079 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.34076 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.37074 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.40072 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.43070 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.46068 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.49066 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.52064 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.55062 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.58060 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.61058 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.64056 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.67054 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.70052 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.73049 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.76047 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.79045 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.82043 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.85041 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.88039 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.91037 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.94035 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
13.97033 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.00031 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.03029 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.06027 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.09025 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.12022 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.15020 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.18018 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.21016 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.24014 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.27012 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.30010 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.33008 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.36006 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.39004 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.42002 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.45000 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.47998 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.50995 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.53993 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.56991 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.59989 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.62987 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.65985 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.68983 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.71981 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.74979 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.77977 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.80975 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.83973 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.86971 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.89969 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.92966 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.95964 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
14.98962 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.01960 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.04958 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.07956 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.10954 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.13952 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.16950 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.19948 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.22946 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.25944 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.28942 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.31939 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.34937 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.37935 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.40933 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.43931 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.46929 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.49927 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.52925 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.55923 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.58921 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.61919 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.64917 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.67915 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.70912 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.73910 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.76908 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.79906 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.82904 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.85902 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.88900 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.91898 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.94896 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
15.97894 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.00892 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.03890 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.06888 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.09885 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.12883 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.15881 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.18879 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.21877 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.24875 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.27873 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.30871 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.33869 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.36867 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.39865 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.42863 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.45861 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.48859 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.51856 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.54854 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.57852 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.60850 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.63848 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.66846 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.69844 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.72842 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.75840 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.78838 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.81836 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.84834 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.87832 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.90829 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.93827 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.96825 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
16.99823 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.02821 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.05819 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.08817 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.11815 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.14813 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.17811 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.20809 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.23807 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.26805 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.29802 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.32800 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.35798 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.38796 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.41794 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.44792 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.47790 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.50788 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.53786 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.56784 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.59782 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.62780 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.65778 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.68776 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.71773 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.74771 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.77769 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.80767 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.83765 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.86763 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.89761 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.92759 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.95757 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
17.98755 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.01753 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.04751 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.07749 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.10746 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.13744 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.16742 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.19740 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.22738 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.25736 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.28734 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.31732 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.34730 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.37728 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.40726 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.43724 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.46722 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.49719 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.52717 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.55715 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.58713 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.61711 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.64709 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.67707 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.70705 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.73703 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.76701 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.79699 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.82697 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.85695 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.88692 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.91690 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.94688 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
18.97686 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.00684 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.03682 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.06680 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.09678 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.12676 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.15674 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.18672 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.21670 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.24668 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.27666 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.30663 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.33661 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.36659 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.39657 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.42655 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.45653 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.48651 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.51649 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.54647 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.57645 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.60643 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.63641 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.66639 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.69636 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.72634 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.75632 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.78630 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.81628 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.84626 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.87624 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.90622 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.93620 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.96618 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
19.99616 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.02614 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.05612 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.08609 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.11607 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.14605 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.17603 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.20601 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.23599 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.26597 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.29595 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.32593 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.35591 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.38589 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.41587 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.44585 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.47582 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.50580 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.53578 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.56576 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
20.59574 0.00000 0.00000 0.00000 40160.76291 40160.76291 67645.10635
