# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)"
1 1 0.00000 0.00000
1 2 0.00000 0.00000
1 3 0.00000 0.00000
1 4 7.06035 0.03589
1 5 7.06035 0.03589
1 6 16.26932 0.45924
1 7 18.24666 0.51894
1 8 19.63704 0.36134
1 9 19.63704 0.36134
1 10 19.95886 0.32720
1 11 19.95886 0.32720
1 12 21.45786 0.13868
2 1 0.35647 0.00031
2 2 0.35647 0.00031
2 3 0.66378 0.00030
2 4 7.05355 0.03567
2 5 7.05355 0.03567
2 6 16.23394 0.44285
2 7 19.63749 0.36272
2 8 19.63749 0.36272
2 9 19.95790 0.32618
2 10 19.95790 0.32618
2 11 21.48247 0.16108
2 12 26.10752 1.84671
3 1 0.71191 0.00082
3 2 0.71191 0.00082
3 3 1.32667 0.00181
3 4 7.03313 0.03518
3 5 7.03313 0.03518
3 6 16.12973 0.36995
3 7 19.63877 0.36479
3 8 19.63877 0.36479
3 9 19.95500 0.32723
3 10 19.95500 0.32723
3 11 21.55442 0.21247
3 12 26.08857 1.69960
4 1 1.06529 0.00158
4 2 1.06529 0.00158
4 3 1.98778 0.00342
4 4 6.99904 0.03440
4 5 6.99904 0.03440
4 6 15.96200 0.37820
4 7 19.64093 0.36608
4 8 19.64093 0.36608
4 9 19.95020 0.32997
4 10 19.95020 0.32997
4 11 21.66837 0.15059
4 12 26.05697 1.51396
5 1 1.41559 0.00232
5 2 1.41559 0.00232
5 3 2.64624 0.00797
5 4 6.95123 0.03357
5 5 6.95123 0.03357
5 6 15.73787 0.33241
5 7 19.64399 0.36617
5 8 19.64399 0.36617
5 9 19.94360 0.33121
5 10 19.94360 0.33121
5 11 21.81719 0.14032
5 12 26.01278 1.38721
6 1 1.76181 0.00359
6 2 1.76181 0.00359
6 3 3.30119 0.01352
6 4 6.88959 0.03257
6 5 6.88959 0.03257
6 6 15.46497 0.29761
6 7 19.64801 0.36387
6 8 19.64801 0.36387
6 9 19.93527 0.33662
6 10 19.93527 0.33662
6 11 21.99316 0.15330
6 12 25.95609 1.33080
7 1 2.10298 0.00424
7 2 2.10298 0.00424
7 3 3.95174 0.02247
7 4 6.81401 0.03055
7 5 6.81401 0.03055
7 6 15.15031 0.31304
7 7 19.65301 0.36487
7 8 19.65301 0.36487
7 9 19.92532 0.33547
7 10 19.92532 0.33547
7 11 22.18929 0.16832
7 12 25.88693 1.21167
8 1 2.43813 0.00589
8 2 2.43813 0.00589
8 3 4.59711 0.03242
8 4 6.72437 0.02829
8 5 6.72437 0.02829
8 6 14.79991 0.34000
8 7 19.65904 0.36647
8 8 19.65904 0.36647
8 9 19.91392 0.33172
8 10 19.91392 0.33172
8 11 22.39941 0.27197
8 12 25.80539 1.09837
9 1 2.76632 0.00731
9 2 2.76632 0.00731
9 3 5.23647 0.05607
9 4 6.62059 0.02707
9 5 6.62059 0.02707
9 6 14.41870 0.26923
9 7 19.66609 0.36845
9 8 19.66609 0.36845
9 9 19.90121 0.32729
9 10 19.90121 0.32729
9 11 22.61865 0.27372
9 12 25.71164 0.98662
10 1 3.08666 0.00827
10 2 3.08666 0.00827
10 3 5.86898 0.04793
10 4 6.50250 0.02547
10 5 6.50250 0.02547
10 6 14.01053 0.21782
10 7 19.67424 0.36056
10 8 19.67424 0.36056
10 9 19.88739 0.32405
10 10 19.88739 0.32405
10 11 22.84302 0.26722
10 12 25.60578 0.89036
11 1 3.39833 0.00910
11 2 3.39833 0.00910
11 3 6.37011 0.02289
11 4 6.37011 0.02289
11 5 6.49392 0.05535
11 6 13.57847 0.18813
11 7 19.68347 0.35496
11 8 19.68347 0.35496
11 9 19.87261 0.32584
11 10 19.87261 0.32584
11 11 23.06933 0.24654
11 12 25.48808 0.84196
12 1 3.70046 0.01090
12 2 3.70046 0.01090
12 3 6.22330 0.02147
12 4 6.22330 0.02147
12 5 7.11051 0.08697
12 6 13.12500 0.19393
12 7 19.69382 0.35136
12 8 19.69382 0.35136
12 9 19.85711 0.33651
12 10 19.85711 0.33651
12 11 23.29516 0.23603
12 12 25.35872 0.72996
13 1 3.99234 0.01211
13 2 3.99234 0.01211
13 3 6.06210 0.01988
13 4 6.06210 0.01988
13 5 7.71801 0.11651
13 6 12.65205 0.19728
13 7 19.70521 0.35369
13 8 19.70521 0.35369
13 9 19.84107 0.33961
13 10 19.84107 0.33961
13 11 23.51848 0.23434
13 12 25.21803 0.64720
14 1 4.27324 0.01330
14 2 4.27324 0.01330
14 3 5.88657 0.01917
14 4 5.88657 0.01917
14 5 8.31567 0.13369
14 6 12.16120 0.21741
14 7 19.71762 0.36010
14 8 19.71762 0.36010
14 9 19.82474 0.35572
14 10 19.82474 0.35572
14 11 23.73763 0.23898
14 12 25.06631 0.56124
15 1 4.54255 0.01479
15 2 4.54255 0.01479
15 3 5.69678 0.01823
15 4 5.69678 0.01823
15 5 8.90279 0.14160
15 6 11.65374 0.30900
15 7 19.73099 0.34557
15 8 19.73099 0.34557
15 9 19.80831 0.37125
15 10 19.80831 0.37125
15 11 23.95135 0.25299
15 12 24.90394 0.48857
16 1 4.79965 0.01785
16 2 4.79965 0.01785
16 3 5.49292 0.01897
16 4 5.49292 0.01897
16 5 9.47860 0.15060
16 6 11.13081 0.25582
16 7 19.74526 0.34271
16 8 19.74526 0.34271
16 9 19.79194 0.38990
16 10 19.79194 0.38990
16 11 24.15845 0.28167
16 12 24.73141 0.42895
17 1 5.04401 0.01683
17 2 5.04401 0.01683
17 3 5.27524 0.01701
17 4 5.27524 0.01701
17 5 10.04242 0.18408
17 6 10.59341 0.23022
17 7 19.76025 0.34038
17 8 19.76025 0.34038
17 9 19.77587 0.35002
17 10 19.77587 0.35002
17 11 24.35802 0.32883
17 12 24.54922 0.37658
18 1 0.39200 0.00077
18 2 0.41557 0.00029
18 3 0.77200 0.00032
18 4 7.07426 0.03608
18 5 7.10697 0.03636
18 6 16.25712 0.45096
18 7 18.24708 0.51662
18 8 19.63611 0.36015
18 9 19.64843 0.36106
18 10 19.96105 0.32706
18 11 21.45612 0.14123
18 12 26.85685 1.09426
19 1 0.54766 0.00043
19 2 0.55860 0.00062
19 3 0.96895 0.00070
19 4 7.06749 0.03593
19 5 7.09906 0.03616
19 6 16.22183 0.41899
19 7 18.97548 0.45893
19 8 19.63653 0.36134
19 9 19.64933 0.36247
19 10 19.96009 0.32682
19 11 21.48064 0.16255
19 12 26.55541 1.36745
20 1 0.82473 0.00096
20 2 0.91537 0.00149
20 3 1.43834 0.00135
20 4 7.04716 0.03541
20 5 7.07798 0.03568
20 6 16.11789 0.38086
20 7 19.51919 0.39064
20 8 19.63779 0.36210
20 9 19.65451 0.36608
20 10 19.95718 0.32808
20 11 21.55232 0.20988
20 12 26.29057 1.56527
21 1 1.14412 0.00168
21 2 1.23656 0.00243
21 3 2.04496 0.00218
21 4 7.01319 0.03463
21 5 7.04374 0.03484
21 6 15.95058 0.37733
21 7 19.63994 0.36374
21 8 19.64456 0.36415
21 9 19.73654 0.36973
21 10 19.95242 0.33046
21 11 21.66594 0.15163
21 12 26.15947 1.53402
22 1 1.47621 0.00249
22 2 1.55685 0.00353
22 3 2.68348 0.00633
22 4 6.96556 0.03367
22 5 6.99599 0.03378
22 6 15.72696 0.32990
22 7 19.64300 0.36414
22 8 19.65116 0.36452
22 9 19.81772 0.35537
22 10 19.94579 0.33288
22 11 21.81434 0.14270
22 12 26.07115 1.42403
23 1 1.81128 0.00364
23 2 1.88085 0.00459
23 3 3.32848 0.01230
23 4 6.90413 0.03247
23 5 6.93447 0.03257
23 6 15.45463 0.29793
23 7 19.64702 0.36306
23 8 19.65580 0.36364
23 9 19.85510 0.34830
23 10 19.93746 0.33591
23 11 21.98999 0.15466
23 12 25.99201 1.31422
24 1 2.14499 0.00420
24 2 2.20578 0.00477
24 3 3.97303 0.02114
24 4 6.82879 0.03100
24 5 6.85907 0.03111
24 6 15.14063 0.31721
24 7 19.65200 0.36336
24 8 19.66090 0.36376
24 9 19.87150 0.34324
24 10 19.92750 0.33471
24 11 22.18581 0.17087
24 12 25.91016 1.19754
25 1 2.47485 0.00584
25 2 2.52884 0.00681
25 3 4.61426 0.03117
25 4 6.73945 0.02860
25 5 6.76967 0.02904
25 6 14.79089 0.34027
25 7 19.65802 0.36504
25 8 19.66683 0.36466
25 9 19.87657 0.33857
25 10 19.91608 0.33234
25 11 22.39579 0.25282
25 12 25.82091 1.08126
26 1 2.79913 0.00708
26 2 2.84782 0.00793
26 3 5.25048 0.05436
26 4 6.63597 0.02709
26 5 6.66616 0.02749
26 6 14.41036 0.26767
26 7 19.66513 0.36516
26 8 19.67367 0.36376
26 9 19.87489 0.33336
26 10 19.90334 0.32977
26 11 22.61493 0.28184
26 12 25.72219 0.97574
27 1 3.11649 0.00854
27 2 3.16101 0.00923
27 3 5.88049 0.04649
27 4 6.51827 0.02576
27 5 6.54840 0.02602
27 6 14.00292 0.21713
27 7 19.67334 0.35888
27 8 19.68152 0.35870
27 9 19.86878 0.32892
27 10 19.88943 0.32625
27 11 22.83930 0.26913
27 12 25.61304 0.88318
28 1 3.42579 0.00949
28 2 3.46701 0.01048
28 3 6.38624 0.02314
28 4 6.41628 0.02351
28 5 6.50337 0.05410
28 6 13.57163 0.18868
28 7 19.68266 0.35221
28 8 19.69037 0.35241
28 9 19.85966 0.32904
28 10 19.87456 0.32656
28 11 23.06576 0.25069
28 12 25.49300 0.83096
29 1 3.72606 0.01118
29 2 3.76464 0.01209
29 3 6.23985 0.02169
29 4 6.26995 0.02174
29 5 7.11800 0.08672
29 6 13.11898 0.19430
29 7 19.69313 0.35152
29 8 19.70026 0.35176
29 9 19.84839 0.33835
29 10 19.85894 0.33655
29 11 23.29178 0.23758
29 12 25.36199 0.72975
30 1 4.01638 0.01232
30 2 4.05289 0.01305
30 3 6.07910 0.02029
30 4 6.10926 0.02110
30 5 7.72376 0.11801
30 6 12.64686 0.19735
30 7 19.70467 0.35270
30 8 19.71117 0.35301
30 9 19.83562 0.34283
30 10 19.84275 0.34128
30 11 23.51536 0.23600
30 12 25.22007 0.65214
31 1 4.29603 0.01361
31 2 4.33086 0.01438
31 3 5.90405 0.01952
31 4 5.93433 0.01990
31 5 8.31987 0.13334
31 6 12.15694 0.21888
31 7 19.71729 0.35853
31 8 19.72302 0.35952
31 9 19.82183 0.35680
31 10 19.82620 0.35533
31 11 23.73490 0.24176
31 12 25.06739 0.56348
32 1 4.56422 0.01478
32 2 4.59777 0.01550
32 3 5.71479 0.01873
32 4 5.74525 0.01893
32 5 8.90551 0.14109
32 6 11.65047 0.31142
32 7 19.73090 0.34697
32 8 19.73576 0.34546
32 9 19.80741 0.37218
32 10 19.80951 0.37140
32 11 23.94898 0.25503
32 12 24.90427 0.49010
33 1 4.82039 0.01706
33 2 4.85292 0.01846
33 3 5.51153 0.01918
33 4 5.54226 0.01952
33 5 9.47998 0.15024
33 6 11.12860 0.25520
33 7 19.74541 0.34232
33 8 19.74925 0.34217
33 9 19.79266 0.38728
33 10 19.79290 0.38359
33 11 24.15653 0.28391
33 12 24.73108 0.43124
34 1 5.06397 0.01734
34 2 5.09569 0.01792
34 3 5.29445 0.01731
34 4 5.32563 0.01792
34 5 10.04251 0.18303
34 6 10.59233 0.23844
34 7 19.76067 0.34105
34 8 19.76334 0.33996
34 9 19.77656 0.35047
34 10 19.77788 0.35057
34 11 24.35658 0.33011
34 12 24.54833 0.37850
35 1 0.81486 0.00166
35 2 0.82962 0.00077
35 3 1.52606 0.00117
35 4 7.11572 0.03692
35 5 7.24415 0.03823
35 6 16.22090 0.44977
35 7 18.24846 0.51384
35 8 19.63353 0.35510
35 9 19.68161 0.35952
35 10 19.96720 0.32820
35 11 21.45105 0.14741
35 12 26.82900 1.09373
36 1 0.86447 0.00152
36 2 0.90333 0.00095
36 3 1.64657 0.00195
36 4 7.10901 0.03682
36 5 7.23570 0.03807
36 6 16.18588 0.41294
36 7 18.51893 0.49261
36 8 19.63395 0.35564
36 9 19.68245 0.36017
36 10 19.96624 0.32799
36 11 21.47533 0.16889
36 12 26.71786 1.17500
37 1 1.09440 0.00136
37 2 1.13199 0.00192
37 3 1.92741 0.00186
37 4 7.08889 0.03631
37 5 7.21280 0.03769
37 6 16.08276 0.39359
37 7 18.97941 0.45497
37 8 19.63521 0.35610
37 9 19.68512 0.36191
37 10 19.96336 0.32957
37 11 21.54623 0.20882
37 12 26.50930 1.34827
38 1 1.35241 0.00205
38 2 1.49273 0.00401
38 3 2.34052 0.00207
38 4 7.05532 0.03547
38 5 7.17733 0.03705
38 6 15.91667 0.37339
38 7 19.31521 0.41583
38 8 19.63731 0.35873
38 9 19.69028 0.36595
38 10 19.95859 0.33150
38 11 21.65881 0.15634
38 12 26.32882 1.41606
39 1 1.64396 0.00283
39 2 1.83141 0.00591
39 3 2.86505 0.00464
39 4 7.00816 0.03430
39 5 7.12903 0.03620
39 6 15.69461 0.32657
39 7 19.51406 0.38637
39 8 19.64033 0.35964
39 9 19.70014 0.36874
39 10 19.95200 0.33572
39 11 21.80606 0.15001
39 12 26.18912 1.37584
40 1 1.95152 0.00347
40 2 2.14813 0.00473
40 3 3.45016 0.00950
40 4 6.94736 0.03297
40 5 7.06749 0.03483
40 6 15.42405 0.29902
40 7 19.61848 0.36536
40 8 19.64429 0.35828
40 9 19.72149 0.37131
40 10 19.94366 0.33697
40 11 21.98066 0.15883
40 12 26.07292 1.30430
41 1 2.26579 0.00436
41 2 2.45656 0.00810
41 3 4.06108 0.01746
41 4 6.87277 0.03152
41 5 6.99236 0.03301
41 6 15.11194 0.32348
41 7 19.64927 0.35812
41 8 19.66051 0.35637
41 9 19.75713 0.36903
41 10 19.93371 0.33736
41 11 22.17565 0.17988
41 12 25.96592 1.15948
42 1 2.58138 0.00588
42 2 2.76180 0.00910
42 3 4.68132 0.02674
42 4 6.78427 0.02970
42 5 6.90344 0.03125
42 6 14.76424 0.34045
42 7 19.65532 0.35960
42 8 19.67745 0.35496
42 9 19.78957 0.35845
42 10 19.92220 0.33566
42 11 22.38505 0.24416
42 12 25.85965 1.05024
43 1 2.89487 0.00711
43 2 3.06436 0.01084
43 3 5.30315 0.04813
43 4 6.68174 0.02780
43 5 6.80055 0.03014
43 6 14.38581 0.26401
43 7 19.66252 0.36046
43 8 19.68812 0.35284
43 9 19.81092 0.34949
43 10 19.90934 0.33252
43 11 22.60393 0.28976
43 12 25.74917 0.95086
44 1 3.20385 0.00864
44 2 3.36328 0.01219
44 3 5.92246 0.04193
44 4 6.56507 0.02638
44 5 6.68363 0.02843
44 6 13.98058 0.21597
44 7 19.67091 0.35614
44 8 19.69735 0.35040
44 9 19.82270 0.34231
44 10 19.89522 0.32906
44 11 22.82836 0.27299
44 12 25.63178 0.87035
45 1 3.50649 0.00998
45 2 3.65714 0.01365
45 3 6.43415 0.02413
45 4 6.53230 0.04602
45 5 6.55700 0.03081
45 6 13.55164 0.18933
45 7 19.68051 0.34948
45 8 19.70650 0.34782
45 9 19.82731 0.34143
45 10 19.88008 0.32934
45 11 23.05518 0.25885
45 12 25.50586 0.80712
46 1 3.80140 0.01141
46 2 3.94458 0.01419
46 3 6.28899 0.02279
46 4 6.40692 0.02313
46 5 7.14474 0.08970
46 6 13.10144 0.19584
46 7 19.69130 0.34901
46 8 19.71603 0.34768
46 9 19.82671 0.34723
46 10 19.86407 0.34117
46 11 23.28179 0.24407
46 12 25.37054 0.71900
47 1 4.08731 0.01239
47 2 4.22432 0.01583
47 3 6.12953 0.02143
47 4 6.24755 0.02284
47 5 7.74439 0.11450
47 6 12.63200 0.19993
47 7 19.70332 0.34965
47 8 19.72619 0.34971
47 9 19.82231 0.34928
47 10 19.84740 0.34324
47 11 23.50622 0.24163
47 12 25.22532 0.65650
48 1 4.36324 0.01440
48 2 4.49524 0.01788
48 3 5.95589 0.02054
48 4 6.07412 0.02246
48 5 8.33510 0.13144
48 6 12.14489 0.22113
48 7 19.71651 0.35625
48 8 19.73699 0.35315
48 9 19.81508 0.35774
48 10 19.83028 0.35589
48 11 23.72674 0.24941
48 12 25.07008 0.56469
49 1 4.62829 0.01574
49 2 4.75627 0.02013
