# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.86869 -4.48320 -4.29750 -4.16990 -2.59720 -1.64280 -1.27700 5.98290 7.20510 8.28230 9.34140 10.47670 11.31080
0.88889 -4.55160 -4.24380 -4.17720 -2.67060 -1.70050 -1.33180 5.88120 7.25610 8.32290 9.37100 10.47850 11.36080
0.90909 -4.61620 -4.25000 -4.11950 -2.74430 -1.75860 -1.38750 5.78270 7.30500 8.36780 9.39700 10.48440 11.41630
0.92929 -4.67670 -4.26970 -4.04340 -2.81830 -1.81700 -1.44400 5.68750 7.35210 8.41620 9.41960 10.49430 11.47600
0.94949 -4.73320 -4.28740 -3.96440 -2.89240 -1.87540 -1.50120 5.59580 7.39780 8.46760 9.43890 10.50800 11.53850
0.96970 -4.78560 -4.30120 -3.88470 -2.96630 -1.93370 -1.55900 5.50770 7.44230 8.52120 9.45540 10.52540 11.60110
0.98990 -4.83370 -4.31080 -3.80480 -3.04010 -1.99180 -1.61730 5.42350 7.48600 8.57640 9.46910 10.54650 11.65820
1.01010 -4.87750 -4.31600 -3.72490 -3.11340 -2.04950 -1.67610 5.34320 7.52890 8.63260 9.48020 10.57110 11.69930
1.03030 -4.91700 -4.31690 -3.64540 -3.18610 -2.10650 -1.73520 5.26700 7.57140 8.68920 9.48890 10.59910 11.71480
1.05051 -4.95210 -4.31370 -3.56630 -3.25810 -2.16290 -1.79460 5.19510 7.61330 8.74590 9.49530 10.63020 11.70940
1.07071 -4.98290 -4.30630 -3.48790 -3.32910 -2.21810 -1.85410 5.12750 7.65470 8.80200 9.49940 10.66440 11.69320
1.09091 -5.00930 -4.29510 -3.41040 -3.39890 -2.27220 -1.91370 5.06450 7.69550 8.85730 9.50130 10.70140 11.67190
1.11111 -5.03160 -4.28040 -3.46720 -3.33380 -2.32470 -1.97330 5.00610 7.73560 8.91120 9.50100 10.74110 11.64770
1.13131 -5.04960 -4.26220 -3.53380 -3.25850 -2.37540 -2.03270 4.95240 7.77480 8.96350 9.49850 10.78310 11.62180
1.15152 -5.06370 -4.24120 -3.59850 -3.18450 -2.42400 -2.09200 4.90360 7.81280 9.01390 9.49390 10.82730 11.59450
1.17172 -5.07400 -4.21750 -3.66070 -3.11200 -2.46990 -2.15100 4.85980 7.84920 9.06200 9.48710 10.87330 11.56590
1.19192 -5.08080 -4.19180 -3.72020 -3.04120 -2.51290 -2.20960 4.82100 7.88380 9.10770 9.47810 10.92090 11.53590
1.21212 -5.08460 -4.16460 -3.77650 -2.97220 -2.55240 -2.26780 4.78740 7.91590 9.15070 9.46680 10.96970 11.50430
1.23232 -5.08570 -4.13650 -3.82910 -2.90520 -2.58780 -2.32550 4.75890 7.94510 9.19100 9.45340 11.01940 11.47090
1.25253 -5.08480 -4.10830 -3.87730 -2.84040 -2.61850 -2.38250 4.73570 7.97070 9.22850 9.43770 11.06970 11.43530
1.27273 -5.08260 -4.08080 -3.92040 -2.77790 -2.64360 -2.43890 4.71770 7.99210 9.26320 9.41970 11.12000 11.39740
1.29293 -5.07980 -4.05470 -3.95750 -2.71830 -2.66210 -2.49450 4.70490 8.00840 9.29510 9.39940 11.17000 11.35690
1.31313 -5.07750 -4.03110 -3.98790 -2.67880 -2.65600 -2.54930 4.69730 8.01890 9.32460 9.37680 11.21930 11.31370
1.33333 -5.07650 -4.01060 -4.01060 -2.68090 -2.60320 -2.60320 4.69470 8.02260 9.35180 9.35180 11.26760 11.26760
1.35354 -5.07780 -4.02470 -3.99420 -2.67700 -2.65610 -2.55080 4.69720 8.01860 9.32440 9.37710 11.21860 11.31430
1.37374 -5.08220 -4.02960 -3.98230 -2.70800 -2.66460 -2.50080 4.70460 8.00610 9.29440 9.40100 11.16700 11.35920
1.39394 -5.09030 -4.02460 -3.97530 -2.75890 -2.64360 -2.45350 4.71660 7.98430 9.26190 9.42390 11.11300 11.40200
1.41414 -5.10250 -4.00980 -3.97330 -2.80860 -2.61400 -2.40860 4.73320 7.95250 9.22670 9.44620 11.05710 11.44240
1.43434 -5.11860 -3.98520 -3.97600 -2.85710 -2.57620 -2.36630 4.75390 7.91040 9.18870 9.46830 10.99980 11.48030
1.45455 -5.13850 -3.98320 -3.95130 -2.90430 -2.53090 -2.32640 4.77870 7.85770 9.14770 9.49070 10.94170 11.51560
1.47475 -5.16170 -3.99430 -3.90880 -2.95020 -2.47920 -2.28860 4.80700 7.79450 9.10380 9.51340 10.88380 11.54840
1.49495 -5.18760 -4.00860 -3.85850 -2.99480 -2.42210 -2.25240 4.83870 7.72110 9.05670 9.53670 10.82680 11.57870
1.51515 -5.21560 -4.02570 -3.80130 -3.03800 -2.36160 -2.21690 4.87320 7.63810 9.00650 9.56060 10.77160 11.60670
1.53535 -5.24510 -4.04480 -3.73810 -3.07970 -2.30040 -2.17990 4.91020 7.54620 8.95320 9.58510 10.71890 11.63250
1.55556 -5.27550 -4.06560 -3.66970 -3.11990 -2.24370 -2.13700 4.94910 7.44640 8.89680 9.61000 10.66970 11.65640
1.57576 -5.30650 -4.08740 -3.59690 -3.15860 -2.19790 -2.08250 4.98950 7.33960 8.83750 9.63510 10.62450 11.67860
1.59596 -5.33760 -4.11000 -3.52060 -3.19560 -2.16380 -2.01610 5.03090 7.22710 8.77570 9.66030 10.58390 11.69920
1.61616 -5.36840 -4.13280 -3.44160 -3.23080 -2.13770 -1.94210 5.07270 7.11000 8.71160 9.68550 10.54850 11.71850
1.63636 -5.39880 -4.15570 -3.36120 -3.26350 -2.11650 -1.86420 5.11450 6.98950 8.64590 9.71030 10.51850 11.73650
1.65657 -5.42830 -4.17840 -3.30550 -3.26850 -2.09860 -1.78450 5.15560 6.86680 8.57920 9.73460 10.49400 11.75340
1.67677 -5.45690 -4.20050 -3.33030 -3.19050 -2.08330 -1.70420 5.19560 6.74300 8.51200 9.75830 10.47530 11.76920
1.69697 -5.48440 -4.22210 -3.35850 -3.10720 -2.07000 -1.62430 5.23390 6.61930 8.44530 9.78110 10.46200 11.78410
1.71717 -5.51060 -4.24270 -3.38540 -3.02410 -2.05850 -1.54550 5.27010 6.49690 8.37960 9.80300 10.45420 11.79800
1.73737 -5.53530 -4.26250 -3.41060 -2.94210 -2.04840 -1.46850 5.30380 6.37690 8.31580 9.82380 10.45130 11.81100
1.75758 -5.55860 -4.28110 -3.43410 -2.86210 -2.03980 -1.39400 5.33460 6.26030 8.25460 9.84340 10.45310 11.82300
1.77778 -5.58020 -4.29850 -3.45580 -2.78470 -2.03230 -1.32260 5.36230 6.14820 8.19670 9.86170 10.45900 11.83420
1.79798 -5.60020 -4.31470 -3.47560 -2.71080 -2.02590 -1.25490 5.38680 6.04170 8.14260 9.87860 10.46840 11.84440
1.81818 -5.61840 -4.32960 -3.49370 -2.64100 -2.02050 -1.19160 5.40800 5.94170 8.09290 9.89410 10.48070 11.85370
1.83838 -5.63490 -4.34300 -3.50990 -2.57600 -2.01590 -1.13310 5.42590 5.84910 8.04780 9.90810 10.49510 11.86200
1.85859 -5.64950 -4.35500 -3.52420 -2.51670 -2.01200 -1.07990 5.44070 5.76500 8.00790 9.92050 10.51070 11.86940
1.87879 -5.66220 -4.36540 -3.53670 -2.46370 -2.00880 -1.03270 5.45260 5.69020 7.97310 9.93140 10.52670 11.87580
1.89899 -5.67310 -4.37430 -3.54720 -2.41760 -2.00630 -0.99190 5.46190 5.62530 7.94370 9.94060 10.54220 11.88130
1.91919 -5.68190 -4.38160 -3.55590 -2.37890 -2.00420 -0.95790 5.46890 5.57130 7.91960 9.94820 10.55640 11.88580
1.93939 -5.68890 -4.38740 -3.56260 -2.34830 -2.00270 -0.93110 5.47390 5.52850 7.90100 9.95410 10.56830 11.88930
1.95960 -5.69380 -4.39150 -3.56740 -2.32620 -2.00160 -0.91170 5.47730 5.49770 7.88770 9.95830 10.57750 11.89180
1.97980 -5.69680 -4.39390 -3.57030 -2.31270 -2.00100 -0.89990 5.47900 5.47920 7.87980 9.96080 10.58320 11.89330
2.00000 -5.69780 -4.39470 -3.57130 -2.30820 -2.00080 -0.89600 5.47270 5.47980 7.87710 9.96170 10.58510 11.89380
