# Efermi (eV) : 6.246298
# (SCF 12x12x8 G-cntrd k points)
"kaxis (pi/a or pi/c unit)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.50154 -5.54330 -3.22450 -2.30390 -1.66150 -0.56650 -0.51240 5.67420 7.47600 8.12380 9.50060 11.48910 11.86470
0.51320 -5.51150 -3.29670 -2.36270 -1.68090 -0.57430 -0.52990 5.71380 7.45740 8.05890 9.53010 11.44520 11.83040
0.52486 -5.47900 -3.36860 -2.42120 -1.70020 -0.58230 -0.54810 5.75130 7.43450 7.99710 9.56240 11.40370 11.79420
0.53653 -5.44590 -3.44020 -2.47960 -1.71940 -0.59040 -0.56680 5.78660 7.40720 7.93890 9.59700 11.36480 11.75680
0.54819 -5.41220 -3.51140 -2.53770 -1.73840 -0.59860 -0.58620 5.81940 7.37560 7.88490 9.63330 11.32870 11.71870
0.55985 -5.37800 -3.58230 -2.59540 -1.75740 -0.60690 -0.60620 5.84970 7.33960 7.83570 9.67060 11.29570 11.68030
0.57152 -5.34310 -3.65270 -2.65290 -1.77620 -0.62690 -0.61520 5.87720 7.29950 7.79150 9.70830 11.26600 11.64180
0.58318 -5.30770 -3.72260 -2.71000 -1.79480 -0.64820 -0.62360 5.90190 7.25530 7.75260 9.74580 11.24010 11.60340
0.59485 -5.27180 -3.79200 -2.76670 -1.81330 -0.67010 -0.63200 5.92360 7.20760 7.71910 9.78240 11.21810 11.56520
0.60651 -5.23530 -3.86070 -2.82300 -1.83150 -0.69270 -0.64050 5.94220 7.15680 7.69070 9.81760 11.20050 11.52730
0.61817 -5.19830 -3.92880 -2.87880 -1.84960 -0.71590 -0.64890 5.95760 7.10340 7.66730 9.85080 11.18740 11.48990
0.62984 -5.16080 -3.99620 -2.93410 -1.86750 -0.73980 -0.65740 5.96990 7.04810 7.64850 9.88160 11.17930 11.45290
0.64150 -5.12280 -4.06280 -2.98890 -1.88510 -0.76430 -0.66590 5.97910 6.99140 7.63390 9.90940 11.17630 11.41650
0.65316 -5.08440 -4.12870 -3.04310 -1.90250 -0.78950 -0.67440 5.98510 6.93390 7.62310 9.93390 11.17860 11.38070
0.66483 -5.04550 -4.19370 -3.09670 -1.91970 -0.81540 -0.68280 5.98810 6.87580 7.61590 9.95490 11.18620 11.34540
0.67649 -5.00610 -4.25780 -3.14970 -1.93660 -0.84190 -0.69120 5.98820 6.81750 7.61180 9.97230 11.19900 11.31080
0.68815 -4.96640 -4.32090 -3.20210 -1.95320 -0.86900 -0.69950 5.98550 6.75940 7.61060 9.98620 11.21670 11.27690
0.69982 -4.92630 -4.38300 -3.25370 -1.96960 -0.89680 -0.70780 5.98030 6.70160 7.61190 9.99670 11.23910 11.24370
0.71148 -4.88580 -4.44410 -3.30460 -1.98560 -0.92520 -0.71610 5.97270 6.64430 7.61540 10.00410 11.21120 11.26570
0.72315 -4.84510 -4.50400 -3.35470 -2.00140 -0.95420 -0.72420 5.96300 6.58780 7.62090 10.00870 11.17940 11.29590
0.73481 -4.80440 -4.56260 -3.40400 -2.01680 -0.98390 -0.73230 5.95130 6.53210 7.62800 10.01090 11.14840 11.32930
0.74647 -4.76400 -4.61930 -3.45250 -2.03200 -1.01410 -0.74020 5.93800 6.47740 7.63660 10.01110 11.11810 11.36510
0.75814 -4.72800 -4.67020 -3.50010 -2.04680 -1.04500 -0.74800 5.92330 6.42370 7.64620 10.00970 11.08860 11.40270
0.76980 -4.74150 -4.67010 -3.54680 -2.06120 -1.07640 -0.75580 5.90720 6.37110 7.65670 10.00700 11.05990 11.44150
0.78146 -4.79190 -4.63170 -3.59260 -2.07530 -1.10830 -0.76330 5.89020 6.31980 7.66800 10.00330 11.03200 11.48080
0.79313 -4.84390 -4.59020 -3.63730 -2.08910 -1.14070 -0.77080 5.87230 6.26970 7.67970 9.99900 11.00480 11.51980
0.80479 -4.89510 -4.54800 -3.68110 -2.10250 -1.17370 -0.77810 5.85380 6.22090 7.69160 9.99430 10.97850 11.55770
