# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.48485 2.76632 2.76632 5.23646 6.62058 6.62058 14.41869 19.66609 19.66609 19.90121 19.90121 22.61866 25.71163
0.49495 2.82028 2.82028 5.34238 6.60189 6.60189 14.35244 19.66738 19.66738 19.89898 19.89898 22.65579 25.69482
0.50505 2.87402 2.87402 5.44810 6.58281 6.58281 14.28546 19.66869 19.66869 19.89672 19.89672 22.69304 25.67769
0.51515 2.92753 2.92753 5.55363 6.56334 6.56334 14.21776 19.67003 19.67003 19.89442 19.89442 22.73041 25.66021
0.52525 2.98081 2.98081 5.65895 6.54346 6.54346 14.14936 19.67140 19.67140 19.89210 19.89210 22.76786 25.64240
0.53535 3.03386 3.03386 5.76408 6.52318 6.52318 14.08028 19.67280 19.67280 19.88975 19.88975 22.80540 25.62427
0.54546 3.08667 3.08667 5.86899 6.50251 6.50251 14.01052 19.67424 19.67424 19.88738 19.88738 22.84301 25.60580
0.55556 3.13924 3.13924 5.97369 6.48144 6.48144 13.94009 19.67570 19.67570 19.88498 19.88498 22.88067 25.58700
0.56566 3.19156 3.19156 6.07818 6.45997 6.45997 13.86903 19.67720 19.67720 19.88255 19.88255 22.91837 25.56787
0.57576 3.24364 3.24364 6.18246 6.43810 6.43810 13.79732 19.67872 19.67872 19.88010 19.88010 22.95610 25.54841
0.58586 3.29546 3.29546 6.28651 6.41583 6.41583 13.72498 19.68027 19.68027 19.87763 19.87763 22.99384 25.52863
0.59596 3.34702 3.34702 6.39033 6.39316 6.39316 13.65203 19.68186 19.68186 19.87513 19.87513 23.03159 25.50852
0.60606 3.39832 3.39832 6.37010 6.37010 6.49393 13.57848 19.68348 19.68348 19.87261 19.87261 23.06934 25.48809
0.61616 3.44936 3.44936 6.34663 6.34663 6.59729 13.50433 19.68512 19.68512 19.87007 19.87007 23.10707 25.46733
0.62626 3.50013 3.50013 6.32276 6.32276 6.70042 13.42960 19.68680 19.68680 19.86752 19.86752 23.14478 25.44625
0.63636 3.55063 3.55063 6.29850 6.29850 6.80331 13.35429 19.68850 19.68850 19.86494 19.86494 23.18245 25.42485
0.64647 3.60086 3.60086 6.27383 6.27383 6.90596 13.27842 19.69024 19.69024 19.86235 19.86235 23.22008 25.40313
0.65657 3.65080 3.65080 6.24876 6.24876 7.00836 13.20199 19.69201 19.69201 19.85974 19.85974 23.25765 25.38109
