# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "lifetime (ps)" "mfp (nm)" multiplicity "modal kappa^{xx} (W/mK)" "modal kappa^{yy} (W/mK)" "modal kappa^{zz} (W/mK)"
1 1 0.00000 0.00000 0.00000 1 0.00000 0.00000 0.00000
1 2 0.00000 0.00000 0.00000 1 0.00000 0.00000 0.00000
1 3 0.00000 0.00000 0.00000 1 0.00000 0.00000 0.00000
1 4 7.06035 27.86150 0.00000 1 0.00000 0.00000 0.00000
1 5 7.06035 27.86150 0.00000 1 0.00000 0.00000 0.00000
1 6 16.26932 2.17752 0.00000 1 0.00000 0.00000 0.00000
1 7 18.24666 1.92700 0.00000 1 0.00000 0.00000 0.00000
1 8 19.63704 2.76747 0.00000 1 0.00000 0.00000 0.00000
1 9 19.63704 2.76747 0.00000 1 0.00000 0.00000 0.00000
1 10 19.95886 3.05622 0.00000 1 0.00000 0.00000 0.00000
1 11 19.95886 3.05622 0.00000 1 0.00000 0.00000 0.00000
1 12 21.45786 7.21090 0.00000 1 0.00000 0.00000 0.00000
2 1 0.35647 3179.10000 18617.50000 2 0.00000 0.00000 0.38806
2 2 0.35647 3179.10000 18617.50000 2 0.00000 0.00000 0.38806
2 3 0.66378 3316.09000 36180.20000 2 0.00000 0.00000 1.40406
2 4 7.05355 28.03640 6.27172 2 0.00000 0.00000 0.00000
2 5 7.05355 28.03640 6.27172 2 0.00000 0.00000 0.00000
2 6 16.23394 2.25810 2.61504 2 0.00000 0.00000 0.00001
2 7 19.63749 2.75694 0.03885 2 0.00000 0.00000 0.00000
2 8 19.63749 2.75694 0.03885 2 0.00000 0.00000 0.00000
2 9 19.95790 3.06581 0.09791 2 0.00000 0.00000 0.00000
2 10 19.95790 3.06581 0.09791 2 0.00000 0.00000 0.00000
2 11 21.48247 6.20812 4.99456 2 0.00000 0.00000 0.00001
2 12 26.10752 0.54150 0.11263 2 0.00000 0.00000 0.00000
3 1 0.71191 1224.18000 7137.95000 2 0.00000 0.00000 0.14802
3 2 0.71191 1224.18000 7137.95000 2 0.00000 0.00000 0.14802
3 3 1.32667 551.02000 5999.84000 2 0.00000 0.00000 0.23172
3 4 7.03313 28.42620 12.73230 2 0.00000 0.00000 0.00002
3 5 7.03313 28.42620 12.73230 2 0.00000 0.00000 0.00002
3 6 16.12973 2.70308 6.09202 2 0.00000 0.00000 0.00003
3 7 19.63877 2.74129 0.07780 2 0.00000 0.00000 0.00000
3 8 19.63877 2.74129 0.07780 2 0.00000 0.00000 0.00000
3 9 19.95500 3.05597 0.19378 2 0.00000 0.00000 0.00000
3 10 19.95500 3.05597 0.19378 2 0.00000 0.00000 0.00000
3 11 21.55442 4.70647 7.27828 2 0.00000 0.00000 0.00002
3 12 26.08857 0.58837 0.24463 2 0.00000 0.00000 0.00000
4 1 1.06529 631.90700 3657.82000 2 0.00000 0.00000 0.07520
4 2 1.06529 631.90700 3657.82000 2 0.00000 0.00000 0.07520
4 3 1.98778 292.42300 3173.41000 2 0.00000 0.00000 0.12158
4 4 6.99904 29.06860 19.56620 2 0.00000 0.00000 0.00004
4 5 6.99904 29.06860 19.56620 2 0.00000 0.00000 0.00004
4 6 15.96200 2.64408 8.57454 2 0.00000 0.00000 0.00006
4 7 19.64093 2.73165 0.11756 2 0.00000 0.00000 0.00000
4 8 19.64093 2.73165 0.11756 2 0.00000 0.00000 0.00000
4 9 19.95020 3.03060 0.28479 2 0.00000 0.00000 0.00000
4 10 19.95020 3.03060 0.28479 2 0.00000 0.00000 0.00000
4 11 21.66837 6.64043 14.48620 2 0.00000 0.00000 0.00004
4 12 26.05697 0.66052 0.41157 2 0.00000 0.00000 0.00000
5 1 1.41559 430.15800 2464.67000 2 0.00000 0.00000 0.05006
5 2 1.41559 430.15800 2464.67000 2 0.00000 0.00000 0.05006
5 3 2.64624 125.51500 1355.73000 2 0.00000 0.00000 0.05136
5 4 6.95123 29.78590 26.79790 2 0.00000 0.00000 0.00008
5 5 6.95123 29.78590 26.79790 2 0.00000 0.00000 0.00008
5 6 15.73787 3.00836 12.35590 2 0.00000 0.00000 0.00011
5 7 19.64399 2.73098 0.15896 2 0.00000 0.00000 0.00000
5 8 19.64399 2.73098 0.15896 2 0.00000 0.00000 0.00000
5 9 19.94360 3.01925 0.37192 2 0.00000 0.00000 0.00000
5 10 19.94360 3.01925 0.37192 2 0.00000 0.00000 0.00000
5 11 21.81719 7.12655 19.17830 2 0.00000 0.00000 0.00007
5 12 26.01278 0.72087 0.59809 2 0.00000 0.00000 0.00000
6 1 1.76181 278.63700 1575.55000 2 0.00000 0.00000 0.03151
6 2 1.76181 278.63700 1575.55000 2 0.00000 0.00000 0.03151
6 3 3.30119 73.94830 793.93900 2 0.00000 0.00000 0.02965
6 4 6.88959 30.70480 34.63380 2 0.00000 0.00000 0.00013
6 5 6.88959 30.70480 34.63380 2 0.00000 0.00000 0.00013
6 6 15.46497 3.36013 16.29350 2 0.00000 0.00000 0.00017
6 7 19.64801 2.74825 0.20332 2 0.00000 0.00000 0.00000
6 8 19.64801 2.74825 0.20332 2 0.00000 0.00000 0.00000
6 9 19.93527 2.97068 0.44747 2 0.00000 0.00000 0.00000
6 10 19.93527 2.97068 0.44747 2 0.00000 0.00000 0.00000
