# 4x4x3 supercell for harmonic, 4x4x3 supercell for cubic ifcs
# 53x53x33 k points for kappa
# cubic ifcs up to 15NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 20 K
"k index (irred.)" "branch index" "f (THz)" "lifetime (ps)" "mfp (nm)" multiplicity "modal kappa^{xx} (W/mK)" "modal kappa^{yy} (W/mK)" "modal kappa^{zz} (W/mK)"
7 9 19.92532 4.92258 0.86601 2 0.00000 0.00000 0.00000
7 10 19.92532 4.92258 0.86601 2 0.00000 0.00000 0.00000
7 11 22.18929 9.31450 31.25320 2 0.00000 0.00000 0.00000
7 12 25.88693 1.16983 1.44980 2 0.00000 0.00000 0.00000
8 1 2.43813 3856080.00000 21041000.00000 2 0.00000 0.00000 40.50330
8 2 2.43813 3856080.00000 21041000.00000 2 0.00000 0.00000 40.50330
8 3 4.59711 17046.80000 180104.00000 2 0.00000 0.00000 0.01334
8 4 6.72437 9057.32000 14402.70000 2 0.00000 0.00000 0.00000
8 5 6.72437 9057.32000 14402.70000 2 0.00000 0.00000 0.00000
8 6 14.79991 7.75538 46.74520 2 0.00000 0.00000 0.00000
8 7 19.65904 4.47520 0.48081 2 0.00000 0.00000 0.00000
8 8 19.65904 4.47520 0.48081 2 0.00000 0.00000 0.00000
8 9 19.91392 5.01183 0.99600 2 0.00000 0.00000 0.00000
8 10 19.91392 5.01183 0.99600 2 0.00000 0.00000 0.00000
8 11 22.39941 5.65995 20.05050 2 0.00000 0.00000 0.00000
8 12 25.80539 1.29469 1.86644 2 0.00000 0.00000 0.00000
9 1 2.76632 3253050.00000 17354500.00000 2 0.00000 0.00000 19.06950
9 2 2.76632 3253050.00000 17354500.00000 2 0.00000 0.00000 19.06950
9 3 5.23647 9043.95000 94597.10000 2 0.00000 0.00000 0.00194
9 4 6.62059 9330.86000 17019.60000 2 0.00000 0.00000 0.00000
9 5 6.62059 9330.86000 17019.60000 2 0.00000 0.00000 0.00000
9 6 14.41870 11.76410 76.46660 2 0.00000 0.00000 0.00000
9 7 19.66609 4.44728 0.55587 2 0.00000 0.00000 0.00000
9 8 19.66609 4.44728 0.55587 2 0.00000 0.00000 0.00000
9 9 19.90121 5.08579 1.11244 2 0.00000 0.00000 0.00000
9 10 19.90121 5.08579 1.11244 2 0.00000 0.00000 0.00000
9 11 22.61865 5.59607 20.46390 2 0.00000 0.00000 0.00000
9 12 25.71164 1.44656 2.37460 2 0.00000 0.00000 0.00000
10 1 3.08666 2325540.00000 12089800.00000 2 0.00000 0.00000 7.46180
10 2 3.08666 2325540.00000 12089800.00000 2 0.00000 0.00000 7.46180
10 3 5.86898 5217.01000 53950.10000 2 0.00000 0.00000 0.00030
10 4 6.50250 9949.58000 20489.50000 2 0.00000 0.00000 0.00001
10 5 6.50250 9949.58000 20489.50000 2 0.00000 0.00000 0.00001
10 6 14.01053 19.89710 137.60400 2 0.00000 0.00000 0.00000
10 7 19.67424 4.54801 0.64986 2 0.00000 0.00000 0.00000
10 8 19.67424 4.54801 0.64986 2 0.00000 0.00000 0.00000
