# 4x4x3 supercell
"kaxis (pi/a or pi/c unit)" f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12
0.96970 8.52623 9.01653 11.71906 12.03186 12.63003 14.84559 18.88161 19.33668 20.38896 20.63720 21.12575 23.04570
0.98990 8.66482 9.15850 11.83641 11.96587 12.75003 14.84391 18.91074 19.32293 20.40542 20.67292 21.10115 22.93020
1.01010 8.80065 9.29660 11.89618 11.95200 12.86347 14.83332 18.93954 19.31306 20.42172 20.70727 21.07790 22.81745
1.03030 8.93367 9.43067 11.82330 12.06574 12.97021 14.81353 18.96785 19.30675 20.43795 20.73988 21.05625 22.70803
1.05051 9.06382 9.56051 11.74769 12.17755 13.07013 14.78450 18.99553 19.30356 20.45422 20.77035 21.03643 22.60260
1.07071 9.19106 9.68593 11.66972 12.28731 13.16308 14.74642 19.02243 19.30291 20.47072 20.79823 21.01856 22.50188
1.09091 9.31535 9.80663 11.58975 12.39490 13.24893 14.69971 19.04839 19.30416 20.48766 20.82303 21.00271 22.40662
1.11111 9.43664 9.92232 11.50807 12.50014 13.32757 14.64498 19.07329 19.30659 20.50530 20.84424 20.98884 22.31766
1.13131 9.55489 10.03259 11.42495 12.60281 13.39892 14.58302 19.09700 19.30951 20.52391 20.86133 20.97685 22.23583
1.15152 9.67006 10.13697 11.34064 12.70261 13.46299 14.51479 19.11942 19.31222 20.54378 20.87378 20.96653 22.16192
1.17172 9.78211 10.23487 11.25539 12.79908 13.51988 14.44140 19.14049 19.31413 20.56515 20.88120 20.95762 22.09665
1.19192 9.89102 10.32560 11.16940 12.89162 13.56990 14.36410 19.16016 19.31473 20.58819 20.88331 20.94980 22.04052
1.21212 9.99674 10.40831 11.08290 12.97929 13.61365 14.28431 19.17845 19.31364 20.61300 20.88013 20.94272 21.99380
1.23232 10.09926 10.48200 10.99610 13.06073 13.65219 14.20358 19.19541 19.31063 20.63955 20.87191 20.93606 21.95638
1.25253 10.19854 10.54550 10.90921 13.13394 13.68723 14.12362 19.21116 19.30557 20.66767 20.85922 20.92952 21.92783
1.27273 10.29456 10.59746 10.82248 13.19615 13.72132 14.04624 19.22586 19.29846 20.69697 20.84286 20.92296 21.90738
1.29293 10.38731 10.63616 10.73639 13.24393 13.75769 13.97338 19.23974 19.28941 20.72674 20.82377 20.91648 21.89408
1.31313 10.47675 10.64403 10.66721 13.27392 13.79954 13.90698 19.25308 19.27857 20.75566 20.80286 20.91083 21.88686
1.33333 10.56288 10.56288 10.67187 13.28404 13.84891 13.84891 19.26618 19.26618 20.78100 20.78100 20.90810 21.88468
1.35354 10.47853 10.64567 10.66346 13.27420 13.80085 13.90592 19.25248 19.27937 20.75888 20.79784 20.91265 21.88656
