# normalized_q E1[eV] E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12
0.484780 1.782000 3.627700 4.607200 5.427500 6.574800 6.579600 12.994900 14.524400 15.030800 16.811900 18.491500 18.870900
0.494927 1.816100 3.557800 4.550100 5.408800 6.559500 6.566500 13.024000 14.487500 14.983600 16.848700 18.460600 18.833400
0.505073 1.850900 3.488300 4.493400 5.390300 6.538700 6.558200 13.050500 14.446700 14.941400 16.885700 18.433100 18.795800
0.515045 1.886200 3.419400 4.437000 5.371900 6.517300 6.549800 13.074100 14.402200 14.904400 16.922200 18.409300 18.758400
0.525192 1.922000 3.351000 4.381100 5.353600 6.495200 6.541400 13.094800 14.354300 14.872600 16.957600 18.389500 18.721200
0.535339 1.958400 3.283300 4.325600 5.335600 6.472600 6.533000 13.112400 14.303600 14.845800 16.991500 18.374000 18.684200
0.545486 1.995200 3.216200 4.270500 5.317800 6.449200 6.524600 13.127000 14.250600 14.823700 17.023300 18.363100 18.647700
0.555458 2.032500 3.149900 4.216000 5.300100 6.425300 6.516100 13.138500 14.195900 14.805900 17.052500 18.357100 18.611700
0.565605 2.070300 3.084300 4.162000 5.282700 6.400700 6.507700 13.146900 14.139900 14.792200 17.078800 18.356000 18.576200
0.575752 2.108600 3.019500 4.108600 5.265600 6.375500 6.499300 13.152300 14.083200 14.782200 17.101800 18.360000 18.541200
0.585899 2.147200 2.955600 4.055700 5.248700 6.349600 6.490900 13.154800 14.026000 14.775600 17.121400 18.369100 18.506800
0.595871 2.186300 2.892500 4.003500 5.232000 6.323100 6.482600 13.154400 13.968700 14.772000 17.137700 18.383100 18.473100
0.606018 2.225800 2.830500 3.952000 5.215600 6.295900 6.474300 13.151400 13.911600 14.771100 17.150500 18.401800 18.439900
0.616165 2.265600 2.769400 3.901200 5.199500 6.268200 6.466000 13.146000 13.854900 14.772700 17.160200 18.407500 18.424800
0.626312 2.305700 2.709400 3.851100 5.183700 6.239800 6.457900 13.138200 13.798700 14.776400 17.166900 18.375800 18.451600
0.636284 2.346000 2.650700 3.801800 5.168200 6.210800 6.449800 13.128500 13.743300 14.782000 17.171100 18.344800 18.481700
0.646431 2.386200 2.593300 3.753300 5.153000 6.181200 6.441900 13.116900 13.688700 14.789100 17.173100 18.314500 18.514600
0.656578 2.425500 2.538400 3.705600 5.138100 6.151100 6.434000 13.103700 13.635000 14.797600 17.173200 18.284900 18.549500
0.666725 2.452700 2.496900 3.658700 5.123600 6.120300 6.426200 13.089100 13.582400 14.807100 17.171800 18.256100 18.585900
0.676697 2.418700 2.518200 3.612800 5.109300 6.089100 6.418600 13.073300 13.530900 14.817500 17.169200 18.228000 18.623100
0.686844 2.367800 2.557600 3.567900 5.095500 6.057300 6.411100 13.056600 13.480500 14.828500 17.165700 18.200700 18.660300
0.696991 2.316600 2.598900 3.523900 5.081900 6.025000 6.403700 13.039000 13.431500 14.840000 17.161700 18.174200 18.696600
0.706963 2.266200 2.640700 3.480900 5.068800 5.992300 6.396500 13.020900 13.383700 14.851800 17.157300 18.148500 18.731300
