# k j freq[thz] mfp[nm] kappa[W/m/K]
1.20000000e+01 5.00000000e+00 2.00898714e+00 4.96612000e+00 6.71670000e-06
1.20000000e+01 6.00000000e+00 2.99135755e+00 7.44739000e-01 1.38754000e-06
1.30000000e+01 1.00000000e+00 1.47109134e+00 4.65398000e+00 1.02611000e-05
1.30000000e+01 2.00000000e+00 1.47109134e+00 4.65399000e+00 1.02611000e-05
1.30000000e+01 3.00000000e+00 1.95357658e+00 4.64854000e+00 6.27180000e-06
1.30000000e+01 4.00000000e+00 1.95357658e+00 4.64855000e+00 6.26873000e-06
1.30000000e+01 5.00000000e+00 2.14277231e+00 8.83954000e+00 3.15883000e-05
1.30000000e+01 6.00000000e+00 2.90028974e+00 1.05340000e+00 2.33997000e-06
1.40000000e+01 1.00000000e+00 1.55973084e+00 4.44954000e+00 8.83025000e-06
1.40000000e+01 2.00000000e+00 1.55973084e+00 4.44954000e+00 8.82897000e-06
1.40000000e+01 3.00000000e+00 1.89413082e+00 3.89760000e+00 5.34881000e-06
1.40000000e+01 4.00000000e+00 1.89413082e+00 3.89760000e+00 5.34750000e-06
1.40000000e+01 5.00000000e+00 2.28696327e+00 5.18121000e+00 1.74232000e-05
1.40000000e+01 6.00000000e+00 2.80016820e+00 1.52384000e+00 3.79435000e-06
1.50000000e+01 1.00000000e+00 1.63595895e+00 3.88376000e+00 6.04297000e-06
1.50000000e+01 2.00000000e+00 1.63595895e+00 3.88376000e+00 6.03846000e-06
1.50000000e+01 3.00000000e+00 1.83522170e+00 2.74025000e+00 3.39061000e-06
1.50000000e+01 4.00000000e+00 1.83522170e+00 2.74025000e+00 3.39216000e-06
1.50000000e+01 5.00000000e+00 2.41941438e+00 2.53430000e+00 7.59951000e-06
1.50000000e+01 6.00000000e+00 2.69408680e+00 2.00134000e+00 5.14486000e-06
1.60000000e+01 1.00000000e+00 1.67565441e+00 4.09052000e-08 8.11383000e-22
1.60000000e+01 2.00000000e+00 1.67565441e+00 4.09471000e-08 4.41868000e-22
1.60000000e+01 3.00000000e+00 1.80125826e+00 2.87961000e-08 3.09522000e-22
1.60000000e+01 4.00000000e+00 1.80125826e+00 3.04161000e-08 6.03816000e-22
1.60000000e+01 5.00000000e+00 2.50518187e+00 1.01833000e-08 1.66110000e-22
1.60000000e+01 6.00000000e+00 2.61708823e+00 1.36410000e-08 1.90986000e-22
1.70000000e+01 1.00000000e+00 1.11053450e-01 2.61489000e+02 5.99471000e-04
1.70000000e+01 2.00000000e+00 1.11053450e-01 2.61489000e+02 5.99471000e-04
1.70000000e+01 3.00000000e+00 2.86586762e-01 5.11896000e+01 3.02442000e-04
1.70000000e+01 4.00000000e+00 2.28095844e+00 8.38014000e-02 2.89344000e-09
1.70000000e+01 5.00000000e+00 2.28095844e+00 8.38010000e-02 2.89341000e-09
1.70000000e+01 6.00000000e+00 3.45507282e+00 2.26848000e-01 6.97320000e-07
1.80000000e+01 1.00000000e+00 2.12425116e-01 4.39860000e+01 1.31233000e-04
1.80000000e+01 2.00000000e+00 2.29450904e-01 5.08380000e+01 1.80142000e-04
1.80000000e+01 3.00000000e+00 4.39234253e-01 2.69554000e+01 1.53263000e-04
1.80000000e+01 4.00000000e+00 2.27348462e+00 8.48197000e-01 2.90295000e-07
1.80000000e+01 5.00000000e+00 2.27882992e+00 1.54144000e+00 9.66047000e-07
1.80000000e+01 6.00000000e+00 3.43966351e+00 4.31971000e-01 1.77326000e-06
1.90000000e+01 1.00000000e+00 3.41843824e-01 1.68707000e+01 5.40186000e-05
1.90000000e+01 2.00000000e+00 3.79578643e-01 1.97650000e+01 7.26413000e-05
1.90000000e+01 3.00000000e+00 6.02252149e-01 2.04767000e+01 1.09367000e-04
1.90000000e+01 4.00000000e+00 2.25712797e+00 1.25800000e+00 6.05040000e-07
1.90000000e+01 5.00000000e+00 2.27132612e+00 1.58669000e+00 9.83016000e-07
1.90000000e+01 6.00000000e+00 3.41762880e+00 6.46826000e-01 2.88258000e-06
2.00000000e+01 1.00000000e+00 4.72688042e-01 9.87945000e+00 3.17366000e-05
2.00000000e+01 2.00000000e+00 5.26827480e-01 1.00205000e+01 3.49430000e-05
2.00000000e+01 3.00000000e+00 7.69718958e-01 1.62501000e+01 8.09651000e-05
2.00000000e+01 4.00000000e+00 2.23686503e+00 1.12077000e+00 4.53545000e-07
2.00000000e+01 5.00000000e+00 2.25950532e+00 7.34815000e-01 2.00015000e-07
2.00000000e+01 6.00000000e+00 3.38824918e+00 7.74201000e-01 3.20155000e-06
2.10000000e+01 1.00000000e+00 6.00597297e-01 7.05306000e+00 2.23371000e-05
2.10000000e+01 2.00000000e+00 6.66779379e-01 6.58343000e+00 2.15159000e-05
2.10000000e+01 3.00000000e+00 9.39536136e-01 1.63200000e+01 7.62972000e-05
2.10000000e+01 4.00000000e+00 2.21422474e+00 1.01928000e+00 3.54774000e-07
2.10000000e+01 5.00000000e+00 2.24423392e+00 1.27984000e+00 5.68272000e-07
2.10000000e+01 6.00000000e+00 3.35275381e+00 7.30281000e-01 2.42906000e-06
2.20000000e+01 1.00000000e+00 7.24939027e-01 5.08976000e+00 1.58396000e-05
2.20000000e+01 2.00000000e+00 7.99494299e-01 4.17811000e+00 1.29675000e-05
2.20000000e+01 3.00000000e+00 1.11047753e+00 2.43447000e+01 1.08188000e-04
2.20000000e+01 4.00000000e+00 2.18943194e+00 3.11972000e+00 3.09753000e-06
2.20000000e+01 5.00000000e+00 2.22573675e+00 1.92759000e+00 1.18775000e-06
2.20000000e+01 6.00000000e+00 3.31198210e+00 5.51813000e-01 1.24934000e-06
2.30000000e+01 1.00000000e+00 8.46028014e-01 3.89639000e+00 1.19131000e-05
2.30000000e+01 2.00000000e+00 9.26132436e-01 3.72330000e+00 1.11581000e-05
2.30000000e+01 3.00000000e+00 1.28151187e+00 2.98027000e+01 1.27443000e-04
2.30000000e+01 4.00000000e+00 2.16173116e+00 4.77336000e+00 6.83348000e-06
2.30000000e+01 5.00000000e+00 2.20349818e+00 3.26569000e+00 3.14816000e-06
2.30000000e+01 6.00000000e+00 3.26596403e+00 3.03426000e-01 3.51878000e-07
2.40000000e+01 1.00000000e+00 9.64131072e-01 4.75580000e+00 1.42483000e-05
2.40000000e+01 2.00000000e+00 1.04772807e+00 4.83057000e+00 1.41006000e-05
2.40000000e+01 3.00000000e+00 1.45152691e+00 3.36578000e+01 1.39442000e-04
2.40000000e+01 4.00000000e+00 2.12982430e+00 5.80693000e+00 9.73579000e-06
2.40000000e+01 5.00000000e+00 2.17651091e+00 4.44886000e+00 5.49898000e-06
2.40000000e+01 6.00000000e+00 3.21386018e+00 5.13770000e-02 9.27951000e-09
2.50000000e+01 1.00000000e+00 1.07905634e+00 5.27061000e+00 1.53675000e-05
2.50000000e+01 2.00000000e+00 1.16466494e+00 4.85760000e+00 1.37967000e-05
2.50000000e+01 3.00000000e+00 1.61922156e+00 3.18173000e+01 1.27825000e-04
2.50000000e+01 4.00000000e+00 2.09241925e+00 6.14643000e+00 1.06835000e-05
2.50000000e+01 5.00000000e+00 2.14374964e+00 5.20768000e+00 7.32643000e-06
2.50000000e+01 6.00000000e+00 3.15447138e+00 2.08594000e-01 1.42054000e-07
2.60000000e+01 1.00000000e+00 1.19008730e+00 5.39702000e+00 1.51633000e-05
2.60000000e+01 2.00000000e+00 1.27662226e+00 4.81442000e+00 1.32025000e-05
2.60000000e+01 3.00000000e+00 1.78317781e+00 2.33628000e+01 9.07085000e-05
2.60000000e+01 4.00000000e+00 2.04873956e+00 6.00129000e+00 1.01324000e-05
2.60000000e+01 5.00000000e+00 2.10453684e+00 5.62487000e+00 8.47073000e-06
2.60000000e+01 6.00000000e+00 3.08653852e+00 4.43275000e-01 5.83633000e-07
