0.51,-6.109,0.6872,3.4699,3.4699,6.4309,8.1576,11.4165,11.4165,12.5683,15.7132
0.52,-6.0687,0.5978,3.4319,3.4319,6.4027,8.1166,11.5049,11.5049,12.6343,15.8218
0.53,-6.0277,0.5086,3.3946,3.3946,6.3753,8.0734,11.5934,11.5934,12.7037,15.9303
0.54,-5.986,0.4196,3.358,3.358,6.3487,8.0284,11.682,11.682,12.7762,16.0383
0.55,-5.9435,0.3308,3.322,3.322,6.3229,7.9819,11.7708,11.7708,12.8515,16.1459
0.56,-5.9003,0.2423,3.2868,3.2868,6.298,7.9341,11.8596,11.8596,12.9294,16.2528
0.57,-5.8564,0.154,3.2523,3.2523,6.2739,7.8852,11.9485,11.9485,13.0097,16.3589
0.58,-5.8117,0.066,3.2185,3.2185,6.2507,7.8354,12.0374,12.0374,13.0921,16.442
0.59,-5.7663,-0.0218,3.1854,3.1854,6.2284,7.7849,12.1264,12.1264,13.1764,16.4954
0.6,-5.7202,-0.1093,3.153,3.153,6.207,7.7339,12.2154,12.2154,13.2624,16.5497
0.61,-5.6734,-0.1965,3.1214,3.1214,6.1865,7.6826,12.3043,12.3043,13.35,16.6049
0.62,-5.6259,-0.2835,3.0905,3.0905,6.1669,7.6311,12.3932,12.3932,13.439,16.661
0.63,-5.5776,-0.3702,3.0604,3.0604,6.1482,7.5795,12.4821,12.4821,13.5293,16.7181
0.64,-5.5287,-0.4567,3.031,3.031,6.1304,7.5279,12.5709,12.5709,13.6207,16.776
0.65,-5.479,-0.5428,3.0024,3.0024,6.1136,7.4766,12.6595,12.6595,13.7131,16.8348
0.66,-5.4286,-0.6287,2.9745,2.9745,6.0977,7.4254,12.748,12.748,13.8064,16.8946
0.67,-5.3776,-0.7143,2.9474,2.9474,6.0828,7.3746,12.8364,12.8364,13.9005,16.9552
0.68,-5.3258,-0.7995,2.9211,2.9211,6.0688,7.3242,12.9245,12.9245,13.9953,17.0168
0.69,-5.2734,-0.8845,2.8955,2.8955,6.0557,7.2743,13.0124,13.0124,14.0907,17.0793
0.7,-5.2202,-0.9691,2.8708,2.8708,6.0437,7.225,13.1,13.1,14.1866,17.1427
0.71,-5.1664,-1.0535,2.8468,2.8468,6.0326,7.1762,13.1872,13.1872,14.283,17.207
0.72,-5.1119,-1.1375,2.8236,2.8236,6.0225,7.1282,13.2741,13.2741,14.3798,17.2722
0.73,-5.0568,-1.2211,2.8011,2.8011,6.0134,7.0808,13.3605,13.3605,14.4768,17.3383
0.74,-5.0009,-1.3044,2.7795,2.7795,6.0053,7.0342,13.4464,13.4464,14.5742,17.4053
0.75,-4.9444,-1.3874,2.7587,2.7587,5.9982,6.9883,13.5317,13.5317,14.6717,17.4732
0.76,-4.8872,-1.4701,2.7387,2.7387,5.9921,6.9433,13.6163,13.6163,14.7694,17.542
0.77,-4.8294,-1.5523,2.7194,2.7194,5.987,6.8992,13.7002,13.7002,14.8672,17.6118
0.78,-4.7709,-1.6342,2.701,2.701,5.9829,6.8559,13.7832,13.7832,14.965,17.6824
0.79,-4.7118,-1.7158,2.6833,2.6833,5.9799,6.8136,13.8653,13.8653,15.0627,17.754
0.8,-4.652,-1.7969,2.6665,2.6665,5.9779,6.7722,13.9463,13.9463,15.1604,17.8264
0.81,-4.5916,-1.8777,2.6505,2.6505,5.9769,6.7317,14.026,14.026,15.258,17.8998
0.82,-4.5305,-1.958,2.6353,2.6353,5.9769,6.6922,14.1044,14.1044,15.3554,17.9639
0.83,-4.4689,-2.038,2.6209,2.6209,5.978,6.6537,14.1812,14.1812,15.4526,17.9529
0.84,-4.4066,-2.1176,2.6073,2.6073,5.9802,6.6162,14.2562,14.2562,15.5495,17.9353
0.85,-4.3436,-2.1967,2.5946,2.5946,5.9834,6.5797,14.3292,14.3292,15.6461,17.9113
0.86,-4.2801,-2.2754,2.5826,2.5826,5.9876,6.5442,14.4001,14.4001,15.7423,17.8813
0.87,-4.216,-2.3537,2.5715,2.5715,5.9929,6.5098,14.4684,14.4684,15.8381,17.8456
0.88,-4.1512,-2.4316,2.5612,2.5612,5.9993,6.4764,14.5339,14.5339,15.9334,17.8045
0.89,-4.0859,-2.509,2.5517,2.5517,6.0067,6.4441,14.5963,14.5963,16.0281,17.7584
0.9,-4.0199,-2.5859,2.543,2.543,6.0152,6.4128,14.6553,14.6553,16.1222,17.7076
0.91,-3.9534,-2.6624,2.5352,2.5352,6.0248,6.3827,14.7104,14.7104,16.2157,17.6525
0.92,-3.8863,-2.7385,2.5281,2.5281,6.0354,6.3535,14.7613,14.7613,16.3083,17.5933
0.93,-3.8186,-2.814,2.5219,2.5219,6.0472,6.3255,14.8075,14.8075,16.4001,17.5305
0.94,-3.7503,-2.8891,2.5166,2.5166,6.06,6.2985,14.8486,14.8486,16.491,17.4644
0.95,-3.6815,-2.9637,2.512,2.512,6.0739,6.2727,14.8843,14.8843,16.5809,17.3951
0.96,-3.6121,-3.0378,2.5083,2.5083,6.0889,6.2479,14.9141,14.9141,16.6696,17.323
0.97,-3.5422,-3.1114,2.5054,2.5054,6.1049,6.2242,14.9377,14.9377,16.7571,17.2483
0.98,-3.4717,-3.1845,2.5033,2.5033,6.1221,6.2016,14.9547,14.9547,16.8432,17.1713
0.99,-3.4007,-3.2571,2.5021,2.5021,6.1403,6.1801,14.9651,14.9651,16.9278,17.092
1.0,-3.3292,-3.3292,2.5017,2.5017,6.1596,6.1596,14.9685,14.9685,17.0108,17.0108
