k,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11
0.6967,-6.3472,-5.8895,-5.1811,-4.5713,-4.2059,-3.3133,-1.1703,0.4593,1.4255,2.0359,3.4204
0.7,-6.3448,-5.9045,-5.165,-4.567,-4.2077,-3.3096,-1.1742,0.4643,1.429,2.03,3.4164
0.7033,-6.3421,-5.9204,-5.1482,-4.5619,-4.2095,-3.3056,-1.1785,0.4697,1.4328,2.0235,3.4119
0.7067,-6.3393,-5.9369,-5.1312,-4.556,-4.2114,-3.3014,-1.1831,0.4755,1.437,2.0166,3.407
0.71,-6.3363,-5.9539,-5.114,-4.5491,-4.2134,-3.297,-1.1879,0.4817,1.4417,2.0091,3.4017
0.7133,-6.3331,-5.9715,-5.0968,-4.5411,-4.2155,-3.2923,-1.193,0.4882,1.4468,2.0012,3.396
0.7167,-6.3297,-5.9894,-5.0799,-4.5319,-4.2176,-3.2874,-1.1983,0.4951,1.4523,1.9929,3.3899
0.72,-6.3261,-6.0076,-5.0635,-4.5215,-4.2197,-3.2823,-1.2039,0.5023,1.4583,1.9841,3.3833
0.7233,-6.3224,-6.0261,-5.0477,-4.5097,-4.2217,-3.277,-1.2096,0.5098,1.4647,1.9749,3.3764
0.7267,-6.3186,-6.0448,-5.0326,-4.4964,-4.2238,-3.2716,-1.2154,0.5176,1.4716,1.9654,3.369
0.73,-6.3146,-6.0636,-5.0184,-4.4816,-4.2258,-3.2661,-1.2214,0.5256,1.479,1.9554,3.3613
0.7333,-6.3105,-6.0826,-5.0052,-4.4652,-4.2277,-3.2605,-1.2275,0.5339,1.4868,1.9452,3.3531
0.7367,-6.3062,-6.1016,-4.993,-4.4473,-4.2296,-3.2548,-1.2337,0.5424,1.4951,1.9346,3.3446
0.74,-6.3019,-6.1206,-4.9819,-4.4276,-4.2314,-3.249,-1.24,0.551,1.5039,1.9238,3.3357
0.7433,-6.2974,-6.1397,-4.9719,-4.4064,-4.2331,-3.2432,-1.2463,0.5598,1.5132,1.9126,3.3264
0.7467,-6.2929,-6.1588,-4.963,-4.3836,-4.2347,-3.2373,-1.2527,0.5688,1.5229,1.9012,3.3167
0.75,-6.2882,-6.1778,-4.9552,-4.3594,-4.2361,-3.2314,-1.2591,0.5779,1.5332,1.8895,3.3067
0.7533,-6.2835,-6.1968,-4.9485,-4.3336,-4.2375,-3.2255,-1.2656,0.5871,1.544,1.8777,3.2964
0.7567,-6.2787,-6.2157,-4.9427,-4.3065,-4.2386,-3.2196,-1.272,0.5963,1.5552,1.8656,3.2857
0.76,-6.2739,-6.2346,-4.9378,-4.2782,-4.2396,-3.2137,-1.2784,0.6057,1.567,1.8533,3.2747
0.7633,-6.269,-6.2533,-4.9337,-4.2486,-4.2404,-3.2079,-1.2848,0.615,1.5793,1.8409,3.2634
0.7667,-6.2719,-6.2641,-4.9305,-4.2411,-4.218,-3.2021,-1.2911,0.6245,1.592,1.8283,3.2517
0.77,-6.2904,-6.2592,-4.9279,-4.2415,-4.1863,-3.1964,-1.2974,0.6339,1.6053,1.8156,3.2398
0.7733,-6.3088,-6.2542,-4.926,-4.2417,-4.1538,-3.1907,-1.3036,0.6433,1.6191,1.8027,3.2276
0.7767,-6.327,-6.2493,-4.9246,-4.2417,-4.1203,-3.1852,-1.3098,0.6527,1.6334,1.7897,3.2151
0.78,-6.3451,-6.2443,-4.9238,-4.2416,-4.0861,-3.1797,-1.3159,0.662,1.6482,1.7767,3.2024
