temp. (T),nat_full,nat_rta,pure_full,pure_rta
20.0,1337.7000000000000455,1336.5,21063.0,12656.0
30.0,883.9500000000000455,881.35000000000002274,6447.699999999999818,5098.100000000000364
40.0,660.62999999999999545,658.25,2800.099999999999909,2490.300000000000182
50.0,505.4800000000000182,503.81000000000000227,1453.099999999999909,1361.7999999999999545
75.0,280.19999999999998863,278.69999999999998863,509.81999999999999318,491.68000000000000682
100.0,185.19999999999998863,183.1699999999999875,283.70999999999997954,273.02999999999997272
125.0,138.62000000000000455,136.28999999999999204,194.75,186.4900000000000091
150.0,111.62000000000000455,109.189999999999997726,148.84000000000000341,141.93000000000000682
175.0,94.0,91.58499999999999375,120.989999999999994884,115.01999999999999602
200.0,81.5379999999999967,79.18200000000000216,102.260000000000005116,96.989999999999994884
225.0,72.20600000000000307,69.930999999999997385,88.75600000000000023,84.04200000000000159
250.0,64.921999999999997044,62.7359999999999971,78.53000000000000114,74.263999999999995794
275.0,59.0589999999999975,56.960999999999998522,70.496999999999999886,66.60099999999999909
300.0,54.223999999999996646,52.212000000000003297,64.00600000000000023,60.421999999999997044
400.0,41.060999999999999943,39.35000000000000142,46.95799999999999841,44.246999999999999886
500.0,33.171999999999997044,31.69200000000000017,37.185999999999999943,35.00800000000000267
600.0,27.876000000000001222,26.573000000000000398,30.818000000000001393,28.998000000000001108
700.0,24.059999999999998721,22.897999999999999687,26.327999999999999403,24.765999999999998238
800.0,21.173999999999999488,20.125,22.986999999999998323,21.618999999999999773
900.0,18.913000000000000256,17.957000000000000739,20.402999999999998693,19.185999999999999943
1000.0,17.09100000000000108,16.213999999999998636,18.342999999999999972,17.248000000000001108
