temp. (T),nat_full,nat_rta,pure_full,pure_rta
20.0,1243.7999999999999545,1234.2000000000000455,-9.9852e+17,14615.0
30.0,821.34000000000003183,813.69000000000005457,6722.600000000000364,5563.0
40.0,621.36000000000001364,616.36000000000001364,2820.300000000000182,2557.0
50.0,480.70999999999997954,477.69999999999998863,1443.099999999999909,1360.2999999999999545
75.0,271.37000000000000455,269.660000000000025,503.75,485.55000000000001137
100.0,181.12000000000000455,179.06999999999999318,280.92000000000001592,270.0099999999999909
125.0,136.28000000000000114,133.94999999999998863,193.18999999999999773,184.7400000000000091
150.0,110.06999999999999318,107.650000000000005684,147.81999999999999318,140.7599999999999909
175.0,92.87699999999999534,90.45600000000000307,120.25,114.150000000000005684
200.0,80.668000000000006366,78.30200000000000671,101.689999999999997726,96.30299999999999727
225.0,71.50199999999999534,69.2120000000000033,88.296999999999997044,83.474999999999994316
250.0,64.33499999999999375,62.131000000000000227,78.14499999999999602,73.781999999999996476
275.0,58.555999999999997385,56.439000000000000057,70.16500000000000625,66.180999999999997385
300.0,53.78499999999999659,51.753000000000000114,63.713999999999998636,60.049999999999997158
400.0,40.77499999999999858,39.040999999999996817,46.761000000000002785,43.988999999999997215
500.0,32.962000000000003297,31.45899999999999963,37.036000000000001364,34.8089999999999975
600.0,27.710999999999998522,26.387000000000000455,30.696999999999999176,28.835999999999998522
700.0,23.92500000000000071,22.74299999999999855,26.225000000000001421,24.628000000000000114
800.0,21.059999999999998721,19.992000000000000881,22.89900000000000091,21.5
900.0,18.814000000000000057,17.84100000000000108,20.32499999999999929,19.080999999999999517
1000.0,17.004000000000001336,16.109999999999999432,18.272999999999999687,17.152999999999998693
