f(THz)          MFP(nm)         kappa(W/m-K)
1.660722E+00    8.432730E-01    1.219984E-07
1.660722E+00    8.432730E-01    1.142080E-07
6.030210E+00    4.512310E+00    7.564800E-05
7.164300E+00    2.291060E+01    2.145568E-04
8.291970E+00    8.703370E-03    3.489384E-10
8.291970E+00    8.703360E-03    3.764904E-10
1.661607E+00    3.219340E-01    1.891912E-08
1.661607E+00    3.219350E-01    1.599064E-08
6.188700E+00    4.731230E+00    6.444696E-05
7.067520E+00    1.801460E+01    1.551360E-04
8.291760E+00    1.147220E-03    5.524952E-12
8.291760E+00    1.147200E-03    8.887440E-12
1.661907E+00    9.862040E-02    2.081824E-09
1.661907E+00    9.862120E-02    1.256704E-09
6.305460E+00    6.967460E+00    5.831864E-05
6.988260E+00    1.553980E+01    9.077760E-05
8.291760E+00    7.944480E-04    4.932688E-12
8.291760E+00    7.944340E-04    2.754912E-12
1.661970E+00    5.537290E-10    7.293760E-27
1.661970E+00    7.339270E-10    5.891120E-27
6.351270E+00    1.350200E-11    4.906640E-29
6.955050E+00    0.000000E+00    1.581504E-28
8.291790E+00    2.804710E-12    1.164768E-28
8.291790E+00    8.414130E-12    3.327912E-29
1.899081E-01    7.193810E+03    9.256260E-02
1.899081E-01    7.193790E+03    9.256200E-02
3.323940E-01    4.339900E+04    9.784380E-01
8.644650E+00    2.333090E-01    1.763124E-07
8.644650E+00    2.333090E-01    1.763124E-07
8.650050E+00    3.892830E-02    5.141970E-09
2.900139E-01    4.892090E+03    2.410824E-01
3.047610E-01    3.914170E+03    1.955078E-01
5.692080E-01    1.006110E+04    9.392664E-01
8.632230E+00    4.100670E-01    2.173277E-06
8.635710E+00    3.483410E-01    1.575821E-06
8.646780E+00    1.096220E-01    1.626211E-07
4.107960E-01    3.380590E+03    1.565693E-01
4.356690E-01    2.609190E+03    1.252673E-01
8.540460E-01    3.101740E+03    2.925264E-01
8.608650E+00    6.409540E-01    5.106000E-06
8.622090E+00    4.789610E-01    2.857896E-06
8.638890E+00    2.136170E-01    6.126768E-07
5.405130E-01    1.996860E+03    8.893080E-02
5.687970E-01    1.570830E+03    7.232712E-02
1.149018E+00    1.463830E+03    1.380799E-01
8.574840E+00    8.644400E-01    9.109608E-06
8.604150E+00    6.141730E-01    4.475640E-06
8.626290E+00    3.361820E-01    1.431192E-06
6.712020E-01    1.322730E+03    5.676456E-02
6.995940E-01    1.022980E+03    4.491144E-02
1.447074E+00    8.170400E+02    7.680384E-02
8.531640E+00    1.049220E+00    1.353511E-05
8.582460E+00    7.314270E-01    6.171792E-06
8.609340E+00    4.735640E-01    2.622672E-06
7.989930E-01    1.017340E+03    4.180176E-02
8.256570E-01    7.522540E+02    3.121992E-02
1.745838E+00    4.192880E+02    3.919416E-02
8.480100E+00    1.232880E+00    1.848487E-05
8.557620E+00    8.483420E-01    7.957704E-06
8.588460E+00    6.114140E-01    4.065936E-06
9.215460E-01    7.655220E+02    2.983776E-02
9.453000E-01    5.561490E+02    2.158454E-02
2.044152E+00    2.812400E+02    2.609760E-02
8.421360E+00    1.404620E+00    2.357376E-05
8.530350E+00    1.013810E+00    1.022208E-05
8.564310E+00    7.424740E-01    5.604744E-06
1.037160E+00    5.646200E+02    2.065618E-02
1.057164E+00    4.157670E+02    1.489810E-02
2.341275E+00    1.589620E+02    1.461883E-02
8.356680E+00    1.628200E+00    2.972376E-05
8.501520E+00    1.120800E+00    1.179418E-05
8.537670E+00    8.668250E-01    7.109160E-06
1.144503E+00    4.110470E+02    1.395828E-02
1.160127E+00    3.063350E+02    9.986088E-03
2.636625E+00    1.260040E+02    1.146394E-02
8.287260E+00    1.041330E+00    2.021892E-05
8.472000E+00    1.187780E+00    1.269722E-05
8.509380E+00    9.430000E-01    8.097000E-06
1.242516E+00    2.972790E+02    9.266040E-03
1.253292E+00    2.236340E+02    6.521472E-03
2.929653E+00    1.100140E+02    9.882600E-03
8.214240E+00    1.802600E+00    3.657744E-05
8.442720E+00    1.208640E+00    1.279435E-05
8.480370E+00    9.820430E-01    8.539224E-06
1.330395E+00    2.164460E+02    6.127824E-03
1.336014E+00    1.631300E+02    4.175256E-03
3.219780E+00    9.446460E+01    8.359704E-03
8.138640E+00    2.187750E+00    4.577712E-05
8.414490E+00    1.200830E+00    1.228229E-05
8.451570E+00    9.810160E-01    8.372232E-06
1.407621E+00    1.636120E+02    4.111560E-03
1.407939E+00    1.190140E+02    2.657520E-03
3.506400E+00    6.148440E+01    5.346120E-03
8.061300E+00    2.545800E+00    5.441688E-05
8.388180E+00    1.158150E+00    1.117654E-05
8.423880E+00    9.432700E-01    7.663536E-06
1.469028E+00    8.771230E+01    1.617252E-03
1.473963E+00    1.262340E+02    2.883984E-03
3.788790E+00    5.398960E+01    4.598256E-03
7.982730E+00    2.837000E+00    6.160968E-05
8.364420E+00    1.079160E+00    9.604152E-06
8.398080E+00    9.001920E-01    6.753168E-06
1.519572E+00    6.374420E+01    9.596376E-04
1.529517E+00    9.897570E+01    2.027210E-03
4.066110E+00    3.604440E+01    2.996136E-03
7.903230E+00    2.628200E+00    5.789376E-05
8.343720E+00    9.819890E-01    7.890240E-06
8.374800E+00    8.265690E-01    5.550456E-06
1.560195E+00    4.569050E+01    5.454264E-04
1.574688E+00    7.976790E+01    1.475650E-03
4.337490E+00    2.311790E+01    1.867577E-03
7.822770E+00    4.454700E+00    9.973992E-05
8.326380E+00    8.614290E-01    6.134376E-06
8.354550E+00    7.293220E-01    4.245096E-06
1.591797E+00    3.241230E+01    2.973336E-04
1.610178E+00    6.722360E+01    1.139326E-03
4.601820E+00    3.440780E+01    2.688216E-03
7.741080E+00    7.024700E+00    1.606927E-04
8.312490E+00    7.311500E-01    4.550088E-06
8.337540E+00    6.104630E-01    2.978304E-06
1.615518E+00    2.297370E+01    1.569137E-04
1.636947E+00    5.790000E+01    9.154008E-04
4.857990E+00    3.533100E+01    2.654376E-03
7.657590E+00    8.363250E+00    1.968914E-04
8.301960E+00    6.020450E-01    3.250056E-06
8.323860E+00    4.866030E-01    1.921010E-06
1.632645E+00    1.580530E+01    7.827168E-05
1.656135E+00    5.022740E+01    7.533960E-04
5.104740E+00    2.180480E+01    1.564721E-03
7.571580E+00    1.045010E+01    2.552184E-04
8.294460E+00    4.578530E-01    2.146603E-06
8.313300E+00    3.700550E-01    1.139311E-06
1.644516E+00    1.028000E+01    3.665760E-05
1.669002E+00    4.204640E+01    6.052872E-04
5.340660E+00    1.316580E+01    8.950320E-04
7.482390E+00    1.321840E+01    3.371520E-04
8.289600E+00    2.809940E-01    1.155679E-06
8.305560E+00    2.714370E-01    6.273504E-07
1.652439E+00    6.917780E+00    1.859357E-05
1.676832E+00    3.730560E+01    5.177616E-04
5.564100E+00    8.746130E+00    5.572824E-04
7.389330E+00    1.662140E+01    4.440480E-04
8.286840E+00    2.164840E-01    7.937736E-07
8.300220E+00    1.858340E-01    3.103248E-07
1.657602E+00    5.201940E+00    1.203106E-05
1.680858E+00    3.333080E+01    4.453608E-04
5.772960E+00    6.092370E+00    3.582000E-04
7.292340E+00    2.018070E+01    5.619096E-04
8.285670E+00    1.918150E-01    6.379032E-07
8.296770E+00    1.209550E-01    1.406424E-07
1.661007E+00    4.814500E+00    1.136270E-05
1.682211E+00    2.952570E+01    3.779136E-04
5.964210E+00    4.461100E+00    2.355070E-04
7.192440E+00    2.259570E+01    6.418128E-04
8.285520E+00    1.753960E-01    5.362944E-07
8.294670E+00    7.457410E-02    5.819736E-08
1.663431E+00    5.307220E+00    1.424503E-05
1.681848E+00    2.576330E+01    3.139536E-04
6.132240E+00    3.885100E+00    1.733767E-04
7.093470E+00    2.031240E+01    5.529072E-04
8.286000E+00    1.572230E-01    4.455240E-07
8.293440E+00    4.280570E-02    2.138590E-08
1.665414E+00    6.203060E+00    1.961302E-05
1.680540E+00    2.358030E+01    2.722512E-04
6.265200E+00    7.702540E+00    2.436528E-04
7.005960E+00    1.627150E+01    3.497160E-04
8.286690E+00    1.371100E-01    3.610080E-07
8.292660E+00    2.230870E-02    6.609408E-09
1.667244E+00    7.216760E+00    2.678856E-05
1.678845E+00    2.182460E+01    2.383322E-04
6.338220E+00    3.073040E+00    3.162432E-05
6.953730E+00    3.787470E+00    2.778336E-05
8.287440E+00    1.385450E-01    3.381216E-07
8.292000E+00    1.157580E-02    2.112516E-09
1.668975E+00    8.290710E+00    3.542640E-05
1.677093E+00    2.060360E+01    2.134579E-04
6.322680E+00    5.250190E+00    9.558984E-05
6.965040E+00    7.353030E+00    9.528288E-05
8.288100E+00    1.297750E-01    2.911656E-07
8.291340E+00    1.374880E-02    3.092928E-09
1.670433E+00    9.724440E+00    4.661880E-05
1.675389E+00    1.984130E+01    1.967275E-04
6.226080E+00    7.587810E+00    2.788152E-04
7.032450E+00    1.170520E+01    2.830296E-04
8.288820E+00    1.283070E-01    2.605416E-07
8.290590E+00    2.290730E-02    8.251512E-09
1.671213E+00    1.144180E+01    5.995152E-05
1.673592E+00    1.942250E+01    1.870078E-04
6.079440E+00    4.353100E+00    2.076547E-04
7.125570E+00    2.191640E+01    6.125664E-04
8.289780E+00    1.190470E-01    2.122495E-07
8.289930E+00    3.560960E-02    1.979693E-08
1.670709E+00    1.314630E+01    7.397592E-05
1.671312E+00    1.985000E+01    1.888841E-04
5.902770E+00    4.566450E+00    2.509800E-04
7.225500E+00    2.226570E+01    6.314064E-04
8.289570E+00    5.206710E-02    4.010712E-08
8.291370E+00    1.055970E-01    1.657152E-07
1.667910E+00    2.168080E+01    2.050932E-04
1.668105E+00    1.507820E+01    9.284664E-05
5.705160E+00    6.711080E+00    4.062576E-04
7.324590E+00    1.904150E+01    5.242608E-04
8.289900E+00    7.645880E-02    8.503392E-08
8.293980E+00    1.358020E-01    1.953538E-07
1.662411E+00    1.775720E+01    1.211328E-04
1.662507E+00    2.722860E+01    2.622144E-04
5.491110E+00    1.032430E+01    6.732768E-04
7.420260E+00    1.548190E+01    4.079208E-04
8.291430E+00    1.090180E-01    1.746619E-07
8.298210E+00    1.697240E-01    2.669160E-07
1.652478E+00    2.151610E+01    1.482271E-04
1.653999E+00    3.198880E+01    3.504408E-04
5.263290E+00    1.520730E+01    1.053943E-03
7.511970E+00    1.220990E+01    3.073368E-04
8.294640E+00    2.232080E-01    5.046024E-07
8.304510E+00    2.387500E-01    4.911312E-07
1.637079E+00    2.751640E+01    2.175912E-04
1.641126E+00    3.928040E+01    4.791528E-04
5.023530E+00    2.859950E+01    2.086157E-03
7.600020E+00    9.649920E+00    2.330844E-04
8.300100E+00    3.425250E-01    1.056835E-06
8.313420E+00    3.392870E-01    9.552672E-07
1.614948E+00    3.539570E+01    3.352824E-04
1.622538E+00    4.729230E+01    6.577920E-04
4.773450E+00    3.687400E+01    2.809344E-03
7.685070E+00    7.960190E+00    1.858538E-04
8.308290E+00    4.759660E-01    1.929444E-06
8.325300E+00    4.583170E-01    1.714582E-06
1.584876E+00    4.740440E+01    5.495112E-04
1.596873E+00    5.794040E+01    9.327624E-04
4.514370E+00    3.180350E+01    2.514720E-03
7.767900E+00    6.617630E+00    1.505280E-04
8.319570E+00    6.179540E-01    3.167280E-06
8.340420E+00    5.908800E-01    2.804688E-06
1.545798E+00    6.427970E+01    9.122688E-04
1.562871E+00    7.263120E+01    1.360394E-03
4.247520E+00    2.701900E+01    2.205259E-03
7.849200E+00    2.933860E+00    6.545016E-05
8.334240E+00    7.647180E-01    4.776456E-06
8.358900E+00    7.213270E-01    4.151856E-06
1.496844E+00    8.828240E+01    1.514726E-03
1.519443E+00    9.335900E+01    2.028641E-03
3.974010E+00    4.172410E+01    3.498816E-03
7.929360E+00    2.961030E+00    6.505464E-05
8.352330E+00    9.000660E-01    6.616584E-06
8.380560E+00    8.224800E-01    5.507952E-06
