f(THz)          MFP(nm)         kappa(W/m-K)
8.211240E+00    9.536360E-01    1.848806E-05
8.283210E+00    2.338220E-02    1.703458E-08
1.824834E+00    4.768830E+01    1.751304E-03
2.102787E+00    7.610660E+01    7.156944E-03
5.110980E+00    1.860940E+01    2.522611E-03
7.351980E+00    1.325940E+01    8.554848E-04
8.224710E+00    9.099970E-01    1.718986E-05
8.282160E+00    3.216230E-02    3.201576E-08
1.806186E+00    5.366110E+01    2.020867E-03
2.105439E+00    8.045050E+01    7.734096E-03
4.884270E+00    2.814760E+01    3.956731E-03
7.447800E+00    1.102470E+01    6.922896E-04
8.240670E+00    8.495060E-01    1.551000E-05
8.282310E+00    1.129200E-01    3.942125E-07
1.779705E+00    6.210800E+01    2.445259E-03
2.103681E+00    8.408620E+01    8.261472E-03
4.649880E+00    2.777580E+01    4.012776E-03
7.541880E+00    9.193070E+00    5.616768E-04
8.256990E+00    7.449690E-01    1.239326E-05
8.286360E+00    2.783620E-01    2.633155E-06
1.744602E+00    7.401500E+01    3.106488E-03
2.095287E+00    8.885490E+01    8.910384E-03
4.409760E+00    2.232540E+01    3.288053E-03
7.634520E+00    7.650420E+00    4.549546E-04
8.268060E+00    5.531990E-01    7.110288E-06
8.300310E+00    8.869320E-01    1.462891E-05
1.700358E+00    9.222870E+01    4.187808E-03
2.077974E+00    9.657950E+01    9.862896E-03
4.165740E+00    2.948260E+01    4.392811E-03
7.725930E+00    6.408530E+00    3.709162E-04
8.274150E+00    3.971490E-01    3.947899E-06
8.324130E+00    1.117150E+00    2.124758E-05
1.646784E+00    1.221520E+02    6.045024E-03
2.049477E+00    1.051840E+02    1.090354E-02
3.919830E+00    4.186570E+01    6.264480E-03
7.816110E+00    4.822010E+00    2.713090E-04
8.280180E+00    3.108080E-01    2.886389E-06
8.352870E+00    1.175920E+00    2.330280E-05
1.584045E+00    1.600000E+02    8.631648E-03
2.007597E+00    1.136590E+02    1.190861E-02
3.674160E+00    4.938130E+01    7.370304E-03
7.904820E+00    3.039680E+00    1.657886E-04
8.288340E+00    3.332890E-01    3.393600E-06
8.384100E+00    1.183410E+00    2.371632E-05
1.512693E+00    2.088280E+02    1.221782E-02
1.950267E+00    1.240160E+02    1.306834E-02
3.431070E+00    6.391410E+01    9.463296E-03
7.991490E+00    3.253840E+00    1.712136E-04
8.299440E+00    6.090710E-01    7.279968E-06
8.416380E+00    1.153930E+00    2.289019E-05
1.433679E+00    2.721450E+02    1.711896E-02
1.875636E+00    1.375680E+02    1.451510E-02
3.193200E+00    9.502570E+01    1.392614E-02
8.075340E+00    2.947110E+00    1.485830E-04
8.313960E+00    7.475330E-01    1.053696E-05
8.448540E+00    1.091570E+00    2.096482E-05
1.348371E+00    3.532260E+02    2.363870E-02
1.782228E+00    1.466590E+02    1.547155E-02
2.963352E+00    1.032310E+02    1.503490E-02
8.155290E+00    2.568230E+00    1.229491E-04
8.332080E+00    8.553760E-01    1.390296E-05
8.479380E+00    9.900430E-01    1.798368E-05
1.258605E+00    4.542280E+02    3.197774E-02
1.669347E+00    1.420230E+02    1.504085E-02
2.744421E+00    1.216520E+02    1.784323E-02
8.229960E+00    2.108370E+00    9.477024E-05
8.354070E+00    9.538420E-01    1.734672E-05
8.507790E+00    8.813890E-01    1.479110E-05
1.166739E+00    5.770750E+02    2.113632E-02
1.537719E+00    1.736460E+02    9.306816E-03
2.538831E+00    1.413330E+02    1.065866E-02
8.297130E+00    2.024700E+00    4.214136E-05
8.380590E+00    1.030440E+00    1.027807E-05
8.532840E+00    7.654970E-01    5.817744E-06
1.258755E+00    2.457130E+02    1.069322E-02
1.283214E+00    2.329910E+02    1.029614E-02
2.311929E+00    3.070960E+02    2.582496E-02
8.364990E+00    1.683300E+00    2.777208E-05
8.369310E+00    1.659860E+00    2.645304E-05
8.580600E+00    5.898450E-01    3.225096E-06
1.338114E+00    2.061650E+02    1.740874E-02
1.385802E+00    1.951140E+02    1.724491E-02
2.497005E+00    2.363190E+02    3.884664E-02
8.320680E+00    1.756970E+00    6.042336E-05
8.335020E+00    1.659300E+00    5.340768E-05
8.563260E+00    7.161770E-01    9.141264E-06
1.417893E+00    1.709410E+02    1.368586E-02
1.493694E+00    1.704890E+02    1.516666E-02
2.693244E+00    1.764680E+02    2.816515E-02
8.269740E+00    1.323960E+00    4.726210E-05
8.301810E+00    1.523040E+00    4.888176E-05
8.541240E+00    8.432310E-01    1.240469E-05
1.493484E+00    1.386230E+02    1.028669E-02
1.604958E+00    1.502640E+02    1.339094E-02
2.897310E+00    1.408580E+02    2.175768E-02
8.213370E+00    1.733410E+00    6.415968E-05
8.270190E+00    1.168010E+00    3.691584E-05
8.515260E+00    9.284390E-01    1.527158E-05
1.562118E+00    1.120520E+02    7.593264E-03
1.716003E+00    1.397840E+02    1.237752E-02
3.107250E+00    1.196110E+02    1.788389E-02
8.152080E+00    2.031500E+00    7.812192E-05
8.240910E+00    1.323850E+00    4.078714E-05
8.486340E+00    1.014980E+00    1.799170E-05
1.622352E+00    9.076970E+01    5.569440E-03
1.822824E+00    1.360930E+02    1.190669E-02
3.321870E+00    9.833420E+01    1.427630E-02
8.086140E+00    2.340680E+00    9.395376E-05
8.214570E+00    1.379110E+00    4.110864E-05
8.455830E+00    1.071120E+00    1.969349E-05
1.673556E+00    7.306560E+01    4.044931E-03
1.921911E+00    1.225130E+02    1.058626E-02
3.540270E+00    6.064590E+01    8.592528E-03
8.015610E+00    2.629940E+00    1.107922E-04
8.191620E+00    1.398100E+00    4.013352E-05
8.425170E+00    1.095870E+00    2.013408E-05
1.715685E+00    6.252990E+01    3.128491E-03
2.010579E+00    1.066020E+02    9.141168E-03
3.761520E+00    4.686920E+01    6.515760E-03
7.940490E+00    2.906270E+00    1.290403E-04
8.172360E+00    1.392890E+00    3.843859E-05
8.395830E+00    1.081830E+00    1.918133E-05
1.749171E+00    5.312750E+01    2.420045E-03
2.087037E+00    9.144280E+01    7.843776E-03
3.984600E+00    3.650280E+01    5.000736E-03
7.860690E+00    2.832400E+00    1.327877E-04
8.156820E+00    1.379780E+00    3.663850E-05
8.368980E+00    1.021140E+00    1.693330E-05
1.774857E+00    4.637540E+01    1.947898E-03
2.150343E+00    7.302080E+01    6.318672E-03
4.208310E+00    2.619970E+01    3.544670E-03
7.776300E+00    5.657480E+00    2.799206E-04
8.144940E+00    1.354230E+00    3.470702E-05
8.345550E+00    9.346950E-01    1.411166E-05
1.793910E+00    4.141190E+01    1.630051E-03
2.200290E+00    7.067280E+01    6.209952E-03
4.431150E+00    2.219810E+01    2.965061E-03
7.687380E+00    6.647230E+00    3.464813E-04
8.136390E+00    1.323240E+00    3.288158E-05
8.325930E+00    8.263800E-01    1.111531E-05
1.807704E+00    3.792900E+01    1.422998E-03
2.237289E+00    6.858160E+01    6.141216E-03
4.651590E+00    2.207330E+01    2.903050E-03
7.594140E+00    8.555280E+00    4.687910E-04
8.130750E+00    1.298250E+00    3.145598E-05
8.310270E+00    7.031150E-01    8.294064E-06
1.817706E+00    3.500070E+01    1.271126E-03
2.262261E+00    6.887040E+01    6.287856E-03
4.867860E+00    2.586500E+01    3.333446E-03
7.496730E+00    1.051620E+01    6.045696E-04
8.127570E+00    1.278880E+00    3.040238E-05
8.298390E+00    5.672930E-01    5.815008E-06
1.825332E+00    3.298810E+01    1.174968E-03
2.276529E+00    6.750000E+01    6.270432E-03
5.078130E+00    1.654220E+01    2.075160E-03
7.395360E+00    1.276970E+01    7.685136E-04
8.126310E+00    1.249230E+00    2.932320E-05
8.289840E+00    3.133420E-01    2.783813E-06
1.831836E+00    3.165600E+01    1.117872E-03
2.281740E+00    6.579730E+01    6.195312E-03
5.280300E+00    1.183030E+01    1.431787E-03
7.290270E+00    1.674190E+01    1.050898E-03
8.126430E+00    1.191690E+00    2.778418E-05
8.284170E+00    2.394090E-01    1.848854E-06
1.838217E+00    3.095120E+01    1.093435E-03
2.279754E+00    6.388750E+01    6.068256E-03
5.472000E+00    8.361400E+00    9.644400E-04
7.182060E+00    2.058380E+01    1.337189E-03
8.127450E+00    1.142990E+00    2.660050E-05
8.280870E+00    2.263830E-01    1.528037E-06
1.845144E+00    3.064300E+01    1.090781E-03
2.272566E+00    6.251080E+01    5.960256E-03
5.650140E+00    5.284000E+00    5.700048E-04
7.072020E+00    2.248610E+01    1.486234E-03
8.129070E+00    1.143340E+00    2.665349E-05
8.279370E+00    2.103280E-01    1.245533E-06
1.852935E+00    3.096760E+01    1.116211E-03
2.262213E+00    6.121380E+01    5.833536E-03
5.809890E+00    3.653350E+00    3.561221E-04
6.963390E+00    1.992160E+01    1.289098E-03
8.130990E+00    1.151520E+00    2.693731E-05
8.279220E+00    1.868570E-01    9.687696E-07
1.861566E+00    3.168270E+01    1.158984E-03
2.250663E+00    5.987470E+01    5.685072E-03
5.942520E+00    3.063820E+00    2.509282E-04
6.863490E+00    1.261930E+01    7.296240E-04
8.133120E+00    1.158360E+00    2.719085E-05
8.280030E+00    1.592350E-01    7.150512E-07
1.870713E+00    3.301850E+01    1.225301E-03
2.239713E+00    5.885920E+01    5.560560E-03
6.031380E+00    2.341520E+00    1.399939E-04
6.787980E+00    7.235610E+00    3.034680E-04
8.135520E+00    1.167060E+00    2.744064E-05
8.281350E+00    1.296510E-01    4.943328E-07
1.879794E+00    3.437220E+01    1.290557E-03
2.230872E+00    5.911680E+01    5.560368E-03
6.052080E+00    1.936820E+00    9.573552E-05
6.760710E+00    4.964830E+00    1.546862E-04
8.138340E+00    1.171270E+00    2.749421E-05
8.282880E+00    1.048110E-01    3.305578E-07
1.888050E+00    3.568410E+01    1.350178E-03
2.225244E+00    5.965260E+01    5.600784E-03
5.993910E+00    2.715290E+00    1.916486E-04
6.792390E+00    8.086780E+00    3.870624E-04
8.141970E+00    1.185310E+00    2.765448E-05
8.284260E+00    8.175170E-02    2.089646E-07
1.894596E+00    3.711330E+01    1.409006E-03
2.223432E+00    6.016500E+01    5.661696E-03
5.875050E+00    3.451190E+00    3.194774E-04
6.865260E+00    1.244950E+01    7.719552E-04
8.146830E+00    1.180690E+00    2.724389E-05
8.285280E+00    6.691650E-02    1.411757E-07
1.898457E+00    3.870450E+01    1.469102E-03
2.225463E+00    6.101900E+01    5.781552E-03
5.718570E+00    4.806350E+00    5.166816E-04
6.957270E+00    2.023320E+01    1.378210E-03
8.153430E+00    1.163200E+00    2.642554E-05
8.285730E+00    5.853120E-02    1.122518E-07
1.898619E+00    4.071910E+01    1.542686E-03
2.230785E+00    6.176910E+01    5.917152E-03
5.538270E+00    7.553250E+00    8.906736E-04
7.056090E+00    2.141590E+01    1.496534E-03
8.162340E+00    1.140990E+00    2.544336E-05
8.285460E+00    6.035480E-02    1.186507E-07
1.894017E+00    4.326900E+01    1.639282E-03
2.238279E+00    6.257900E+01    6.077952E-03
5.341350E+00    1.075780E+01    1.352203E-03
7.156320E+00    1.880530E+01    1.309834E-03
8.174040E+00    1.115550E+00    2.440334E-05
8.284530E+00    6.440440E-02    1.332024E-07
1.883595E+00    4.669820E+01    1.781645E-03
2.246340E+00    6.454550E+01    6.363168E-03
5.132010E+00    1.654970E+01    2.179262E-03
7.255920E+00    1.495270E+01    1.025059E-03
8.188920E+00    1.083950E+00    2.330530E-05
8.283060E+00    6.538970E-02    1.296528E-07
1.866330E+00    5.123120E+01    1.993858E-03
2.252934E+00    6.665090E+01    6.665136E-03
4.913190E+00    2.426830E+01    3.305813E-03
7.354200E+00    1.228360E+01    8.242320E-04
8.207190E+00    1.044710E+00    2.212200E-05
8.281380E+00    4.925630E-02    7.107024E-08
1.841319E+00    5.824380E+01    2.352571E-03
2.255703E+00    6.730660E+01    6.812064E-03
4.687230E+00    2.584140E+01    3.603125E-03
7.451160E+00    1.044500E+01    6.844272E-04
8.228610E+00    9.822570E-01    2.032968E-05
8.280210E+00    2.477650E-02    1.733424E-08
1.807863E+00    6.855720E+01    2.925725E-03
2.252034E+00    6.869330E+01    7.010688E-03
4.456410E+00    2.217970E+01    3.134827E-03
7.546920E+00    8.839620E+00    5.650320E-04
8.251560E+00    8.400370E-01    1.574746E-05
8.281530E+00    1.813230E-01    1.000690E-06
1.765524E+00    8.263010E+01    3.778819E-03
2.239128E+00    6.822900E+01    6.987840E-03
4.223040E+00    2.603400E+01    3.694862E-03
7.641570E+00    7.375300E+00    4.594013E-04
8.267700E+00    5.167400E-01    6.166656E-06
8.293980E+00    8.000990E-01    1.404331E-05
1.714188E+00    1.031520E+02    5.094864E-03
2.214081E+00    6.804850E+01    6.954240E-03
3.989520E+00    3.582740E+01    5.059488E-03
7.735050E+00    6.035650E+00    3.657024E-04
8.273250E+00    3.294380E-01    2.673782E-06
8.321250E+00    1.229280E+00    2.637024E-05
1.654098E+00    1.362060E+02    7.274832E-03
2.173941E+00    7.049860E+01    7.148544E-03
3.758580E+00    4.433100E+01    6.179424E-03
7.826970E+00    4.291000E+00    2.521152E-04
8.278020E+00    2.762650E-01    2.095440E-06
8.353410E+00    1.274880E+00    2.797046E-05
1.585875E+00    1.794370E+02    1.032053E-02
2.115816E+00    8.049760E+01    8.071296E-03
3.533220E+00    5.314110E+01    7.278048E-03
7.916700E+00    3.319110E+00    1.881950E-04
8.285100E+00    2.528590E-01    2.185474E-06
8.386980E+00    1.259620E+00    2.731416E-05
1.510545E+00    2.311220E+02    1.420330E-02
2.037126E+00    9.952580E+01    9.895776E-03
3.316620E+00    7.960500E+01    1.074590E-02
8.003370E+00    3.261430E+00    1.772597E-04
8.295480E+00    4.836000E-01    5.092176E-06
8.420400E+00    1.194640E+00    2.504002E-05
1.429551E+00    2.957580E+02    1.922606E-02
1.936116E+00    1.191750E+02    1.190141E-02
3.111780E+00    9.095970E+01    1.229371E-02
8.085720E+00    2.930040E+00    1.512936E-04
8.309910E+00    6.525700E-01    8.357568E-06
8.452440E+00    1.093700E+00    2.169072E-05
1.344777E+00    3.736940E+02    1.270826E-02
1.812699E+00    1.359670E+02    6.950736E-03
2.920815E+00    1.053830E+02    7.323648E-03
8.162010E+00    2.550710E+00    6.185832E-05
8.329080E+00    7.942040E-01    6.078288E-06
8.481930E+00    9.956860E-01    9.154200E-06
1.414311E+00    1.713030E+02    6.956712E-03
1.436085E+00    1.645050E+02    6.788880E-03
2.620038E+00    2.191490E+02    1.807680E-02
8.293920E+00    1.376030E+00    2.364530E-05
8.299860E+00    1.525560E+00    2.530056E-05
8.555820E+00    8.189890E-01    5.423880E-06
1.488018E+00    1.459410E+02    1.137125E-02
1.533537E+00    1.420270E+02    1.168258E-02
2.795688E+00    1.773140E+02    2.852448E-02
8.248860E+00    1.443710E+00    5.087136E-05
8.265630E+00    1.228580E+00    4.039872E-05
8.535780E+00    9.541040E-01    1.441090E-05
1.559172E+00    1.179510E+02    8.606160E-03
1.639104E+00    1.279210E+02    1.060882E-02
2.979072E+00    1.451700E+02    2.258472E-02
8.198250E+00    1.685660E+00    6.075168E-05
8.233290E+00    1.389290E+00    4.489502E-05
8.511060E+00    1.073160E+00    1.825387E-05
1.624248E+00    9.804710E+01    6.590400E-03
1.750158E+00    1.199390E+02    9.987024E-03
3.167730E+00    1.331650E+02    1.992230E-02
8.142780E+00    1.932260E+00    7.148976E-05
8.203410E+00    1.456800E+00    4.585589E-05
8.482590E+00    1.163850E+00    2.167603E-05
1.681548E+00    8.074650E+01    4.954944E-03
1.862244E+00    1.139280E+02    9.416496E-03
3.360450E+00    1.041100E+02    1.494125E-02
8.082600E+00    2.185970E+00    8.376384E-05
8.176560E+00    1.483270E+00    4.517376E-05
8.451600E+00    1.220320E+00    2.402410E-05
1.730322E+00    6.953320E+01    3.879869E-03
1.970721E+00    9.975420E+01    8.103552E-03
3.556620E+00    6.866330E+01    9.463920E-03
8.017500E+00    2.453390E+00    9.853344E-05
8.153190E+00    1.487990E+00    4.366598E-05
8.419770E+00    1.217730E+00    2.441098E-05
1.770423E+00    6.006820E+01    3.050894E-03
2.071560E+00    8.322760E+01    6.626592E-03
3.755910E+00    4.650220E+01    6.183840E-03
7.947150E+00    2.703430E+00    1.150723E-04
8.133540E+00    1.477430E+00    4.171214E-05
8.388780E+00    1.213310E+00    2.388379E-05
1.802211E+00    5.133340E+01    2.388523E-03
2.161641E+00    6.249210E+01    4.907088E-03
3.957930E+00    3.579110E+01    4.623542E-03
7.871160E+00    2.715320E+00    1.233466E-04
8.117670E+00    1.453480E+00    3.951005E-05
8.360160E+00    1.151410E+00    2.153914E-05
1.826466E+00    4.496360E+01    1.938552E-03
2.238864E+00    5.670670E+01    4.449581E-03
4.162050E+00    2.666190E+01    3.369998E-03
7.789290E+00    5.448500E+00    2.645808E-04
8.105460E+00    1.419350E+00    3.724651E-05
8.335110E+00    1.051080E+00    1.818115E-05
1.844307E+00    3.989130E+01    1.617005E-03
2.302119E+00    5.766740E+01    4.590912E-03
4.367280E+00    2.157480E+01    2.683075E-03
7.701630E+00    6.388490E+00    3.308290E-04
8.096640E+00    1.382810E+00    3.517790E-05
8.314230E+00    9.276590E-01    1.453253E-05
1.857090E+00    3.571470E+01    1.382150E-03
2.351184E+00    5.665050E+01    4.632000E-03
4.572300E+00    1.891950E+01    2.321021E-03
7.608330E+00    8.227610E+00    4.523443E-04
8.090730E+00    1.353990E+00    3.357379E-05
8.297730E+00    7.554320E-01    1.057162E-05
1.866273E+00    3.378080E+01    1.265851E-03
2.386569E+00    5.619630E+01    4.750709E-03
4.775460E+00    2.177520E+01    2.633314E-03
7.509870E+00    1.010470E+01    5.869056E-04
8.087250E+00    1.320770E+00    3.212712E-05
8.285430E+00    3.743360E-01    4.646986E-06
1.873287E+00    3.205360E+01    1.177214E-03
2.409399E+00    5.708980E+01    4.995312E-03
4.974960E+00    1.911750E+01    2.270122E-03
7.406610E+00    1.226800E+01    7.491360E-04
8.085690E+00    1.279530E+00    3.074400E-05
8.276880E+00    4.246480E-01    4.670890E-06
1.879413E+00    3.085140E+01    1.122000E-03
2.421252E+00    5.778740E+01    5.217456E-03
5.168730E+00    1.298430E+01    1.503533E-03
7.299120E+00    1.610450E+01    1.028342E-03
8.085510E+00    1.223160E+00    2.922624E-05
8.271510E+00    4.192690E-01    4.097683E-06
1.885668E+00    3.022510E+01    1.098130E-03
2.424045E+00    5.855630E+01    5.425008E-03
5.354370E+00    9.552890E+00    1.067597E-03
7.188090E+00    2.000130E+01    1.325160E-03
8.086260E+00    1.201250E+00    2.870914E-05
8.268750E+00    3.880890E-01    3.383875E-06
1.892742E+00    3.012260E+01    1.101254E-03
2.419923E+00    5.887840E+01    5.560464E-03
5.528970E+00    6.679090E+00    7.090992E-04
7.074780E+00    2.222890E+01    1.506696E-03
8.087580E+00    1.222580E+00    2.935080E-05
8.268060E+00    3.487110E-01    2.719128E-06
1.900962E+00    3.045000E+01    1.125922E-03
2.411136E+00    5.987260E+01    5.726208E-03
5.688330E+00    4.308320E+00    4.229477E-04
6.961740E+00    2.084260E+01    1.404245E-03
8.089230E+00    1.241570E+00    3.001459E-05
8.268900E+00    3.150880E-01    2.193571E-06
1.910298E+00    3.154470E+01    1.182557E-03
2.399937E+00    6.032360E+01    5.809872E-03
5.825580E+00    3.077910E+00    2.649754E-04
6.854520E+00    1.422340E+01    8.936496E-04
8.091060E+00    1.251520E+00    3.048149E-05
8.270910E+00    2.781850E-01    1.716595E-06
1.920399E+00    3.253680E+01    1.236110E-03
2.388447E+00    6.006010E+01    5.801520E-03
5.927850E+00    2.493700E+00    1.692667E-04
6.764850E+00    8.951990E+00    4.534838E-04
8.093220E+00    1.250890E+00    3.065232E-05
8.273610E+00    2.352470E-01    1.269624E-06
1.930647E+00    3.350490E+01    1.286261E-03
2.378526E+00    5.839520E+01    5.645520E-03
5.973900E+00    1.882560E+00    9.557040E-05
6.713310E+00    5.127610E+00    1.742467E-04
8.095890E+00    1.261250E+00    3.100286E-05
8.276670E+00    1.934130E-01    8.960304E-07
1.940226E+00    3.446940E+01    1.331222E-03
2.371647E+00    5.811510E+01    5.623008E-03
5.945160E+00    2.238680E+00    1.379174E-04
6.718290E+00    6.171630E+00    2.497541E-04
8.099430E+00    1.273210E+00    3.126533E-05
8.279760E+00    1.471720E-01    5.735184E-07
1.948188E+00    3.548750E+01    1.371970E-03
2.368761E+00    5.724420E+01    5.552400E-03
5.848530E+00    2.998500E+00    2.540275E-04
6.773280E+00    1.002290E+01    5.768880E-04
8.104290E+00    1.283010E+00    3.132922E-05
8.282490E+00    1.124900E-01    3.653294E-07
1.953495E+00    3.673110E+01    1.415640E-03
2.370210E+00    5.753430E+01    5.608464E-03
5.706660E+00    4.376320E+00    4.453416E-04
6.856410E+00    1.515270E+01    1.017691E-03
8.111070E+00    1.271630E+00    3.074866E-05
8.284620E+00    9.186720E-02    2.563128E-07
1.955085E+00    3.843730E+01    1.473869E-03
2.375661E+00    5.858680E+01    5.753280E-03
5.536890E+00    6.966730E+00    7.886928E-04
6.951690E+00    2.028040E+01    1.441104E-03
8.120310E+00    1.254520E+00    2.995786E-05
8.285880E+00    8.303550E-02    2.186832E-07
1.951878E+00    4.058300E+01    1.550870E-03
2.384127E+00    5.983010E+01    5.926128E-03
5.348790E+00    9.852910E+00    1.194586E-03
7.051290E+00    2.021890E+01    1.457098E-03
8.132550E+00    1.231680E+00    2.903736E-05
8.286150E+00    8.627780E-02    2.388350E-07
1.942824E+00    4.368610E+01    1.675171E-03
2.393982E+00    6.079030E+01    6.069696E-03
5.147790E+00    1.494820E+01    1.898688E-03
7.151910E+00    1.752580E+01    1.256477E-03
8.148240E+00    1.211820E+00    2.827354E-05
8.285370E+00    9.625430E-02    2.912477E-07
1.926948E+00    4.791470E+01    1.866643E-03
2.403057E+00    6.123580E+01    6.146496E-03
4.937490E+00    2.138270E+01    2.801611E-03
7.252170E+00    1.412740E+01    9.983328E-04
8.167650E+00    1.183450E+00    2.744515E-05
8.283750E+00    1.059240E-01    3.383155E-07
1.903404E+00    5.405700E+01    2.175326E-03
2.408694E+00    6.213720E+01    6.239328E-03
4.720830E+00    2.349670E+01    3.135038E-03
7.351740E+00    1.181550E+01    8.191824E-04
8.190810E+00    1.151730E+00    2.664547E-05
8.281530E+00    1.064980E-01    3.270192E-07
1.871565E+00    6.250190E+01    2.643302E-03
2.407851E+00    6.224630E+01    6.209760E-03
4.500510E+00    2.156220E+01    2.894822E-03
7.450470E+00    1.014770E+01    6.884112E-04
8.217480E+00    1.100650E+00    2.530670E-05
8.279280E+00    9.000400E-02    2.149661E-07
1.831059E+00    7.375410E+01    3.324058E-03
2.397141E+00    5.957850E+01    5.856000E-03
4.279320E+00    2.252170E+01    3.007147E-03
7.548300E+00    8.742500E+00    5.790672E-04
8.246550E+00    9.714270E-01    2.108054E-05
8.278260E+00    7.057070E-02    1.294310E-07
1.781847E+00    8.875490E+01    4.296835E-03
2.372928E+00    6.260500E+01    6.011664E-03
4.060320E+00    2.954970E+01    3.881510E-03
7.644990E+00    7.348160E+00    4.739856E-04
8.268900E+00    4.462890E-01    4.640525E-06
8.287650E+00    5.752930E-01    1.054162E-05
1.724232E+00    1.109200E+02    5.776704E-03
2.331420E+00    6.321740E+01    5.900256E-03
3.846870E+00    3.772160E+01    4.836864E-03
7.740150E+00    5.778680E+00    3.616786E-04
8.273190E+00    2.570730E-01    1.620173E-06
8.318610E+00    1.334560E+00    3.128808E-05
1.658910E+00    1.444310E+02    8.060112E-03
2.268957E+00    6.166770E+01    5.622624E-03
3.642570E+00    4.574120E+01    5.729808E-03
7.833030E+00    4.064370E+00    2.455531E-04
8.276850E+00    2.353210E-01    1.486118E-06
8.353440E+00    1.363370E+00    3.181848E-05
1.586961E+00    1.910190E+02    1.133429E-02
2.182611E+00    6.352290E+01    5.786304E-03
3.450720E+00    5.642480E+01    7.018608E-03
7.922550E+00    3.434970E+00    1.989163E-04
8.283420E+00    2.306590E-01    1.780858E-06
8.388330E+00    1.312580E+00    2.960606E-05
1.509870E+00    2.406170E+02    7.513776E-03
2.071155E+00    9.063720E+01    4.270008E-03
3.273660E+00    8.190850E+01    5.223360E-03
8.007390E+00    3.266510E+00    8.982528E-05
8.294070E+00    4.305720E-01    2.143814E-06
8.421750E+00    1.218210E+00    1.300450E-05
1.558440E+00    1.249090E+02    4.651320E-03
1.577643E+00    1.209830E+02    4.581600E-03
2.924148E+00    1.658870E+02    1.340122E-02
8.221410E+00    1.492680E+00    2.582664E-05
8.228970E+00    1.412060E+00    2.356270E-05
8.525610E+00    1.074930E+00    8.526768E-06
1.625523E+00    1.071190E+02    7.563216E-03
1.669407E+00    1.064140E+02    8.028624E-03
3.091110E+00    1.520470E+02    2.392056E-02
8.176590E+00    1.666200E+00    5.835888E-05
8.196120E+00    1.482360E+00    4.831056E-05
8.502630E+00    1.232280E+00    2.186290E-05
1.687374E+00    8.684650E+01    5.690112E-03
1.771992E+00    1.036780E+02    7.950912E-03
3.262590E+00    1.527720E+02    2.318587E-02
8.127210E+00    1.821040E+00    6.462960E-05
8.165760E+00    1.530270E+00    4.842432E-05
8.475090E+00    1.362960E+00    2.667518E-05
1.741914E+00    7.371570E+01    4.434235E-03
1.881834E+00    9.882530E+01    7.661712E-03
3.436770E+00    1.062150E+02    1.543320E-02
8.073330E+00    2.031450E+00    7.378080E-05
8.138520E+00    1.547000E+00    4.727947E-05
8.444070E+00    1.432040E+00    3.007810E-05
1.788324E+00    6.447500E+01    3.543605E-03
1.993965E+00    8.628580E+01    6.644976E-03
3.612840E+00    7.229910E+01    1.000459E-02
8.014590E+00    2.254850E+00    8.523984E-05
8.114790E+00    1.538030E+00    4.524245E-05
8.411250E+00    1.445420E+00    3.146395E-05
1.826406E+00    5.513810E+01    2.769504E-03
2.103408E+00    6.720400E+01    5.050176E-03
3.790740E+00    4.863230E+01    6.395856E-03
7.950300E+00    2.475390E+00    9.930096E-05
8.094840E+00    1.513250E+00    4.278701E-05
8.378580E+00    1.409230E+00    3.063446E-05
1.856457E+00    4.759320E+01    2.196931E-03
2.205771E+00    5.211040E+01    3.783394E-03
3.970650E+00    3.509780E+01    4.395710E-03
7.879560E+00    2.440400E+00    1.054675E-04
8.078700E+00    1.477640E+00    4.018123E-05
8.347950E+00    1.333470E+00    2.795040E-05
1.879203E+00    4.176110E+01    1.790246E-03
2.297541E+00    4.871640E+01    3.428736E-03
4.152690E+00    2.553650E+01    3.064200E-03
7.801800E+00    5.120570E+00    2.400082E-04
8.066220E+00    1.439390E+00    3.772282E-05
8.320950E+00    1.202310E+00    2.359349E-05
1.895733E+00    3.728330E+01    1.504685E-03
2.376261E+00    4.516160E+01    3.135245E-03
4.336680E+00    2.060980E+01    2.390304E-03
7.716780E+00    5.917210E+00    3.003696E-04
8.057100E+00    1.398920E+00    3.546053E-05
8.298510E+00    9.720710E-01    1.747642E-05
1.907379E+00    3.391420E+01    1.307290E-03
2.440557E+00    4.256440E+01    2.989469E-03
4.522020E+00    1.820000E+01    2.058677E-03
7.624620E+00    7.848030E+00    4.287024E-04
8.050890E+00    1.355750E+00    3.341141E-05
8.281020E+00    5.299820E-01    8.614464E-06
1.915599E+00    3.129540E+01    1.167667E-03
2.490087E+00    4.257860E+01    3.096437E-03
4.707600E+00    1.601180E+01    1.778203E-03
7.525920E+00    9.646760E+00    5.624496E-04
8.047110E+00    1.310250E+00    3.160152E-05
8.268270E+00    6.294200E-01    9.195744E-06
1.921842E+00    2.934460E+01    1.072104E-03
2.525388E+00    4.362110E+01    3.330792E-03
4.891890E+00    1.796470E+01    1.963910E-03
7.421310E+00    1.178880E+01    7.276752E-04
8.045190E+00    1.237580E+00    2.943768E-05
8.259750E+00    6.165410E-01    8.094480E-06
1.927404E+00    2.839320E+01    1.026010E-03
2.547717E+00    4.512000E+01    3.630941E-03
5.073000E+00    1.284280E+01    1.379304E-03
7.311600E+00    1.540790E+01    9.989328E-04
