f(THz)          1/tau_3p(THz)   1/tau_iso(THz)
1.660722E+00    2.433718E-02    1.939957E-03
6.030210E+00    6.197016E-01    1.171522E-02
7.164300E+00    4.612695E-02    2.554890E-02
8.291970E+00    3.772304E-01    4.927434E-01
8.291970E+00    3.772304E-01    4.927434E-01
1.661607E+00    2.454952E-02    2.015777E-03
1.661607E+00    2.454952E-02    2.015777E-03
6.188700E+00    4.756944E-01    1.559022E-02
7.067520E+00    5.744485E-02    2.613784E-02
8.291760E+00    4.005383E-01    5.626208E-01
8.291760E+00    4.005383E-01    5.626208E-01
1.661907E+00    2.410266E-02    2.044687E-03
1.661907E+00    2.410266E-02    2.044687E-03
6.305460E+00    1.840455E-01    2.157327E-02
6.988260E+00    3.828337E-02    2.729083E-02
8.291760E+00    4.818557E-01    5.639134E-01
8.291760E+00    4.818557E-01    5.639134E-01
1.661970E+00    2.414607E-02    2.053060E-03
1.661970E+00    2.414607E-02    2.053060E-03
6.351270E+00    1.629365E-01    2.155717E-02
6.955050E+00    8.364561E-02    2.892555E-02
8.291790E+00    4.620303E-01    5.635255E-01
8.291790E+00    4.620303E-01    5.635255E-01
1.899081E-01    3.752585E-04    8.310156E-08
1.899081E-01    3.752585E-04    8.310156E-08
3.323940E-01    1.080978E-04    9.338113E-07
8.644650E+00    7.858114E-01    9.151724E-03
8.644650E+00    7.858114E-01    9.151724E-03
8.650050E+00    8.323692E-01    5.615778E-04
2.900139E-01    5.280249E-04    5.079229E-07
3.047610E-01    6.689321E-04    6.270455E-07
5.692080E-01    4.786246E-04    8.469809E-06
8.632230E+00    7.758734E-01    1.677710E-02
8.635710E+00    7.811157E-01    1.545581E-02
8.646780E+00    8.217940E-01    8.598384E-03
4.107960E-01    7.168459E-04    2.097563E-06
4.356690E-01    9.628531E-04    2.789316E-06
8.540460E-01    1.552453E-03    4.506282E-05
8.608650E+00    7.362686E-01    2.535183E-02
8.622090E+00    7.428096E-01    2.096896E-02
8.638890E+00    8.101955E-01    1.344631E-02
5.405130E-01    1.164199E-03    6.505273E-06
5.687970E-01    1.530294E-03    8.415625E-06
1.149018E+00    3.221131E-03    1.687573E-04
8.574840E+00    7.125603E-01    3.358029E-02
8.604150E+00    7.006432E-01    2.632817E-02
8.626290E+00    7.568705E-01    1.961142E-02
6.712020E-01    1.687647E-03    1.595380E-05
6.995940E-01    2.234073E-03    1.960583E-05
1.447074E+00    5.515142E-03    5.473381E-04
8.531640E+00    7.099802E-01    4.139671E-02
8.582460E+00    6.750781E-01    3.120139E-02
8.609340E+00    6.914673E-01    2.518337E-02
7.989930E-01    2.088389E-03    3.326677E-05
8.256570E-01    2.859071E-03    3.926161E-05
1.745838E+00    8.862970E-03    2.908481E-03
8.480100E+00    6.909990E-01    5.085172E-02
8.557620E+00    6.399509E-01    3.640118E-02
8.588460E+00    6.358209E-01    3.020197E-02
9.215460E-01    2.614174E-03    6.161885E-05
9.453000E-01    3.597782E-03    6.999078E-05
2.044152E+00    1.211976E-02    5.343526E-03
8.421360E+00    6.631652E-01    6.421337E-02
8.530350E+00    5.664471E-01    4.131157E-02
8.564310E+00    5.870612E-01    3.498411E-02
1.037160E+00    3.302543E-03    1.042874E-04
1.057164E+00    4.417195E-03    1.146842E-04
2.341275E+00    2.301602E-02    7.688685E-03
8.356680E+00    5.912891E-01    8.972886E-02
8.501520E+00    5.266040E-01    4.656369E-02
8.537670E+00    5.381958E-01    4.013311E-02
1.144503E+00    4.181931E-03    1.639681E-04
1.160127E+00    5.422464E-03    1.759190E-04
2.636625E+00    3.093456E-02    7.507014E-03
8.287260E+00    5.106313E-01    6.192126E-01
8.472000E+00    4.966328E-01    5.222062E-02
