temp. (T),nat_full,nat_rta,pure_full,pure_rta
50.0,997.2432647434824,628.0918811046,1592.5697472560605,840.6793364774946
75.0,514.2086588501377,362.5003749583101,656.4504763990648,424.0732099213999
100.0,333.97856472689864,247.46648739837448,393.9314914407939,276.04134248429347
125.0,246.29133985235924,187.18713081058615,279.4484542930529,203.8921796070666
150.0,195.51925334170804,150.75755688411394,216.85144560062346,161.868413716751
175.0,162.57839869246854,126.46709389304212,177.6349766257887,134.4727865502709
200.0,139.47124399425928,109.10918534877544,150.76571763096123,115.19302212345848
225.0,122.33367561487049,96.07239226016897,131.1758448239504,100.8749917798215
250.0,109.0928638550808,85.9000213149746,116.23759771991645,89.80085830799737
275.0,98.53285743463834,77.73111372079927,104.4453185255275,80.96684984576481
300.0,89.90286764358899,71.02297981229563,94.88908396730639,73.75274963272686
400.0,66.82427555934538,52.93468442519312,69.69685844960483,54.50154781988009
500.0,53.330480647288525,42.27674904258274,55.21561316902129,43.3009227719224
600.0,44.42710583685367,35.22423161712187,45.765468319815454,35.94604967576804
700.0,38.098038619408435,30.20292408196095,39.10181048162978,30.739901224515133
800.0,33.36031703719216,26.441635860027475,34.14211658516618,26.85701787455647
900.0,29.67818805967776,23.51723222728748,30.304525380210183,23.848558549289
1000.0,26.73215844779235,21.177546106158545,27.245877461831647,21.4476668268051
