# k j freq[thz] mfp[nm] kappa[W/m/K]
13.0 8.0 9.0481122896 0.796105 2.64846e-07
13.0 9.0 10.6298448608 1.01449 3.5666e-07
14.0 1.0 0.087864238528 983.624 0.00144333
14.0 2.0 0.49256125392 577.798 0.00234717
14.0 3.0 0.78252007632 229.453 0.00146793
14.0 4.0 5.046698528 0.91044 1.64185e-07
14.0 5.0 5.0829134016 4.04077 3.27959e-06
14.0 6.0 7.2271457024000005 2.47605 9.93923e-07
14.0 7.0 8.6325406192 0.0119043 2.83082e-10
14.0 8.0 9.0428359504 0.834151 2.96164e-07
14.0 9.0 10.6257077312 1.08983 4.14061e-07
15.0 1.0 0.100369462224 888.397 0.00138478
15.0 2.0 0.52997529552 539.334 0.0021859
15.0 3.0 0.84194484656 239.485 0.00152895
15.0 4.0 5.0484673008000005 0.968166 1.87188e-07
15.0 5.0 5.090288284800001 4.14797 3.59165e-06
15.0 6.0 7.2234582608 2.67 1.14663e-06
15.0 7.0 8.6326005776 0.0136811 3.46598e-10
15.0 8.0 9.03722984 0.871474 3.27886e-07
15.0 9.0 10.6212708096 1.16516 4.7548e-07
16.0 1.0 0.113734189584 800.409 0.00132215
16.0 2.0 0.56728440992 477.697 0.00193131
16.0 3.0 0.90120772912 241.529 0.00153856
16.0 4.0 5.0503859696 1.02505 2.11327e-07
16.0 5.0 5.098142835200001 4.25978 3.91249e-06
16.0 6.0 7.219501006400001 2.85823 1.30601e-06
16.0 7.0 8.6327204944 0.0155113 4.16108e-10
16.0 8.0 9.0313239376 0.905039 3.58583e-07
16.0 9.0 10.616534096 1.2357 5.38769e-07
17.0 1.0 0.127950026432 727.993 0.00127055
17.0 2.0 0.60448260128 400.646 0.00161552
17.0 3.0 0.96029673232 241.43 0.00153427
17.0 4.0 5.052394576 1.076 2.35412e-07
17.0 5.0 5.1064470736 4.3619 4.22807e-06
17.0 6.0 7.2152739392 3.04499 1.47326e-06
17.0 7.0 8.632810432 0.0173766 4.90911e-10
17.0 8.0 9.025178201600001 0.914202 3.793e-07
17.0 9.0 10.6114676112 1.30284 6.04103e-07
18.0 1.0 0.1430082788 678.584 0.00124741
18.0 2.0 0.64156687168 375.066 0.00150813
18.0 3.0 1.0192028624 238.891 0.00151428
18.0 4.0 5.054553078400001 1.12496 2.60093e-07
18.0 5.0 5.115230979200001 4.36718 4.44738e-06
18.0 6.0 7.21074708 3.22933 1.64742e-06
18.0 7.0 8.632960328 0.0194714 5.76446e-10
18.0 8.0 9.0187626528 0.900822 3.89399e-07
18.0 9.0 10.6061013344 1.3637 6.69718e-07
19.0 1.0 0.15889905355199999 647.717 0.00125027
19.0 2.0 0.67852822736 332.427 0.00133268
19.0 3.0 1.0779171256 236.418 0.00149455
19.0 4.0 5.0568314976 1.16389 2.83288e-07
19.0 5.0 5.1244345936 4.41103 4.70017e-06
19.0 6.0 7.2059504080000005 3.41305 1.82891e-06
19.0 7.0 8.633110224000001 0.0214976 6.6388e-10
19.0 8.0 9.0121672288 0.900433 4.03661e-07
19.0 9.0 10.6004052864 1.41077 7.31143e-07
20.0 1.0 0.17561215776 608.913 0.0012306
20.0 2.0 0.71536067248 300.821 0.00120217
20.0 3.0 1.13643052816 231.091 0.00145669
20.0 4.0 5.059229833600001 1.1947 3.05086e-07
20.0 5.0 5.134087896 5.03762 5.59593e-06
20.0 6.0 7.2008839232 3.59441 2.01633e-06
20.0 7.0 8.6332900992 0.0234279 7.51501e-10
20.0 8.0 9.005361950400001 0.889988 4.12024e-07
20.0 9.0 10.5944094464 1.47729 8.05321e-07
