# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.46465 -5.11798 -3.86138 -3.58698 -2.29678 -1.73668 -1.56858 -1.06078 1.57342 2.13902 2.25072 3.44932
0.47475 -5.10278 -3.89888 -3.62948 -2.32268 -1.71128 -1.59258 -1.08288 1.56672 2.11752 2.27202 3.46762
0.48485 -5.08958 -3.93488 -3.67218 -2.34848 -1.68578 -1.61648 -1.10488 1.56162 2.09642 2.29442 3.48552
0.49495 -5.07848 -3.96908 -3.71518 -2.37398 -1.66018 -1.64048 -1.12648 1.55802 2.07582 2.31782 3.50312
0.50505 -5.06968 -4.00118 -3.75828 -2.39928 -1.66428 -1.63458 -1.14768 1.55612 2.05572 2.34232 3.52022
0.51515 -5.06358 -4.03108 -3.80158 -2.42428 -1.68788 -1.60898 -1.16838 1.55562 2.03612 2.36762 3.53692
0.52525 -5.06038 -4.05848 -3.84498 -2.44898 -1.71118 -1.58338 -1.18838 1.55652 2.01702 2.39372 3.55322
0.53535 -5.06018 -4.08318 -3.88848 -2.47328 -1.73428 -1.55788 -1.20758 1.55882 1.99842 2.42052 3.56902
0.54545 -5.06338 -4.10508 -3.93208 -2.49738 -1.75688 -1.53238 -1.22588 1.56242 1.98042 2.44792 3.58442
0.55556 -5.06988 -4.12418 -3.97558 -2.52108 -1.77918 -1.50708 -1.24328 1.56722 1.96302 2.47592 3.59942
0.56566 -5.07978 -4.14028 -4.01908 -2.54448 -1.80108 -1.48188 -1.25948 1.57322 1.94622 2.50432 3.61392
0.57576 -5.09308 -4.15368 -4.06248 -2.56748 -1.82248 -1.45688 -1.27448 1.58032 1.93002 2.53312 3.62802
0.58586 -5.10968 -4.16428 -4.10578 -2.59018 -1.84328 -1.43208 -1.28818 1.58842 1.91452 2.56222 3.64172
0.59596 -5.12928 -4.17238 -4.14888 -2.61238 -1.86368 -1.40758 -1.30058 1.59752 1.89962 2.59152 3.65492
0.60606 -5.15168 -4.19178 -4.17828 -2.63418 -1.88348 -1.38328 -1.31148 1.60762 1.88532 2.62102 3.66772
0.61616 -5.17678 -4.23438 -4.18228 -2.65558 -1.90268 -1.35928 -1.32088 1.61842 1.87172 2.65052 3.68002
0.62626 -5.20398 -4.27668 -4.18458 -2.67658 -1.92138 -1.33568 -1.32868 1.63012 1.85882 2.68002 3.69192
0.63636 -5.23318 -4.31858 -4.18548 -2.69718 -1.93948 -1.33498 -1.31248 1.64252 1.84662 2.70942 3.70342
0.64646 -5.26398 -4.36008 -4.18528 -2.71718 -1.95698 -1.33958 -1.28958 1.65572 1.83502 2.73872 3.71452
0.65657 -5.29618 -4.40108 -4.18428 -2.73688 -1.97388 -1.34258 -1.26718 1.66942 1.82412 2.76782 3.72512
0.66667 -5.32948 -4.44158 -4.18278 -2.75598 -1.99018 -1.34388 -1.24518 1.68382 1.81392 2.79672 3.73532
0.67677 -5.36368 -4.48148 -4.18078 -2.77468 -2.00588 -1.34368 -1.22368 1.69872 1.80432 2.82512 3.74512
0.68687 -5.39838 -4.52078 -4.17858 -2.79288 -2.02098 -1.34178 -1.20268 1.71412 1.79542 2.85322 3.75452
0.69697 -5.43358 -4.55938 -4.17638 -2.81058 -2.03548 -1.33838 -1.18228 1.73002 1.78722 2.88082 3.76362
0.70707 -5.46898 -4.59728 -4.17418 -2.82768 -2.04938 -1.33358 -1.16228 1.74622 1.77962 2.90802 3.77222
0.71717 -5.50448 -4.63448 -4.17218 -2.84438 -2.06268 -1.32718 -1.14298 1.76282 1.77262 2.93452 3.78042
0.72727 -5.53988 -4.67078 -4.17038 -2.86048 -2.07548 -1.31948 -1.12428 1.76622 1.77972 2.96052 3.78832
0.73737 -5.57498 -4.70618 -4.16888 -2.87608 -2.08758 -1.31058 -1.10608 1.76052 1.79692 2.98572 3.79582
0.74747 -5.60978 -4.74078 -4.16758 -2.89118 -2.09928 -1.30038 -1.08858 1.75532 1.81432 3.01032 3.80292
0.75758 -5.64408 -4.77428 -4.16668 -2.90568 -2.11028 -1.28918 -1.07168 1.75072 1.83182 3.03412 3.80972
0.76768 -5.67778 -4.80688 -4.16618 -2.91968 -2.12078 -1.27708 -1.05548 1.74662 1.84942 3.05712 3.81612
0.77778 -5.71078 -4.83838 -4.16588 -2.93308 -2.13078 -1.26408 -1.03988 1.74302 1.86712 3.07932 3.82232
0.78788 -5.74298 -4.86888 -4.16598 -2.94598 -2.14028 -1.25038 -1.02508 1.73982 1.88482 3.10062 3.82802
0.79798 -5.77428 -4.89818 -4.16638 -2.95828 -2.14918 -1.23608 -1.01088 1.73722 1.90252 3.12112 3.83352
0.80808 -5.80458 -4.92638 -4.16708 -2.96998 -2.15758 -1.22138 -0.99738 1.73492 1.92002 3.14062 3.83862
0.81818 -5.83388 -4.95328 -4.16798 -2.98118 -2.16548 -1.20638 -0.98448 1.73302 1.93742 3.15922 3.84342
0.82828 -5.86198 -4.97898 -4.16908 -2.99168 -2.17298 -1.19118 -0.97238 1.73152 1.95452 3.17682 3.84792
0.83838 -5.88898 -5.00348 -4.17038 -3.00168 -2.17988 -1.17598 -0.96098 1.73032 1.97132 3.19352 3.85222
0.84848 -5.91458 -5.02658 -4.17188 -3.01108 -2.18638 -1.16078 -0.95028 1.72932 1.98772 3.20912 3.85612
0.85859 -5.93898 -5.04838 -4.17338 -3.01988 -2.19248 -1.14598 -0.94028 1.72872 2.00362 3.22382 3.85982
0.86869 -5.96188 -5.06878 -4.17498 -3.02808 -2.19798 -1.13148 -0.93098 1.72822 2.01902 3.23742 3.86312
0.87879 -5.98328 -5.08778 -4.17668 -3.03578 -2.20318 -1.11748 -0.92238 1.72792 2.03382 3.25002 3.86622
0.88889 -6.00328 -5.10548 -4.17838 -3.04278 -2.20778 -1.10408 -0.91448 1.72782 2.04782 3.26172 3.86912
0.89899 -6.02168 -5.12158 -4.17998 -3.04918 -2.21208 -1.09138 -0.90728 1.72782 2.06102 3.27222 3.87162
