# 8x8x1 supercell
"q (normalized)" f1 f2 f3 f4 f5 f6 f7 f8 f9
0.42000 3.09773 3.62212 4.18803 5.62629 6.12986 6.34719 8.59155 8.93920 9.30189
0.42667 3.14680 3.66061 4.19259 5.64219 6.13233 6.33945 8.58539 8.94526 9.27694
0.43333 3.19479 3.69748 4.19628 5.65815 6.13397 6.33214 8.57908 8.95160 9.25265
0.44000 3.24169 3.73246 4.19949 5.67414 6.13478 6.32521 8.57263 8.95821 9.22906
0.44667 3.28746 3.76520 4.20266 5.69015 6.13479 6.31858 8.56607 8.96507 9.20618
0.45333 3.33207 3.79528 4.20634 5.70615 6.13401 6.31217 8.55942 8.97216 9.18406
0.46000 3.37549 3.82220 4.21112 5.72212 6.13247 6.30593 8.55268 8.97944 9.16269
0.46667 3.41770 3.84545 4.21764 5.73804 6.13020 6.29979 8.54588 8.98689 9.14212
0.47333 3.45865 3.86451 4.22650 5.75386 6.12722 6.29367 8.53904 8.99448 9.12233
0.48000 3.49832 3.87904 4.23816 5.76957 6.12359 6.28751 8.53217 9.00216 9.10335
0.48667 3.53668 3.88892 4.25284 5.78512 6.11935 6.28125 8.52529 9.00991 9.08519
0.49333 3.57371 3.89429 4.27051 5.80048 6.11455 6.27485 8.51840 9.01769 9.06783
0.50000 3.60936 3.89554 4.29085 5.81560 6.10926 6.26824 8.51155 9.02548 9.05129
0.50667 3.64363 3.89321 4.31343 5.83043 6.10356 6.26141 8.50472 9.03322 9.03557
0.51333 3.67647 3.88790 4.33773 5.84492 6.09751 6.25431 8.49796 9.02064 9.04089
0.52000 3.70787 3.88017 4.36326 5.85900 6.09121 6.24692 8.49126 9.00652 9.04846
0.52667 3.73780 3.87053 4.38959 5.87260 6.08478 6.23923 8.48467 8.99319 9.05589
0.53333 3.76625 3.85943 4.41637 5.88562 6.07833 6.23125 8.47818 8.98062 9.06316
0.54000 3.79320 3.84722 4.44327 5.89796 6.07201 6.22298 8.47184 8.96883 9.07023
0.54667 3.81862 3.83422 4.47004 5.90948 6.06599 6.21445 8.46564 8.95778 9.07708
0.55333 3.82071 3.84251 4.49647 5.92000 6.06048 6.20567 8.45963 8.94747 9.08369
0.56000 3.80692 3.86487 4.52237 5.92934 6.05571 6.19671 8.45382 8.93788 9.09002
0.56667 3.79305 3.88568 4.54757 5.93724 6.05197 6.18760 8.44824 8.92899 9.09606
0.57333 3.77928 3.90495 4.57194 5.94348 6.04952 6.17841 8.44290 8.92079 9.10178
0.58000 3.76578 3.92268 4.59532 5.94788 6.04855 6.16921 8.43784 8.91326 9.10718
0.58667 3.75270 3.93887 4.61760 5.95043 6.04913 6.16009 8.43306 8.90638 9.11223
0.59333 3.74017 3.95355 4.63865 5.95129 6.05111 6.15114 8.42860 8.90015 9.11693
0.60000 3.72831 3.96672 4.65836 5.95079 6.05418 6.14245 8.42447 8.89453 9.12124
0.60667 3.71725 3.97843 4.67660 5.94932 6.05797 6.13413 8.42069 8.88952 9.12518
0.61333 3.70707 3.98869 4.69327 5.94725 6.06213 6.12628 8.41727 8.88511 9.12872
0.62000 3.69787 3.99754 4.70827 5.94491 6.06635 6.11901 8.41423 8.88127 9.13186
0.62667 3.68974 4.00503 4.72149 5.94252 6.07039 6.11242 8.41159 8.87800 9.13460
0.63333 3.68274 4.01120 4.73285 5.94027 6.07407 6.10663 8.40934 8.87527 9.13692
0.64000 3.67694 4.01611 4.74226 5.93829 6.07726 6.10173 8.40750 8.87307 9.13882
0.64667 3.67238 4.01981 4.74965 5.93667 6.07986 6.09780 8.40607 8.87138 9.14030
0.65333 3.66910 4.02236 4.75497 5.93547 6.08177 6.09493 8.40505 8.87020 9.14136
0.66000 3.66713 4.02384 4.75818 5.93474 6.08295 6.09317 8.40445 8.86950 9.14200
0.66667 3.66647 4.02432 4.75924 5.93449 6.08336 6.09258 8.40425 8.86927 9.14221
0.66667 3.66647 4.02432 4.75924 5.93449 6.08336 6.09258 8.40425 8.86927 9.14221
0.67000 3.66664 4.02421 4.75898 5.93456 6.08325 6.09273 8.40429 8.86933 9.14216
0.67333 3.66713 4.02387 4.75818 5.93474 6.08294 6.09318 8.40444 8.86950 9.14200
0.67667 3.66794 4.02332 4.75685 5.93505 6.08243 6.09393 8.40469 8.86977 9.14174
0.68000 3.66908 4.02256 4.75500 5.93547 6.08170 6.09498 8.40503 8.87016 9.14137
0.68333 3.67053 4.02162 4.75262 5.93602 6.08076 6.09634 8.40547 8.87064 9.14089
0.68667 3.67229 4.02048 4.74973 5.93668 6.07960 6.09799 8.40600 8.87123 9.14032
0.69000 3.67436 4.01918 4.74634 5.93744 6.07824 6.09993 8.40662 8.87192 9.13964
0.69333 3.67672 4.01771 4.74246 5.93832 6.07666 6.10216 8.40733 8.87271 9.13885
0.69667 3.67936 4.01609 4.73810 5.93929 6.07487 6.10468 8.40812 8.87360 9.13797
0.70000 3.68229 4.01432 4.73326 5.94036 6.07287 6.10748 8.40900 8.87457 9.13698
0.70333 3.68549 4.01242 4.72797 5.94152 6.07066 6.11055 8.40996 8.87564 9.13590
0.70667 3.68894 4.01040 4.72224 5.94275 6.06826 6.11388 8.41100 8.87679 9.13471
0.71000 3.69263 4.00826 4.71608 5.94405 6.06566 6.11746 8.41212 8.87804 9.13343
0.71333 3.69655 4.00602 4.70952 5.94542 6.06287 6.12129 8.41331 8.87936 9.13204
0.71667 3.70069 4.00368 4.70257 5.94682 6.05990 6.12536 8.41457 8.88077 9.13057
0.72000 3.70502 4.00126 4.69526 5.94826 6.05677 6.12966 8.41590 8.88226 9.12900
0.72333 3.70952 3.99877 4.68761 5.94971 6.05348 6.13416 8.41729 8.88382 9.12733
0.72667 3.71418 3.99621 4.67963 5.95115 6.05006 6.13888 8.41874 8.88545 9.12558
0.73000 3.71898 3.99359 4.67136 5.95256 6.04654 6.14379 8.42026 8.88716 9.12373
0.73333 3.72389 3.99092 4.66282 5.95390 6.04293 6.14889 8.42182 8.88893 9.12180
0.73667 3.72888 3.98822 4.65404 5.95513 6.03928 6.15415 8.42344 8.89077 9.11979
0.74000 3.73394 3.98549 4.64506 5.95619 6.03564 6.15958 8.42511 8.89267 9.11768
0.74333 3.73903 3.98274 4.63589 5.95704 6.03207 6.16516 8.42682 8.89464 9.11550
0.74667 3.74411 3.97997 4.62658 5.95757 6.02866 6.17089 8.42857 8.89666 9.11324
0.75000 3.74917 3.97720 4.61716 5.95772 6.02547 6.17673 8.43035 8.89873 9.11090
0.75333 3.75416 3.97443 4.60768 5.95736 6.02264 6.18270 8.43217 8.90086 9.10849
0.75667 3.75905 3.97167 4.59816 5.95639 6.02025 6.18878 8.43402 8.90304 9.10601
0.76000 3.76379 3.96893 4.58865 5.95473 6.01840 6.19495 8.43589 8.90526 9.10346
0.76333 3.76835 3.96622 4.57919 5.95231 6.01714 6.20121 8.43779 8.90753 9.10084
0.76667 3.77268 3.96354 4.56984 5.94913 6.01650 6.20755 8.43970 8.90984 9.09816
0.77000 3.77674 3.96089 4.56064 5.94519 6.01645 6.21396 8.44162 8.91219 9.09542
0.77333 3.78047 3.95829 4.55164 5.94058 6.01692 6.22042 8.44356 8.91457 9.09262
0.77667 3.78383 3.95575 4.54289 5.93535 6.01784 6.22694 8.44550 8.91699 9.08978
0.78000 3.78677 3.95326 4.53444 5.92960 6.01914 6.23349 8.44745 8.91944 9.08688
0.78333 3.78924 3.95083 4.52635 5.92338 6.02075 6.24008 8.44939 8.92191 9.08394
0.78667 3.79118 3.94846 4.51868 5.91676 6.02261 6.24669 8.45133 8.92441 9.08095
0.79000 3.79254 3.94617 4.51147 5.90979 6.02468 6.25331 8.45325 8.92694 9.07793
0.79333 3.79327 3.94396 4.50478 5.90251 6.02690 6.25994 8.45517 8.92948 9.07487
0.79667 3.79334 3.94183 4.49866 5.89497 6.02926 6.26658 8.45707 8.93204 9.07178
0.80000 3.79269 3.93978 4.49315 5.88717 6.03172 6.27320 8.45894 8.93461 9.06867
0.80333 3.79128 3.93782 4.48829 5.87916 6.03427 6.27982 8.46080 8.93720 9.06554
0.80667 3.78908 3.93595 4.48414 5.87096 6.03688 6.28641 8.46262 8.93979 9.06238
0.81000 3.78608 3.93418 4.48070 5.86257 6.03954 6.29298 8.46442 8.94239 9.05922
0.81333 3.78224 3.93250 4.47800 5.85403 6.04224 6.29951 8.46618 8.94500 9.05604
0.81667 3.77755 3.93092 4.47607 5.84534 6.04497 6.30601 8.46790 8.94760 9.05286
0.82000 3.77202 3.92945 4.47490 5.83652 6.04773 6.31246 8.46959 8.95021 9.04968
0.82333 3.76566 3.92808 4.47449 5.82758 6.05049 6.31886 8.47123 8.95281 9.04650
0.82667 3.75847 3.92681 4.47483 5.81854 6.05326 6.32521 8.47282 8.95541 9.04334
0.83000 3.75048 3.92565 4.47592 5.80940 6.05603 6.33150 8.47437 8.95800 9.04018
0.83333 3.74171 3.92460 4.47771 5.80018 6.05880 6.33773 8.47586 8.96057 9.03704
0.83667 3.73221 3.92365 4.48018 5.79089 6.06155 6.34389 8.47730 8.96314 9.03393
0.84000 3.72201 3.92281 4.48331 5.78155 6.06430 6.34997 8.47869 8.96569 9.03083
0.84333 3.71116 3.92208 4.48704 5.77215 6.06702 6.35598 8.48001 8.96822 9.02777
0.84667 3.69970 3.92145 4.49135 5.76272 6.06973 6.36191 8.48128 8.97073 9.02474
0.85000 3.68768 3.92093 4.49618 5.75327 6.07241 6.36776 8.48249 8.97323 9.02175
0.85333 3.67516 3.92051 4.50149 5.74380 6.07506 6.37352 8.48363 8.97569 9.01880
0.85667 3.66218 3.92020 4.50725 5.73433 6.07768 6.37919 8.48471 8.97814 9.01590
0.86000 3.64880 3.91998 4.51340 5.72486 6.08026 6.38476 8.48573 8.98055 9.01304
0.86333 3.63506 3.91987 4.51990 5.71541 6.08282 6.39024 8.48668 8.98293 9.01023
0.86667 3.62102 3.91985 4.52672 5.70599 6.08533 6.39562 8.48757 8.98529 9.00748
0.87000 3.60673 3.91992 4.53381 5.69662 6.08780 6.40089 8.48839 8.98760 9.00479
0.87333 3.59222 3.92009 4.54113 5.68730 6.09023 6.40606 8.48914 8.98989 9.00216
0.87667 3.57756 3.92034 4.54864 5.67804 6.09262 6.41113 8.48983 8.99213 8.99959
0.88000 3.56278 3.92067 4.55631 5.66885 6.09495 6.41608 8.49046 8.99434 8.99708
0.88333 3.54792 3.92108 4.56411 5.65975 6.09725 6.42092 8.49102 8.99464 8.99650
0.88667 3.53303 3.92158 4.57199 5.65074 6.09949 6.42565 8.49152 8.99228 8.99863
0.89000 3.51815 3.92213 4.57994 5.64184 6.10168 6.43026 8.49195 8.98998 9.00071
0.89333 3.50332 3.92276 4.58792 5.63306 6.10382 6.43475 8.49233 8.98776 9.00274
0.89667 3.48856 3.92345 4.59591 5.62441 6.10591 6.43912 8.49265 8.98561 9.00473
