# Efermi (eV) : -1.044522
# (SCF 12x12x1 G-cntrd k points)
"k_distance (normalized)" E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11
0.62585 -5.45558 -5.05008 -4.24488 -3.68978 -3.33578 -2.40998 -0.32568 1.33352 2.30162 2.87142 4.26452
0.63946 -5.46898 -4.99688 -4.31508 -3.69758 -3.32458 -2.43048 -0.30458 1.30982 2.29122 2.90242 4.28022
0.65306 -5.47678 -4.95618 -4.36548 -3.70258 -3.31788 -2.44268 -0.29178 1.29522 2.28442 2.92082 4.28992
0.66667 -5.47928 -4.94028 -4.38438 -3.70448 -3.31568 -2.44658 -0.28758 1.29032 2.28192 2.92682 4.29332
0.66667 -5.47928 -4.94028 -4.38438 -3.70448 -3.31568 -2.44658 -0.28758 1.29032 2.28192 2.92682 4.29332
0.67347 -5.47868 -4.94448 -4.37958 -3.70388 -3.31618 -2.44568 -0.28858 1.29152 2.28262 2.92542 4.29242
0.68027 -5.47688 -4.95688 -4.36538 -3.70198 -3.31768 -2.44288 -0.29158 1.29512 2.28462 2.92112 4.28982
0.68707 -5.47408 -4.97648 -4.34338 -3.69848 -3.31998 -2.43848 -0.29638 1.30092 2.28812 2.91422 4.28552
0.69388 -5.47028 -5.00198 -4.31518 -3.69288 -3.32298 -2.43258 -0.30278 1.30892 2.29312 2.90472 4.27942
0.70068 -5.46548 -5.03178 -4.28298 -3.68458 -3.32658 -2.42528 -0.31068 1.31882 2.29982 2.89292 4.27152
0.70748 -5.45978 -5.06478 -4.24848 -3.67308 -3.33058 -2.41678 -0.31988 1.33062 2.30822 2.87892 4.26182
0.71429 -5.45328 -5.10018 -4.21368 -3.65738 -3.33478 -2.40728 -0.33018 1.34392 2.31832 2.86282 4.25032
0.72109 -5.44608 -5.13698 -4.18008 -3.63678 -3.33918 -2.39698 -0.34138 1.35872 2.33032 2.84502 4.23722
0.72789 -5.43828 -5.17488 -4.14908 -3.61038 -3.34348 -2.38608 -0.35328 1.37472 2.34412 2.82552 4.22242
0.73469 -5.42978 -5.21328 -4.12178 -3.57768 -3.34768 -2.37458 -0.36568 1.39172 2.35992 2.80462 4.20592
0.74150 -5.42088 -5.25208 -4.09888 -3.53828 -3.35148 -2.36278 -0.37848 1.40962 2.37772 2.78232 4.18782
0.74830 -5.41158 -5.29078 -4.08048 -3.49228 -3.35488 -2.35078 -0.39148 1.42812 2.39752 2.75892 4.16822
0.75510 -5.40188 -5.32948 -4.06648 -3.44018 -3.35778 -2.33878 -0.40458 1.44702 2.41942 2.73452 4.14712
