# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)" "1/tau_iso (THz)"
18 8 8.82979 0.16301 0.21026
18 9 10.24655 0.27970 0.08423
19 1 1.20568 0.01768 0.00024
19 2 1.88474 0.03586 0.00063
19 3 2.99795 0.05183 0.00442
19 4 5.18533 0.13140 0.02999
19 5 5.64134 0.11608 0.03574
19 6 6.87829 0.13338 0.02687
19 7 8.63174 0.11358 2.05219
19 8 8.83647 0.16133 0.24075
19 9 10.20407 0.26470 0.08585
20 1 1.31625 0.01864 0.00029
20 2 1.97178 0.04029 0.00074
20 3 3.13457 0.05607 0.00631
20 4 5.19936 0.12621 0.03090
20 5 5.68652 0.11778 0.03345
20 6 6.84450 0.13704 0.02643
20 7 8.63126 0.11318 1.43229
20 8 8.84277 0.16185 0.26461
20 9 10.16015 0.26546 0.08749
21 1 1.42859 0.02164 0.00036
21 2 2.05615 0.04512 0.00086
21 3 3.26660 0.05801 0.00802
21 4 5.21342 0.12293 0.03189
21 5 5.73065 0.12211 0.03182
21 6 6.81042 0.13183 0.02602
21 7 8.63022 0.11274 1.17701
21 8 8.84879 0.16355 0.28281
21 9 10.11488 0.29984 0.08904
22 1 1.54230 0.02680 0.00043
22 2 2.13775 0.05597 0.00099
22 3 3.39386 0.06401 0.00738
22 4 5.22748 0.12050 0.03291
22 5 5.77352 0.13879 0.03081
22 6 6.77630 0.12986 0.02567
22 7 8.62863 0.11270 0.99711
22 8 8.85470 0.16566 0.29593
22 9 10.06838 0.28175 0.09069
23 1 1.65702 0.03494 0.00052
23 2 2.21649 0.05196 0.00114
23 3 3.51615 0.07262 0.00772
23 4 5.24148 0.11809 0.03397
23 5 5.81495 0.12310 0.03030
23 6 6.74239 0.12904 0.02540
23 7 8.62644 0.12306 0.87639
23 8 8.86049 0.16846 0.30580
23 9 10.02074 0.31141 0.09245
24 1 1.77238 0.03081 0.00062
24 2 2.29227 0.04565 0.00129
24 3 3.63327 0.06921 0.00876
24 4 5.25533 0.11668 0.03507
24 5 5.85477 0.12006 0.03037
