# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "1/tau_3ph (THz)" "1/tau_iso (THz)"
206 2 1.85760 0.02898 0.00060
206 3 2.88695 0.05526 0.00348
206 4 5.18053 0.13221 0.02952
206 5 5.60942 0.11439 0.03810
206 6 6.89813 0.13595 0.02717
206 7 8.63594 0.11520 0.94201
206 8 8.82898 0.20965 0.20816
206 9 10.23171 0.31247 0.08487
207 1 1.23705 0.01942 0.00025
207 2 1.94582 0.03094 0.00071
207 3 3.02302 0.05461 0.00468
207 4 5.19477 0.13740 0.03045
207 5 5.65412 0.11629 0.03499
207 6 6.86504 0.13133 0.02670
207 7 8.63603 0.11468 0.92421
207 8 8.83533 0.16245 0.23692
207 9 10.18950 0.27919 0.08631
208 1 1.34593 0.01981 0.00031
208 2 2.03162 0.04485 0.00083
208 3 3.15517 0.05853 0.00679
208 4 5.20919 0.13042 0.03145
208 5 5.69804 0.11920 0.03286
208 6 6.83140 0.13083 0.02625
208 7 8.63561 0.11461 0.97671
208 8 8.84142 0.16139 0.26040
208 9 10.14585 0.26352 0.08787
209 1 1.45659 0.02396 0.00038
209 2 2.11486 0.04889 0.00096
209 3 3.28306 0.06143 0.00788
209 4 5.22367 0.12522 0.03250
209 5 5.74097 0.12622 0.03151
209 6 6.79749 0.13220 0.02587
209 7 8.63465 0.11457 1.03297
209 8 8.84733 0.16243 0.28008
209 9 10.10088 0.25790 0.08951
210 1 1.56864 0.02718 0.00045
210 2 2.19543 0.05768 0.00110
210 3 3.40651 0.06567 0.00737
210 4 5.23818 0.12227 0.03359
210 5 5.78270 0.12181 0.03060
210 6 6.76362 0.13008 0.02558
210 7 8.63309 0.11675 1.19536
210 8 8.85311 0.16388 0.29428
210 9 10.05465 0.25419 0.09121
211 1 1.68172 0.03580 0.00054
211 2 2.27323 0.04641 0.00125
211 3 3.52529 0.08589 0.00774
211 4 5.25263 0.11998 0.03475
211 5 5.82305 0.12413 0.03026
211 6 6.72995 0.12850 0.02538
211 7 8.63096 0.12765 1.28956
211 8 8.85890 0.16632 0.30489
211 9 10.00728 0.32282 0.09299
212 1 1.79548 0.02042 0.00064
212 2 2.34815 0.04378 0.00142
212 3 3.63912 0.07072 0.00881
212 4 5.26699 0.11780 0.03621
212 5 5.86184 0.12055 0.03053
212 6 6.69688 0.12781 0.02529
212 7 8.62824 0.12915 0.96949
212 8 8.86471 0.16930 0.31316
212 9 9.95896 0.39121 0.09487
213 1 1.90955 0.01838 0.00075
213 2 2.42011 0.04580 0.00160
213 3 3.74783 0.07317 0.01668
213 4 5.28117 0.11637 0.03756
213 5 5.89893 0.11672 0.03172
213 6 6.66466 0.12764 0.02535
213 7 8.62488 0.13393 0.81768
213 8 8.87059 0.17294 0.32522
213 9 9.90973 0.36793 0.09690
214 1 2.02362 0.01549 0.00089
214 2 2.48903 0.04910 0.00179
214 3 3.85113 0.07499 0.01591
214 4 5.29517 0.11470 0.03891
214 5 5.93421 0.11421 0.03661
214 6 6.63360 0.13087 0.02560
214 7 8.62095 0.13747 0.70656
214 8 8.87652 0.17809 0.33156
214 9 9.85981 0.34514 0.09910
215 1 2.13738 0.01788 0.00104
215 2 2.55483 0.05006 0.00200
215 3 3.94884 0.07826 0.00743
215 4 5.30890 0.11366 0.04028
215 5 5.96755 0.11237 0.01662
215 6 6.60404 0.12480 0.02607
215 7 8.61642 0.14154 0.63311
215 8 8.88252 0.18290 0.33812
215 9 9.80936 0.27885 0.10157
216 1 2.25050 0.03112 0.00121
216 2 2.61748 0.07005 0.00223
216 3 4.04075 0.08258 0.00354
216 4 5.32237 0.11269 0.04178
216 5 5.99882 0.11066 0.01898
216 6 6.57628 0.12276 0.02683
216 7 8.61133 0.14082 0.58310
216 8 8.88852 0.18766 0.34555
216 9 9.75857 0.26516 0.10432
217 1 2.36270 0.05113 0.00141
217 2 2.67693 0.06159 0.00247
217 3 4.12664 0.09524 0.00474
217 4 5.33553 0.11188 0.04335
217 5 6.02790 0.10917 0.05861
217 6 6.55059 0.12143 0.02798
217 7 8.60575 0.14182 0.35298
217 8 8.89451 0.19213 0.35423
217 9 9.70767 0.25349 0.10742
218 1 2.47369 0.07065 0.00164
218 2 2.73316 0.06918 0.00272
218 3 4.20639 0.09710 0.01142
218 4 5.34833 0.11090 0.04488
218 5 6.05467 0.10861 0.10096
218 6 6.52726 0.12058 0.02961
218 7 8.59967 0.14422 0.33677
218 8 8.90045 0.19817 0.36416
218 9 9.65688 0.24484 0.11093
219 1 2.58318 0.06836 0.00191
219 2 2.78618 0.06214 0.00299
219 3 4.27981 0.09730 0.01033
219 4 5.36080 0.11028 0.04657
219 5 6.07907 0.10739 0.10215
219 6 6.50652 0.11970 0.06492
219 7 8.59319 0.14716 0.32549
219 8 8.90626 0.20817 0.37589
219 9 9.60649 0.24129 0.11491
220 1 2.69090 0.08290 0.00222
220 2 2.83601 0.06035 0.00331
220 3 4.34681 0.09573 0.01176
220 4 5.37288 0.10974 0.04839
220 5 6.10096 0.10675 0.12048
220 6 6.48856 0.11888 0.07375
220 7 8.58639 0.15248 0.31790
220 8 8.91187 0.20648 0.38995
220 9 9.55675 0.24406 0.11946
221 1 2.79654 0.10991 0.00259
221 2 2.88268 0.06530 0.00355
221 3 4.40734 0.09399 0.01480
221 4 5.38454 0.10935 0.05021
221 5 6.12026 0.10725 0.16635
221 6 6.47354 0.11797 0.08709
221 7 8.57934 0.13534 0.31306
221 8 8.91727 0.20203 0.40737
221 9 9.50795 0.25892 0.12467
222 1 2.89984 0.13968 0.00303
222 2 2.92625 0.06636 0.00392
222 3 4.46145 0.08960 0.02430
222 4 5.39575 0.10900 0.05232
222 5 6.13693 0.10816 0.31425
222 6 6.46149 0.11708 0.10667
222 7 8.57209 0.13721 0.31144
222 8 8.92236 0.20469 0.42711
222 9 9.46037 0.26059 0.13113
223 1 2.96679 0.06442 0.00428
223 2 3.00050 0.15824 0.00358
223 3 4.50918 0.08809 0.02062
223 4 5.40655 0.10894 0.05445
223 5 6.15087 0.10896 0.20285
223 6 6.45243 0.11635 0.13773
223 7 8.56477 0.13941 0.31302
223 8 8.92713 0.20793 0.44954
223 9 9.41429 0.27444 0.13841
224 1 3.00437 0.05948 0.00464
224 2 3.09821 0.12056 0.00432
224 3 4.55076 0.08778 0.01949
224 4 5.41686 0.10886 0.05693
224 5 6.16211 0.11029 0.18037
224 6 6.44626 0.11590 0.14296
224 7 8.55743 0.14212 0.31726
224 8 8.93157 0.20126 0.47798
224 9 9.37001 0.28262 0.14676
225 1 3.03912 0.05664 0.00504
225 2 3.19264 0.10420 0.00565
225 3 4.58643 0.06358 0.01944
225 4 5.42666 0.10949 0.05951
225 5 6.17063 0.11172 0.16892
225 6 6.44284 0.11605 0.12813
225 7 8.55020 0.14394 0.32432
225 8 8.93564 0.20742 0.50878
225 9 9.32777 0.27625 0.15642
226 1 3.07107 0.05479 0.00547
226 2 3.28345 0.09036 0.00594
226 3 4.61656 0.06576 0.02003
226 4 5.43599 0.11030 0.06256
226 5 6.17650 0.11323 0.16748
226 6 6.44191 0.11724 0.12331
226 7 8.54310 0.13687 0.33477
226 8 8.93933 0.21517 0.54790
226 9 9.28781 0.25776 0.16764
227 1 3.10039 0.05230 0.00594
227 2 3.37030 0.08087 0.00619
227 3 4.64154 0.06875 0.02097
227 4 5.44474 0.11190 0.06617
227 5 6.17980 0.11484 0.17692
227 6 6.44320 0.12081 0.13452
227 7 8.53626 0.13845 0.34868
227 8 8.94263 0.22417 0.59377
227 9 9.25037 0.25661 0.18072
228 1 3.12711 0.04906 0.00644
228 2 3.45277 0.07767 0.00671
228 3 4.66183 0.06860 0.02196
228 4 5.45293 0.11480 0.07078
228 5 6.18073 0.11589 0.15896
228 6 6.44632 0.13370 0.15391
228 7 8.52975 0.13993 0.36668
228 8 8.94557 0.23414 0.64816
228 9 9.21562 0.24900 0.19600
229 1 3.15130 0.05155 0.00700
229 2 3.53048 0.06771 0.00749
229 3 4.67802 0.06643 0.02317
229 4 5.46054 0.11764 0.07652
229 5 6.17953 0.11653 0.16897
229 6 6.45090 0.12929 0.18643
229 7 8.52361 0.14188 0.38949
229 8 8.94818 0.24494 0.72074
229 9 9.18369 0.24515 0.21391
230 1 3.17309 0.04992 0.00770
230 2 3.60294 0.06942 0.00831
230 3 4.69058 0.07072 0.02484
230 4 5.46752 0.12693 0.08627
230 5 6.17644 0.11672 0.17751
230 6 6.45654 0.12512 0.13760
230 7 8.51791 0.14298 0.41874
230 8 8.95042 0.25837 0.81997
230 9 9.15473 0.24366 0.23494
231 1 3.19252 0.04769 0.00864
231 2 3.66973 0.07398 0.00950
231 3 4.70009 0.07711 0.02571
231 4 5.47388 0.12732 0.13453
231 5 6.17186 0.11641 0.18091
231 6 6.46284 0.12401 0.12107
231 7 8.51270 0.14447 0.45529
231 8 8.95234 0.27199 0.95415
231 9 9.12880 0.24389 0.26398
232 1 3.20961 0.04546 0.01033
232 2 3.73029 0.08113 0.01319
232 3 4.70704 0.07758 0.02754
232 4 5.47961 0.12042 0.08819
232 5 6.16619 0.11582 0.19391
232 6 6.46937 0.12476 0.11067
232 7 8.50802 0.14588 0.50462
232 8 8.95399 0.28931 1.21594
232 9 9.10596 0.24544 0.29240
233 1 3.22439 0.04426 0.01102
233 2 3.78419 0.09254 0.01793
233 3 4.71199 0.08936 0.02823
233 4 5.48461 0.11817 0.07963
233 5 6.15990 0.11506 0.20787
233 6 6.47582 0.12666 0.10478
233 7 8.50388 0.14683 0.56957
233 8 8.95537 0.30950 1.52447
233 9 9.08623 0.24900 0.33035
234 1 3.23689 0.04332 0.00958
234 2 3.83087 0.10587 0.01333
234 3 4.71535 0.06657 0.02855
234 4 5.48893 0.11760 0.07321
234 5 6.15342 0.11483 0.23079
234 6 6.48184 0.12945 0.09914
234 7 8.50038 0.14748 0.66410
234 8 8.95651 0.33373 1.14213
234 9 9.06959 0.24469 0.37677
235 1 3.24711 0.04250 0.00892
235 2 3.86987 0.10898 0.01893
235 3 4.71753 0.05874 0.02924
235 4 5.49250 0.11825 0.07144
235 5 6.14730 0.11539 0.26223
235 6 6.48715 0.13342 0.09502
235 7 8.49747 0.14780 0.81962
235 8 8.95738 0.36186 0.97660
235 9 9.05601 0.24363 0.43333
236 1 3.25509 0.04202 0.00879
236 2 3.90072 0.11234 0.02247
236 3 4.71888 0.05686 0.02995
236 4 5.49532 0.11914 0.06984
236 5 6.14200 0.11974 0.31501
236 6 6.49153 0.13838 0.09360
236 7 8.49516 0.14893 1.30955
236 8 8.95807 0.39809 0.93016
236 9 9.04552 0.24391 0.51943
237 1 3.26078 0.04170 0.00865
237 2 3.92305 0.12089 0.03170
237 3 4.71966 0.05575 0.03108
237 4 5.49732 0.11893 0.06843
237 5 6.13786 0.11906 0.37178
237 6 6.49479 0.14682 0.09166
237 7 8.49354 0.14865 1.05127
237 8 8.95855 0.44594 0.89052
237 9 9.03805 0.24424 0.72703
238 1 3.26420 0.04169 0.00853
238 2 3.93660 0.14606 0.02526
238 3 4.72002 0.05316 0.03166
238 4 5.49855 0.11924 0.06725
238 5 6.13525 0.10635 0.39512
238 6 6.49680 0.16934 0.09001
238 7 8.49255 0.14885 0.92051
238 8 8.95882 0.50316 0.85811
238 9 9.03356 0.24468 0.56554
239 1 3.26534 0.04143 0.00841
239 2 3.94113 0.05006 0.02244
239 3 4.72014 0.05242 0.03225
239 4 5.49897 0.11942 0.06630
239 5 6.13435 0.10401 0.34564
239 6 6.49746 0.16998 0.09067
239 7 8.49222 0.14892 0.90375
239 8 8.95891 0.53886 0.83260
239 9 9.03209 0.24466 0.52482
240 1 0.33475 0.00279 0.00002
240 2 0.97903 0.01139 0.00008
240 3 1.52828 0.01323 0.00031
240 4 5.07270 0.15944 0.02393
240 5 5.22020 0.15117 0.03044
240 6 7.14492 0.13289 0.03077
240 7 8.62023 0.12368 0.66912
240 8 8.74516 0.13894 0.04562
240 9 10.53192 0.31803 0.07302
241 1 0.39836 0.00256 0.00002
241 2 1.07688 0.01241 0.00010
241 3 1.67466 0.01768 0.00043
241 4 5.08139 0.15158 0.02442
241 5 5.25521 0.12961 0.03266
241 6 7.12523 0.13106 0.03056
241 7 8.62266 0.12287 0.72391
241 8 8.75604 0.14091 0.05259
241 9 10.50866 0.34158 0.07397
242 1 0.46826 0.00402 0.00003
242 2 1.17564 0.01504 0.00014
242 3 1.82278 0.02602 0.00057
242 4 5.09102 0.14646 0.02456
242 5 5.29290 0.12021 0.03563
242 6 7.10352 0.13053 0.03014
242 7 8.62515 0.16592 0.79889
242 8 8.76668 0.14322 0.06117
242 9 10.48293 0.32737 0.07464
243 1 0.54403 0.00645 0.00004
243 2 1.27453 0.01932 0.00018
243 3 1.97151 0.03575 0.00074
243 4 5.10151 0.14530 0.02510
243 5 5.33274 0.11677 0.03914
243 6 7.07999 0.13003 0.02983
243 7 8.62758 0.16027 0.89500
243 8 8.77690 0.14591 0.07162
243 9 10.45484 0.32075 0.07578
244 1 0.62523 0.00972 0.00006
244 2 1.37296 0.02948 0.00022
244 3 2.11994 0.05097 0.00096
244 4 5.11278 0.13880 0.02557
244 5 5.37435 0.11469 0.04374
244 6 7.05472 0.12971 0.02947
244 7 8.62995 0.15383 1.09305
244 8 8.78653 0.14897 0.08420
244 9 10.42456 0.35048 0.07704
245 1 0.71141 0.00988 0.00008
245 2 1.47048 0.01969 0.00028
245 3 2.26738 0.05879 0.00123
245 4 5.12477 0.13919 0.02624
245 5 5.41731 0.11342 0.05065
245 6 7.02782 0.12931 0.02908
245 7 8.63210 0.15098 1.43735
245 8 8.79552 0.15235 0.09918
245 9 10.39219 0.33681 0.07840
246 1 0.80214 0.00978 0.00010
246 2 1.56674 0.02731 0.00034
246 3 2.41322 0.04648 0.00156
246 4 5.13739 0.13539 0.02688
246 5 5.46123 0.11239 0.06810
246 6 6.99946 0.12892 0.02866
246 7 8.63402 0.14821 1.08707
246 8 8.80389 0.15650 0.11679
246 9 10.35783 0.33039 0.07982
247 1 0.89696 0.01310 0.00012
247 2 1.66146 0.02590 0.00041
247 3 2.55697 0.04694 0.00199
247 4 5.15058 0.13328 0.02766
247 5 5.50572 0.11248 0.05564
247 6 6.96978 0.12913 0.02821
247 7 8.63564 0.14271 0.96143
247 8 8.81162 0.16180 0.13798
247 9 10.32158 0.30810 0.08130
248 1 0.99543 0.01468 0.00016
248 2 1.75441 0.02657 0.00050
248 3 2.69818 0.04218 0.00252
248 4 5.16422 0.13155 0.02845
248 5 5.55042 0.11270 0.04457
248 6 6.93891 0.12950 0.02774
248 7 8.63690 0.11616 0.89094
248 8 8.81881 0.17021 0.16545
248 9 10.28354 0.33062 0.08281
249 1 1.09714 0.01630 0.00019
249 2 1.84538 0.02686 0.00059
249 3 2.83648 0.05076 0.00324
249 4 5.17826 0.13185 0.02934
249 5 5.59509 0.11384 0.03921
249 6 6.90701 0.13413 0.02726
249 7 8.63777 0.11570 0.86120
249 8 8.82553 0.18614 0.19183
249 9 10.24385 0.29636 0.08435
250 1 1.20164 0.01919 0.00024
250 2 1.93419 0.02878 0.00069
250 3 2.97153 0.05576 0.00419
250 4 5.19259 0.13356 0.03027
250 5 5.63937 0.11553 0.03586
250 6 6.87433 0.13068 0.02680
250 7 8.63816 0.11540 0.83561
250 8 8.83186 0.19720 0.22195
250 9 10.20257 0.27682 0.08592
251 1 1.30853 0.01945 0.00029
251 2 2.02070 0.04190 0.00081
251 3 3.10300 0.05836 0.00575
251 4 5.20713 0.13491 0.03127
251 5 5.68299 0.11838 0.03354
251 6 6.84102 0.12978 0.02636
251 7 8.63804 0.11533 0.85009
251 8 8.83788 0.16256 0.24679
251 9 10.15979 0.26384 0.08751
252 1 1.41740 0.02405 0.00035
252 2 2.10477 0.04702 0.00094
252 3 3.23059 0.06130 0.00934
252 4 5.22182 0.12849 0.03233
252 5 5.72577 0.13147 0.03190
252 6 6.80733 0.12963 0.02596
252 7 8.63741 0.11531 0.88111
252 8 8.84376 0.16178 0.26970
252 9 10.11563 0.25562 0.08903
253 1 1.52787 0.02627 0.00042
253 2 2.18627 0.06773 0.00108
253 3 3.35405 0.06365 0.00736
253 4 5.23656 0.12463 0.03343
253 5 5.76747 0.12074 0.03091
253 6 6.77354 0.13263 0.02562
253 7 8.63618 0.11538 0.92240
253 8 8.84951 0.16228 0.28635
253 9 10.07015 0.25329 0.09063
254 1 1.63957 0.03302 0.00050
254 2 2.26507 0.04602 0.00123
254 3 3.47310 0.07019 0.00752
254 4 5.25131 0.12169 0.03485
254 5 5.80791 0.12033 0.03034
254 6 6.73984 0.12876 0.02536
254 7 8.63441 0.11580 1.03998
254 8 8.85527 0.16402 0.29945
254 9 10.02350 0.30771 0.09235
255 1 1.75212 0.03216 0.00060
255 2 2.34108 0.04306 0.00140
255 3 3.58747 0.07154 0.00826
255 4 5.26597 0.11938 0.03620
255 5 5.84691 0.12289 0.03025
255 6 6.70663 0.12804 0.02527
255 7 8.63201 0.13199 1.68841
255 8 8.86103 0.16639 0.30917
255 9 9.97580 0.36758 0.09418
256 1 1.86518 0.01884 0.00071
256 2 2.41420 0.04539 0.00158
256 3 3.69692 0.07188 0.01352
256 4 5.28051 0.11792 0.03757
256 5 5.88430 0.11845 0.03096
256 6 6.67410 0.12750 0.02530
256 7 8.62902 0.13383 1.02864
256 8 8.86687 0.16954 0.31695
256 9 9.92715 0.37561 0.09615
257 1 1.97842 0.01548 0.00083
257 2 2.48434 0.04841 0.00177
257 3 3.80125 0.07363 0.02098
257 4 5.29490 0.11608 0.03890
257 5 5.92000 0.11517 0.03350
257 6 6.64262 0.12798 0.02550
257 7 8.62542 0.13845 0.83258
257 8 8.87281 0.17391 0.32888
257 9 9.87774 0.35925 0.09828
258 1 2.09151 0.01625 0.00097
258 2 2.55142 0.04980 0.00199
258 3 3.90018 0.07640 0.01107
258 4 5.30905 0.11489 0.04024
258 5 5.95382 0.11281 0.10176
258 6 6.61252 0.13083 0.02591
258 7 8.62122 0.14161 0.71449
258 8 8.87877 0.17863 0.33495
258 9 9.82771 0.28427 0.10062
259 1 2.20414 0.02591 0.00114
259 2 2.61539 0.06365 0.00222
259 3 3.99348 0.07979 0.00657
259 4 5.32296 0.11389 0.04174
259 5 5.98566 0.11114 0.01781
259 6 6.58404 0.12394 0.02658
259 7 8.61642 0.14398 0.63209
259 8 8.88483 0.18271 0.34180
259 9 9.77722 0.26899 0.10321
260 1 2.31601 0.04150 0.00132
260 2 2.67620 0.06024 0.00246
260 3 4.08098 0.08396 0.00402
260 4 5.33658 0.11290 0.04340
260 5 6.01540 0.10979 0.02051
260 6 6.55751 0.12194 0.02758
260 7 8.61112 0.14803 0.57376
260 8 8.89088 0.18681 0.34966
260 9 9.72656 0.25951 0.10621
261 1 2.42683 0.05923 0.00154
261 2 2.73382 0.06798 0.00273
261 3 4.16250 0.09849 0.00593
261 4 5.34989 0.11185 0.04504
261 5 6.04292 0.10832 0.08725
261 6 6.53323 0.12096 0.02878
261 7 8.60527 0.14916 0.34984
261 8 8.89691 0.19137 0.35894
261 9 9.67589 0.24803 0.10960
262 1 2.53632 0.06790 0.00179
262 2 2.78823 0.06257 0.00301
262 3 4.23784 0.09562 0.01036
262 4 5.36284 0.11111 0.04672
262 5 6.06810 0.10812 0.09722
262 6 6.51143 0.12007 0.03097
262 7 8.59901 0.13421 0.33377
262 8 8.90285 0.19789 0.37045
262 9 9.62550 0.24296 0.11346
263 1 2.64418 0.06799 0.00208
263 2 2.83946 0.06119 0.00334
263 3 4.30691 0.09729 0.01071
263 4 5.37540 0.11044 0.04874
263 5 6.09088 0.10663 0.09755
263 6 6.49228 0.11926 0.07167
263 7 8.59235 0.13536 0.32255
263 8 8.90863 0.20300 0.38402
263 9 9.57561 0.24136 0.11785
264 1 2.75015 0.10512 0.00242
264 2 2.88752 0.06633 0.00358
264 3 4.36959 0.10060 0.01265
264 4 5.38760 0.10997 0.05070
264 5 6.11115 0.10678 0.14073
264 6 6.47600 0.11834 0.08456
264 7 8.58540 0.13712 0.31567
264 8 8.91421 0.20006 0.39896
264 9 9.52653 0.25780 0.12287
265 1 2.85393 0.12709 0.00281
265 2 2.93246 0.06672 0.00397
265 3 4.42593 0.09232 0.01650
265 4 5.39935 0.10960 0.05292
265 5 6.12884 0.10799 0.20717
265 6 6.46263 0.11741 0.10317
265 7 8.57820 0.13868 0.31116
265 8 8.91958 0.20034 0.41687
265 9 9.47854 0.25743 0.12865
266 1 2.95523 0.14118 0.00332
266 2 2.97434 0.06618 0.00435
266 3 4.47593 0.08816 0.02820
266 4 5.41068 0.10951 0.05529
266 5 6.14386 0.10846 0.23664
266 6 6.45222 0.11668 0.14160
266 7 8.57083 0.14030 0.30991
266 8 8.92464 0.20355 0.44049
266 9 9.43192 0.25935 0.13530
267 1 3.01324 0.06214 0.00475
267 2 3.05375 0.12821 0.00396
267 3 4.51979 0.08706 0.02037
267 4 5.42157 0.10918 0.05792
267 5 6.15615 0.10926 0.18969
267 6 6.44473 0.11611 0.12895
267 7 8.56342 0.14230 0.31180
267 8 8.92938 0.19610 0.46458
267 9 9.38692 0.27837 0.14299
268 1 3.04922 0.05838 0.00517
268 2 3.14920 0.11301 0.00488
268 3 4.55768 0.08703 0.01946
268 4 5.43194 0.10935 0.06116
268 5 6.16577 0.11060 0.17565
268 6 6.43999 0.11603 0.11748
268 7 8.55605 0.14406 0.31684
268 8 8.93379 0.20227 0.49568
268 9 9.34387 0.27505 0.15191
269 1 3.08241 0.05471 0.00562
269 2 3.24121 0.09971 0.00613
269 3 4.58991 0.06167 0.01970
269 4 5.44183 0.11005 0.06478
269 5 6.17270 0.11224 0.16824
269 6 6.43786 0.11664 0.11164
269 7 8.54876 0.13864 0.32441
269 8 8.93780 0.20886 0.53229
269 9 9.30298 0.26416 0.16228
270 1 3.11289 0.05187 0.00614
270 2 3.32947 0.08350 0.00609
270 3 4.61692 0.06429 0.02026
270 4 5.45119 0.11207 0.06957
270 5 6.17704 0.11384 0.17037
270 6 6.43801 0.11902 0.11660
270 7 8.54169 0.14023 0.33544
270 8 8.94149 0.21733 0.57989
270 9 9.26446 0.25504 0.17473
271 1 3.14072 0.05611 0.00674
271 2 3.41356 0.07796 0.00643
271 3 4.63908 0.06273 0.02093
271 4 5.46000 0.11309 0.07585
271 5 6.17893 0.11522 0.15979
271 6 6.44017 0.12769 0.12446
271 7 8.53488 0.14198 0.35018
271 8 8.94482 0.22691 0.63336
271 9 9.22857 0.25124 0.18919
272 1 3.16605 0.05385 0.00746
272 2 3.49312 0.07946 0.00710
272 3 4.65692 0.06709 0.02187
272 4 5.46821 0.11610 0.08858
272 5 6.17857 0.11630 0.16454
272 6 6.44392 0.13483 0.13947
272 7 8.52844 0.14362 0.36903
272 8 8.94776 0.23728 0.70846
272 9 9.19541 0.24681 0.20540
273 1 3.18889 0.05120 0.00844
273 2 3.56771 0.06843 0.00792
273 3 4.67095 0.06365 0.02318
273 4 5.47586 0.12205 0.09847
273 5 6.17620 0.11669 0.17315
273 6 6.44890 0.12606 0.19269
273 7 8.52235 0.14594 0.39302
273 8 8.95039 0.25045 0.82395
273 9 9.16514 0.24486 0.22531
274 1 3.20934 0.04870 0.01028
274 2 3.63687 0.07170 0.00896
274 3 4.68174 0.06406 0.02399
274 4 5.48284 0.13564 0.08122
274 5 6.17216 0.11633 0.18204
274 6 6.45471 0.12427 0.14630
274 7 8.51677 0.14684 0.42344
274 8 8.95267 0.26358 0.98827
274 9 9.13785 0.24426 0.25350
275 1 3.22745 0.04713 0.01058
275 2 3.70013 0.07787 0.01196
275 3 4.68977 0.07754 0.02526
275 4 5.48920 0.12241 0.07288
275 5 6.16685 0.11589 0.19272
275 6 6.46098 0.12428 0.12644
275 7 8.51168 0.14832 0.46258
275 8 8.95465 0.27937 1.48542
275 9 9.11363 0.24574 0.28277
276 1 3.24324 0.04493 0.00918
276 2 3.75697 0.08693 0.01454
276 3 4.69556 0.07889 0.02575
276 4 5.49487 0.11863 0.06989
276 5 6.16068 0.11497 0.20693
276 6 6.46730 0.12575 0.11417
276 7 8.50715 0.14928 0.51282
276 8 8.95636 0.29827 1.16015
276 9 9.09247 0.24746 0.31827
277 1 3.25680 0.04389 0.00873
277 2 3.80691 0.09949 0.01653
277 3 4.69961 0.07321 0.02628
277 4 5.49981 0.11770 0.06585
277 5 6.15411 0.11394 0.22799
277 6 6.47339 0.12848 0.10715
277 7 8.50319 0.14958 0.58150
277 8 8.95777 0.32033 0.95022
277 9 9.07442 0.24278 0.36069
278 1 3.26807 0.04328 0.00840
278 2 3.84946 0.10354 0.01746
278 3 4.70227 0.06213 0.02663
278 4 5.50401 0.11808 0.06449
278 5 6.14763 0.11365 0.25958
278 6 6.47890 0.13171 0.10229
278 7 8.49987 0.14982 0.67743
278 8 8.95894 0.34695 0.83167
278 9 9.05940 0.24271 0.41691
279 1 3.27706 0.04262 0.00833
279 2 3.88417 0.10391 0.02081
279 3 4.70398 0.05744 0.02705
279 4 5.50743 0.11952 0.06326
279 5 6.14179 0.11574 0.32106
279 6 6.48361 0.13544 0.09903
279 7 8.49720 0.15067 0.83721
279 8 8.95984 0.38176 0.79520
279 9 9.04747 0.24326 0.50677
280 1 3.28384 0.04212 0.00825
280 2 3.91058 0.10607 0.02770
280 3 4.70500 0.05333 0.02748
280 4 5.51004 0.11980 0.06215
280 5 6.13693 0.12780 0.39489
280 6 6.48733 0.14093 0.09542
280 7 8.49516 0.15124 1.32456
280 8 8.96053 0.42888 0.76422
280 9 9.03853 0.24341 0.67789
281 1 3.28836 0.04179 0.00816
281 2 3.92839 0.10738 0.02808
281 3 4.70554 0.04997 0.02789
281 4 5.51177 0.12000 0.06125
281 5 6.13348 0.11016 0.32088
281 6 6.48991 0.15306 0.09447
281 7 8.49381 0.15043 1.05067
281 8 8.96095 0.50032 0.73809
281 9 9.03260 0.24363 0.54229
282 1 3.29061 0.04161 0.00805
282 2 3.93735 0.12572 0.02613
282 3 4.70578 0.05138 0.02832
282 4 5.51264 0.12015 0.06033
282 5 6.13172 0.10408 0.29462
282 6 6.49120 0.17401 0.09443
282 7 8.49312 0.15051 0.95219
282 8 8.96119 0.58973 0.71080
282 9 9.02963 0.24414 0.53542
283 1 0.46424 0.00400 0.00003
283 2 1.17243 0.01516 0.00013
283 3 1.81365 0.02562 0.00056
283 4 5.09060 0.14735 0.02470
283 5 5.29077 0.12090 0.03539
283 6 7.10469 0.13039 0.03032
283 7 8.62521 0.16753 0.80011
283 8 8.76593 0.14310 0.05951
283 9 10.48434 0.32748 0.07502
284 1 0.53615 0.00604 0.00004
284 2 1.26915 0.01934 0.00017
284 3 1.95464 0.03448 0.00072
284 4 5.10073 0.14581 0.02526
284 5 5.32866 0.11653 0.03868
284 6 7.08224 0.13018 0.03004
284 7 8.62782 0.15981 0.91337
284 8 8.77552 0.14508 0.06925
284 9 10.45763 0.32059 0.07615
285 1 0.61366 0.00835 0.00005
285 2 1.36618 0.03018 0.00022
285 3 2.09655 0.04984 0.00092
285 4 5.11170 0.14097 0.02561
285 5 5.36850 0.11534 0.04296
285 6 7.05795 0.12958 0.02958
285 7 8.63034 0.15601 1.16532
285 8 8.78467 0.14753 0.08101
285 9 10.42864 0.31530 0.07702
286 1 0.69634 0.01045 0.00007
286 2 1.46289 0.02275 0.00027
286 3 2.23849 0.06333 0.00117
286 4 5.12348 0.14030 0.02622
286 5 5.40990 0.11344 0.04912
286 6 7.03202 0.12938 0.02917
286 7 8.63273 0.15117 1.29506
286 8 8.79327 0.15034 0.09515
286 9 10.39752 0.34551 0.07825
287 1 0.78375 0.00975 0.00009
