# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"temperature (K)" "frequency (THz)" "kappa spec (W/mK/THz)" "cumulative kappa (W/mK)"
300.00000 4.55685 1.42399 61.31542
300.00000 4.58682 1.28610 61.35397
300.00000 4.61680 1.10573 61.38712
300.00000 4.64678 0.90343 61.41421
300.00000 4.67676 0.62546 61.43296
300.00000 4.70674 0.41227 61.44532
300.00000 4.73672 0.13506 61.44937
300.00000 4.76670 0.00132 61.44941
300.00000 4.79668 0.00000 61.44941
300.00000 4.82666 0.00000 61.44941
300.00000 4.85664 0.00000 61.44941
300.00000 4.88662 0.00000 61.44941
300.00000 4.91660 0.00000 61.44941
300.00000 4.94658 0.00000 61.44941
300.00000 4.97655 0.00000 61.44941
300.00000 5.00653 0.00000 61.44941
300.00000 5.03651 0.00889 61.44967
300.00000 5.06649 0.04918 61.45115
300.00000 5.09647 0.08966 61.45384
300.00000 5.12645 0.12939 61.45771
300.00000 5.15643 0.17374 61.46292
300.00000 5.18641 0.21460 61.46936
300.00000 5.21639 0.25083 61.47688
300.00000 5.24637 0.29433 61.48570
300.00000 5.27635 0.33453 61.49573
300.00000 5.30633 0.37283 61.50691
300.00000 5.33631 0.40925 61.51918
300.00000 5.36628 0.44188 61.53242
300.00000 5.39626 0.47384 61.54663
300.00000 5.42624 0.50023 61.56162
300.00000 5.45622 0.51376 61.57703
300.00000 5.48620 0.58185 61.59447
300.00000 5.51618 0.67908 61.61483
300.00000 5.54616 0.73659 61.63691
300.00000 5.57614 0.76827 61.65994
300.00000 5.60612 0.78454 61.68346
300.00000 5.63610 0.79050 61.70716
300.00000 5.66608 0.78577 61.73072
300.00000 5.69606 0.77092 61.75383
300.00000 5.72604 0.74973 61.77631
300.00000 5.75602 0.73167 61.79824
300.00000 5.78599 0.70575 61.81940
300.00000 5.81597 0.67804 61.83973
300.00000 5.84595 0.64295 61.85900
300.00000 5.87593 0.60124 61.87703
300.00000 5.90591 0.54714 61.89343
300.00000 5.93589 0.41577 61.90589
300.00000 5.96587 0.36092 61.91671
300.00000 5.99585 0.38258 61.92818
300.00000 6.02583 0.33065 61.93810
300.00000 6.05581 0.30322 61.94719
300.00000 6.08579 0.27579 61.95545
300.00000 6.11577 0.21611 61.96193
300.00000 6.14575 0.13307 61.96592
300.00000 6.17572 0.09562 61.96879
300.00000 6.20570 0.12598 61.97257
300.00000 6.23568 0.14840 61.97702
300.00000 6.26566 0.16504 61.98196
300.00000 6.29564 0.17649 61.98725
300.00000 6.32562 0.18055 61.99267
300.00000 6.35560 0.18708 61.99828
300.00000 6.38558 0.19587 62.00415
300.00000 6.41556 0.20032 62.01015
300.00000 6.44554 0.17885 62.01551
300.00000 6.47552 0.23077 62.02243
300.00000 6.50550 0.24307 62.02972
300.00000 6.53548 0.30256 62.03879
300.00000 6.56545 0.32242 62.04846
300.00000 6.59543 0.33273 62.05843
300.00000 6.62541 0.33510 62.06848
300.00000 6.65539 0.33462 62.07851
300.00000 6.68537 0.33160 62.08845
300.00000 6.71535 0.32327 62.09814
300.00000 6.74533 0.31126 62.10747
300.00000 6.77531 0.29698 62.11638
300.00000 6.80529 0.28062 62.12479
300.00000 6.83527 0.26284 62.13267
300.00000 6.86525 0.24354 62.13997
300.00000 6.89523 0.22359 62.14667
300.00000 6.92521 0.20628 62.15286
300.00000 6.95519 0.18935 62.15853
300.00000 6.98516 0.17015 62.16363
300.00000 7.01514 0.15057 62.16815
300.00000 7.04512 0.13118 62.17208
300.00000 7.07510 0.11198 62.17544
300.00000 7.10508 0.09401 62.17826
300.00000 7.13506 0.07425 62.18048
300.00000 7.16504 0.05618 62.18217
300.00000 7.19502 0.03632 62.18326
300.00000 7.22500 0.01447 62.18369
300.00000 7.25498 0.00000 62.18369
300.00000 7.28496 0.00000 62.18369
300.00000 7.31494 0.00000 62.18369
300.00000 7.34492 0.00000 62.18369
300.00000 7.37489 0.00000 62.18369
300.00000 7.40487 0.00000 62.18369
300.00000 7.43485 0.00000 62.18369
300.00000 7.46483 0.00000 62.18369
300.00000 7.49481 0.00000 62.18369
300.00000 7.52479 0.00000 62.18369
300.00000 7.55477 0.00000 62.18369
300.00000 7.58475 0.00000 62.18369
300.00000 7.61473 0.00000 62.18369
300.00000 7.64471 0.00000 62.18369
300.00000 7.67469 0.00000 62.18369
300.00000 7.70467 0.00000 62.18369
300.00000 7.73465 0.00000 62.18369
300.00000 7.76462 0.00000 62.18369
300.00000 7.79460 0.00000 62.18369
300.00000 7.82458 0.00000 62.18369
300.00000 7.85456 0.00000 62.18369
300.00000 7.88454 0.00000 62.18369
300.00000 7.91452 0.00000 62.18369
300.00000 7.94450 0.00000 62.18369
300.00000 7.97448 0.00000 62.18369
300.00000 8.00446 0.00000 62.18369
300.00000 8.03444 0.00000 62.18369
300.00000 8.06442 0.00000 62.18369
300.00000 8.09440 0.00000 62.18369
300.00000 8.12438 0.00000 62.18369
300.00000 8.15435 0.00000 62.18369
300.00000 8.18433 0.00000 62.18369
300.00000 8.21431 0.00000 62.18369
300.00000 8.24429 0.00000 62.18369
300.00000 8.27427 0.00000 62.18369
300.00000 8.30425 0.00000 62.18369
300.00000 8.33423 0.00000 62.18369
300.00000 8.36421 0.00000 62.18369
300.00000 8.39419 0.00000 62.18369
300.00000 8.42417 0.01078 62.18401
300.00000 8.45415 0.02582 62.18479
300.00000 8.48413 0.03055 62.18570
300.00000 8.51411 0.03301 62.18669
300.00000 8.54409 0.04389 62.18801
300.00000 8.57406 0.04275 62.18929
300.00000 8.60404 0.02998 62.19019
300.00000 8.63402 0.00917 62.19046
