# 8x8x1 supercell for harmonic, 6x6x1 supercell for cubic ifcs
# 100x100x1 k points for kappa
# cubic ifcs up to 8NN shell trained with ordinary least squares by 200 configurations.
# Temperature = 300 K
"k index (irred.)" "branch index" "f (THz)" "mfp (nm)" multiplicity "modal kappa (W/mK)"
17 1 0.99146 207.01800 6 0.00704
17 2 1.70307 86.44290 6 0.00261
17 3 2.71181 112.83100 6 0.00534
17 4 5.15781 2.30903 6 0.00001
17 5 5.54877 8.41879 6 0.00012
17 6 6.94406 5.68936 6 0.00005
17 7 8.63126 0.00710 6 0.00000
17 8 8.82262 0.63850 6 0.00000
17 9 10.28753 3.02419 6 0.00003
18 1 1.09729 173.05800 6 0.00604
18 2 1.79513 81.65620 6 0.00240
18 3 2.85697 85.31970 6 0.00392
18 4 5.17148 2.22143 6 0.00001
18 5 5.59533 8.55845 6 0.00012
18 6 6.91154 5.83819 6 0.00006
18 7 8.63174 0.00035 6 0.00000
18 8 8.82979 0.54064 6 0.00000
18 9 10.24655 3.24872 6 0.00004
19 1 1.20568 173.03800 6 0.00616
19 2 1.88474 68.55030 6 0.00196
19 3 2.99795 69.90930 6 0.00311
19 4 5.18533 2.44677 6 0.00001
19 5 5.64134 8.50762 6 0.00012
19 6 6.87829 5.90809 6 0.00006
19 7 8.63174 0.00476 6 0.00000
19 8 8.83647 0.41784 6 0.00000
19 9 10.20407 3.49160 6 0.00004
20 1 1.31625 166.70700 6 0.00604
20 2 1.97178 59.18380 6 0.00164
20 3 3.13457 60.98900 6 0.00262
20 4 5.19936 2.53289 6 0.00001
20 5 5.68652 8.35449 6 0.00011
20 6 6.84450 5.89334 6 0.00006
20 7 8.63126 0.01418 6 0.00000
20 8 8.84277 0.33394 6 0.00000
20 9 10.16015 3.57861 6 0.00004
21 1 1.42859 145.45500 6 0.00534
21 2 2.05615 51.15600 6 0.00137
21 3 3.26660 55.60400 6 0.00230
21 4 5.21342 2.57688 6 0.00001
21 5 5.73065 7.98768 6 0.00011
21 6 6.81042 6.16389 6 0.00006
21 7 8.63022 0.02659 6 0.00000
21 8 8.84879 0.28022 6 0.00000
21 9 10.11488 3.34161 6 0.00004
22 1 1.54230 118.69700 6 0.00440
22 2 2.13775 39.90350 6 0.00103
22 3 3.39386 49.48840 6 0.00197
22 4 5.22748 2.59529 6 0.00001
22 5 5.77352 7.01977 6 0.00009
22 6 6.77630 6.26696 6 0.00006
22 7 8.62863 0.04279 6 0.00000
22 8 8.85470 0.25015 6 0.00000
22 9 10.06838 3.57907 6 0.00004
23 1 1.65702 91.80620 6 0.00342
23 2 2.21649 41.26030 6 0.00103
23 3 3.51615 42.17420 6 0.00160
23 4 5.24148 2.60154 6 0.00001
23 5 5.81495 7.47853 6 0.00009
23 6 6.74239 6.26472 6 0.00006
23 7 8.62644 0.06158 6 0.00000
23 8 8.86049 0.23736 6 0.00000
23 9 10.02074 3.37570 6 0.00004
24 1 1.77238 104.00400 6 0.00389
24 2 2.29227 44.85750 6 0.00108
24 3 3.63327 41.53640 6 0.00151
24 4 5.25533 2.57994 6 0.00001
24 5 5.85477 7.31084 6 0.00009
24 6 6.70900 6.16743 6 0.00006
24 7 8.62365 0.08421 6 0.00000
24 8 8.86630 0.23728 6 0.00000
24 9 9.97212 2.77931 6 0.00004
25 1 1.88803 190.12200 6 0.00711
25 2 2.36501 43.81310 6 0.00101
25 3 3.74504 35.02110 6 0.00121
25 4 5.26903 2.55101 6 0.00001
25 5 5.89284 7.07087 6 0.00008
25 6 6.67644 5.98281 6 0.00006
25 7 8.62023 0.11088 6 0.00000
25 8 8.87215 0.24227 6 0.00000
25 9 9.92259 3.14812 6 0.00004
26 1 2.00366 202.61400 6 0.00756
26 2 2.43463 40.75320 6 0.00089
26 3 3.85125 32.19300 6 0.00105
26 4 5.28249 2.50416 6 0.00001
26 5 5.92906 6.62012 6 0.00007
26 6 6.64502 5.43986 6 0.00005
26 7 8.61625 0.14150 6 0.00000
26 8 8.87802 0.25399 6 0.00000
26 9 9.87238 3.10941 6 0.00004
27 1 2.11893 179.71800 6 0.00667
27 2 2.50108 37.60670 6 0.00079
27 3 3.95168 32.17560 6 0.00099
27 4 5.29571 2.45578 6 0.00001
27 5 5.96326 7.23867 6 0.00007
27 6 6.61507 5.56174 6 0.00005
27 7 8.61166 0.17195 6 0.00000
27 8 8.88396 0.26578 6 0.00000
27 9 9.82159 3.76588 6 0.00005
28 1 2.23355 106.66100 6 0.00393
28 2 2.56432 33.74510 6 0.00067
28 3 4.04618 29.81770 6 0.00086
28 4 5.30863 2.39177 6 0.00001
28 5 5.99534 6.73406 6 0.00006
28 6 6.58686 5.25757 6 0.00004
28 7 8.60653 0.28829 6 0.00000
28 8 8.88990 0.27521 6 0.00000
28 9 9.77048 3.92785 6 0.00005
29 1 2.34721 70.26190 6 0.00256
29 2 2.62430 25.59010 6 0.00048
29 3 4.13450 23.61610 6 0.00063
29 4 5.32126 2.31914 6 0.00001
29 5 6.02517 4.80045 6 0.00004
29 6 6.56072 4.82477 6 0.00004
29 7 8.60090 0.33028 6 0.00000
29 8 8.89580 0.28053 6 0.00000
29 9 9.71924 3.95926 6 0.00005
30 1 2.45963 40.76730 6 0.00147
30 2 2.68102 23.45140 6 0.00042
30 3 4.21652 20.37730 6 0.00050
30 4 5.33352 2.24531 6 0.00001
30 5 6.05269 3.47146 6 0.00003
30 6 6.53694 4.31372 6 0.00003
30 7 8.59481 0.36799 6 0.00000
30 8 8.90162 0.28105 6 0.00000
30 9 9.66810 4.09342 6 0.00006
31 1 2.57051 46.21840 6 0.00164
31 2 2.73448 21.79080 6 0.00036
31 3 4.29207 18.76950 6 0.00043
31 4 5.34542 2.15815 6 0.00001
31 5 6.07775 3.23237 6 0.00002
31 6 6.51575 3.74621 6 0.00002
31 7 8.58833 0.40174 6 0.00000
31 8 8.90731 0.27351 6 0.00000
31 9 9.61731 3.99568 6 0.00005
32 1 2.67958 39.86520 6 0.00138
32 2 2.78472 21.11150 6 0.00033
32 3 4.36105 17.31980 6 0.00036
32 4 5.35693 2.06642 6 0.00001
32 5 6.10027 2.66489 6 0.00002
32 6 6.49737 2.52655 6 0.00001
32 7 8.58153 0.42575 6 0.00000
32 8 8.91280 0.26702 6 0.00000
32 9 9.56719 3.88400 6 0.00005
33 1 2.78656 26.96820 6 0.00092
33 2 2.83176 19.66200 6 0.00029
33 3 4.42341 15.29170 6 0.00028
33 4 5.36802 1.97284 6 0.00001
33 5 6.12017 1.92865 6 0.00001
33 6 6.48196 1.96217 6 0.00001
33 7 8.57451 0.44905 6 0.00000
33 8 8.91802 0.25299 6 0.00000
33 9 9.51799 3.71198 6 0.00005
34 1 2.87567 19.09570 6 0.00026
34 2 2.89115 18.79170 6 0.00062
34 3 4.47920 12.96760 6 0.00021
34 4 5.37867 1.87267 6 0.00001
34 5 6.13738 1.10650 6 0.00001
34 6 6.46961 1.42997 6 0.00000
34 7 8.56735 0.45940 6 0.00000
34 8 8.92293 0.23228 6 0.00000
34 9 9.46999 3.26751 6 0.00004
35 1 2.91653 14.61050 6 0.00018
35 2 2.99307 13.41740 6 0.00043
35 3 4.52846 12.03360 6 0.00017
35 4 5.38889 1.76655 6 0.00001
35 5 6.15186 1.20271 6 0.00000
35 6 6.46032 0.93529 6 0.00000
35 7 8.56012 0.45724 6 0.00000
35 8 8.92749 0.20814 6 0.00000
35 9 9.42350 3.08753 6 0.00004
36 1 2.95442 16.02350 6 0.00019
36 2 3.09200 23.01250 6 0.00072
36 3 4.57139 10.51060 6 0.00013
36 4 5.39863 1.65513 6 0.00000
36 5 6.16358 1.02813 6 0.00000
36 6 6.45402 0.51909 6 0.00000
36 7 8.55293 0.43927 6 0.00000
36 8 8.93169 0.18482 6 0.00000
36 9 9.37877 2.91643 6 0.00003
37 1 2.98943 15.73430 6 0.00017
37 2 3.18763 23.68170 6 0.00071
37 3 4.60823 11.53980 6 0.00012
37 4 5.40784 1.54009 6 0.00000
37 5 6.17255 0.77511 6 0.00000
37 6 6.45051 0.17627 6 0.00000
37 7 8.54582 0.42227 6 0.00000
37 8 8.93549 0.15776 6 0.00000
37 9 9.33611 2.76473 6 0.00003
38 1 3.02167 15.13250 6 0.00015
38 2 3.27958 26.35890 6 0.00076
38 3 4.63935 8.83728 6 0.00008
38 4 5.41656 1.42169 6 0.00000
38 5 6.17884 0.52238 6 0.00000
38 6 6.44965 0.04719 6 0.00000
38 7 8.53893 0.42109 6 0.00000
38 8 8.93888 0.13105 6 0.00000
38 9 9.29575 2.62823 6 0.00003
39 1 3.05123 14.45340 6 0.00013
39 2 3.36754 27.46850 6 0.00075
39 3 4.66516 7.19964 6 0.00005
39 4 5.42471 1.30232 6 0.00000
39 5 6.18253 0.25990 6 0.00000
39 6 6.45105 0.25010 6 0.00000
39 7 8.53230 0.38756 6 0.00000
39 8 8.94185 0.10616 6 0.00000
39 9 9.25792 2.41103 6 0.00002
40 1 3.07818 13.62810 6 0.00011
40 2 3.45109 26.98730 6 0.00070
40 3 4.68618 5.87030 6 0.00003
40 4 5.43233 1.17631 6 0.00000
40 5 6.18382 0.03699 6 0.00000
40 6 6.45438 0.44153 6 0.00000
40 7 8.52601 0.34737 6 0.00000
40 8 8.94446 0.08461 6 0.00000
40 9 9.22279 2.16102 6 0.00002
41 1 3.10264 12.84290 6 0.00010
41 2 3.52982 28.98260 6 0.00070
41 3 4.70290 4.35279 6 0.00002
41 4 5.43931 1.04392 6 0.00000
41 5 6.18295 0.20455 6 0.00000
41 6 6.45924 0.60956 6 0.00000
41 7 8.52010 0.30339 6 0.00000
41 8 8.94671 0.06575 6 0.00000
41 9 9.19050 1.92084 6 0.00002
42 1 3.12465 11.95830 6 0.00008
42 2 3.60327 25.93870 6 0.00058
42 3 4.71592 3.07030 6 0.00001
42 4 5.44573 0.90054 6 0.00000
42 5 6.18016 0.34802 6 0.00000
42 6 6.46517 0.75531 6 0.00000
42 7 8.51462 0.25769 6 0.00000
42 8 8.94860 0.04977 6 0.00000
42 9 9.16121 1.66781 6 0.00001
43 1 3.14425 10.90970 6 0.00006
43 2 3.67096 22.16960 6 0.00045
43 3 4.72575 2.15679 6 0.00001
43 4 5.45152 0.76424 6 0.00000
43 5 6.17584 0.47893 6 0.00000
43 6 6.47183 0.83827 6 0.00000
43 7 8.50964 0.21171 6 0.00000
43 8 8.95018 0.03665 6 0.00000
43 9 9.13501 1.40186 6 0.00001
44 1 3.16155 9.69901 6 0.00005
44 2 3.73239 17.61830 6 0.00032
44 3 4.73297 1.39085 6 0.00000
44 4 5.45664 0.69800 6 0.00000
44 5 6.17045 0.54382 6 0.00000
44 6 6.47872 0.86523 6 0.00000
44 7 8.50520 0.16798 6 0.00000
44 8 8.95147 0.02686 6 0.00000
44 9 9.11189 1.15508 6 0.00001
45 1 3.17651 8.39402 6 0.00004
45 2 3.78704 13.23200 6 0.00021
45 3 4.73810 0.94856 6 0.00000
45 4 5.46111 0.59898 6 0.00000
45 5 6.16436 0.56249 6 0.00000
45 6 6.48553 0.84002 6 0.00000
45 7 8.50130 0.12589 6 0.00000
45 8 8.95252 0.01885 6 0.00000
45 9 9.09193 0.92440 6 0.00000
46 1 3.18916 7.04604 6 0.00003
46 2 3.83441 10.05370 6 0.00014
46 3 4.74158 0.59855 6 0.00000
46 4 5.46492 0.49161 6 0.00000
46 5 6.15810 0.52628 6 0.00000
46 6 6.49189 0.76232 6 0.00000
46 7 8.49798 0.08700 6 0.00000
46 8 8.95336 0.01287 6 0.00000
46 9 9.07508 0.71515 6 0.00000
47 1 3.19954 5.64160 6 0.00002
47 2 3.87401 6.60518 6 0.00007
47 3 4.74386 0.38365 6 0.00000
47 4 5.46806 0.38598 6 0.00000
47 5 6.15216 0.44781 6 0.00000
47 6 6.49752 0.64548 6 0.00000
47 7 8.49522 0.04577 6 0.00000
47 8 8.95399 0.00844 6 0.00000
47 9 9.06138 0.52482 6 0.00000
48 1 3.20760 4.20718 6 0.00001
48 2 3.90534 4.13355 6 0.00004
48 3 4.74523 0.20054 6 0.00000
48 4 5.47049 0.28131 6 0.00000
48 5 6.14697 0.33858 6 0.00000
48 6 6.50214 0.49863 6 0.00000
48 7 8.49309 0.04288 6 0.00000
48 8 8.95447 0.00518 6 0.00000
48 9 9.05073 0.34837 6 0.00000
49 1 3.21339 2.77652 6 0.00000
49 2 3.92803 6.63636 6 0.00004
49 3 4.74604 0.12259 6 0.00000
49 4 5.47223 0.18023 6 0.00000
49 5 6.14296 0.22284 6 0.00000
49 6 6.50559 0.33172 6 0.00000
49 7 8.49153 0.03192 6 0.00000
49 8 8.95480 0.00291 6 0.00000
49 9 9.04318 0.21512 6 0.00000
50 1 3.21686 1.35209 6 0.00000
50 2 3.94176 3.43182 6 0.00001
50 3 4.74643 0.06441 6 0.00000
50 4 5.47328 0.08478 6 0.00000
50 5 6.14041 0.10368 6 0.00000
50 6 6.50768 0.13989 6 0.00000
50 7 8.49060 0.01705 6 0.00000
50 8 8.95498 0.00119 6 0.00000
50 9 9.03865 0.09280 6 0.00000
51 1 3.21800 0.00000 3 0.00000
51 2 3.94638 0.00000 3 0.00000
51 3 4.74655 0.00000 3 0.00000
51 4 5.47364 0.00000 3 0.00000
51 5 6.13954 0.00000 3 0.00000
51 6 6.50840 0.00000 3 0.00000
51 7 8.49030 0.00000 3 0.00000
51 8 8.95504 0.00000 3 0.00000
51 9 9.03715 0.00000 3 0.00000
52 1 0.02393 7845.37000 6 0.04557
52 2 0.19643 1417.94000 6 0.05250
52 3 0.31338 1607.18000 6 0.09458
52 4 5.03250 0.36118 6 0.00000
52 5 5.03936 1.74321 6 0.00001
52 6 7.23999 0.86578 6 0.00000
52 7 8.60764 0.03175 6 0.00000
52 8 8.66637 1.31103 6 0.00000
52 9 10.64197 0.45173 6 0.00000
53 1 0.04372 4476.83000 12 0.03623
53 2 0.29983 1034.63000 12 0.03823
53 3 0.47814 1200.72000 12 0.07039
53 4 5.03474 0.53933 12 0.00000
53 5 5.05063 2.59471 12 0.00001
53 6 7.23435 1.30871 12 0.00000
53 7 8.60839 0.04746 12 0.00000
53 8 8.67273 1.93713 12 0.00001
53 9 10.63559 0.69212 12 0.00000
54 1 0.07155 3125.17000 12 0.03329
54 2 0.40799 661.44500 12 0.02433
54 3 0.65054 961.11200 12 0.05605
54 4 5.03816 0.73987 12 0.00000
54 5 5.06724 3.41376 12 0.00002
54 6 7.22599 1.78214 12 0.00001
54 7 8.60947 0.06308 12 0.00000
54 8 8.68169 2.46966 12 0.00001
54 9 10.62608 0.93617 12 0.00000
55 1 0.10751 2137.29000 12 0.02833
55 2 0.51751 487.62200 12 0.01783
55 3 0.82506 986.70400 12 0.05716
55 4 5.04266 0.91428 12 0.00000
55 5 5.08880 3.91009 12 0.00003
55 6 7.21502 2.21488 12 0.00001
55 7 8.61088 0.07442 12 0.00000
55 8 8.69266 2.86789 12 0.00001
55 9 10.61355 1.16048 12 0.00000
56 1 0.15146 1587.09000 12 0.02508
56 2 0.62718 360.96700 12 0.01309
56 3 0.99979 775.22600 12 0.04453
56 4 5.04824 1.02488 12 0.00000
56 5 5.11494 4.11200 12 0.00004
56 6 7.20155 2.62374 12 0.00001
56 7 8.61256 0.08152 12 0.00000
56 8 8.70498 3.11510 12 0.00002
56 9 10.59802 1.35826 12 0.00001
57 1 0.20306 1254.13000 12 0.02288
57 2 0.73644 366.40700 12 0.01316
57 3 1.17378 576.41700 12 0.03278
57 4 5.05483 1.11334 12 0.00000
57 5 5.14522 5.10848 12 0.00005
57 6 7.18573 3.00564 12 0.00002
57 7 8.61445 0.08554 12 0.00000
57 8 8.71811 3.21133 12 0.00002
57 9 10.57965 1.52331 12 0.00001
58 1 0.26194 880.72500 12 0.01811
58 2 0.84493 331.85900 12 0.01179
58 3 1.34646 417.40700 12 0.02346
58 4 5.06245 1.10499 12 0.00000
58 5 5.17909 5.88920 12 0.00007
58 6 7.16771 3.35510 12 0.00002
58 7 8.61651 0.08574 12 0.00000
58 8 8.73155 3.16710 12 0.00002
58 9 10.55857 1.71621 12 0.00001
59 1 0.32769 696.16900 12 0.01583
59 2 0.95238 301.73200 12 0.01058
59 3 1.51741 327.82300 12 0.01818
59 4 5.07099 1.40213 12 0.00000
59 5 5.21618 6.72947 12 0.00008
59 6 7.14756 3.70446 12 0.00002
59 7 8.61864 0.08185 12 0.00000
59 8 8.74486 3.01014 12 0.00002
59 9 10.53486 1.84502 12 0.00001
60 1 0.39985 752.58000 12 0.01863
60 2 1.05858 276.49400 12 0.00956
60 3 1.68627 180.54200 12 0.00986
60 4 5.08043 1.59917 12 0.00000
60 5 5.25596 7.42073 12 0.00009
60 6 7.12550 4.00695 12 0.00003
60 7 8.62083 0.07642 12 0.00000
60 8 8.75775 2.73596 12 0.00001
60 9 10.50866 1.91098 12 0.00001
61 1 0.47796 587.29800 12 0.01563
61 2 1.16336 221.27300 12 0.00753
61 3 1.85274 146.11800 12 0.00784
61 4 5.09069 1.78331 12 0.00001
61 5 5.29796 7.77357 12 0.00010
61 6 7.10157 4.31235 12 0.00003
61 7 8.62299 0.06754 12 0.00000
61 8 8.76998 2.40779 12 0.00001
61 9 10.48011 1.98328 12 0.00002
62 1 0.56158 323.66000 12 0.00916
62 2 1.26654 215.16900 12 0.00719
62 3 2.01654 134.94400 12 0.00711
62 4 5.10169 1.93511 12 0.00001
62 5 5.34173 8.09794 12 0.00011
62 6 7.07597 4.60032 12 0.00004
62 7 8.62506 0.05747 12 0.00000
62 8 8.78146 2.05108 12 0.00001
62 9 10.44936 2.18690 12 0.00002
63 1 0.65024 316.33200 12 0.00944
63 2 1.36797 229.85100 12 0.00754
63 3 2.17740 113.41400 12 0.00585
63 4 5.11338 2.09764 12 0.00001
63 5 5.38685 8.16528 12 0.00012
63 6 7.04878 4.87170 12 0.00004
63 7 8.62698 0.04723 12 0.00000
63 8 8.79204 1.68918 12 0.00001
63 9 10.41650 2.32294 12 0.00002
64 1 0.74349 292.19100 12 0.00912
64 2 1.46752 159.23000 12 0.00512
64 3 2.33510 111.87200 12 0.00564
64 4 5.12564 2.19200 12 0.00001
64 5 5.43293 7.88816 12 0.00011
