# 8x8x1 supercell
"q (normalized)" f1 f2 f3 f4 f5 f6 f7 f8 f9
0.63000 2.73451 2.80795 4.39502 5.36132 6.11115 6.49223 8.57363 8.92117 9.54216
0.64000 2.78763 2.83111 4.42533 5.36684 6.12069 6.48472 8.57021 8.92330 9.51770
0.65000 2.84015 2.85349 4.45396 5.37226 6.12954 6.47792 8.56682 8.92530 9.49355
0.66000 2.87511 2.89202 4.48092 5.37759 6.13772 6.47186 8.56347 8.92718 9.46973
0.67000 2.89596 2.94321 4.50621 5.38281 6.14520 6.46654 8.56016 8.92895 9.44628
0.68000 2.91606 2.99369 4.52987 5.38792 6.15200 6.46195 8.55689 8.93062 9.42324
0.69000 2.93542 3.04343 4.55191 5.39292 6.15810 6.45811 8.55366 8.93219 9.40065
0.70000 2.95405 3.09237 4.57238 5.39781 6.16351 6.45499 8.55049 8.93368 9.37854
0.71000 2.97196 3.14050 4.59131 5.40257 6.16825 6.45259 8.54736 8.93510 9.35694
0.72000 2.98916 3.18776 4.60875 5.40721 6.17231 6.45088 8.54428 8.93644 9.33588
0.73000 3.00566 3.23411 4.62476 5.41172 6.17570 6.44984 8.54125 8.93773 9.31539
0.74000 3.02147 3.27951 4.63938 5.41609 6.17845 6.44943 8.53828 8.93896 9.29551
0.75000 3.03661 3.32392 4.65267 5.42032 6.18055 6.44962 8.53535 8.94013 9.27625
0.76000 3.05109 3.36729 4.66472 5.42441 6.18204 6.45036 8.53247 8.94126 9.25765
0.77000 3.06491 3.40957 4.67557 5.42835 6.18293 6.45162 8.52964 8.94234 9.23973
0.78000 3.07810 3.45070 4.68530 5.43213 6.18326 6.45334 8.52687 8.94337 9.22251
0.79000 3.09064 3.49064 4.69399 5.43576 6.18304 6.45548 8.52415 8.94436 9.20600
0.80000 3.10257 3.52933 4.70170 5.43924 6.18232 6.45797 8.52148 8.94531 9.19022
0.81000 3.11388 3.56671 4.70851 5.44255 6.18114 6.46077 8.51888 8.94621 9.17519
0.82000 3.12459 3.60272 4.71449 5.44570 6.17953 6.46382 8.51635 8.94708 9.16093
0.83000 3.13469 3.63730 4.71972 5.44868 6.17755 6.46706 8.51387 8.94789 9.14742
0.84000 3.14421 3.67039 4.72425 5.45149 6.17524 6.47044 8.51148 8.94867 9.13470
0.85000 3.15313 3.70193 4.72816 5.45414 6.17265 6.47392 8.50917 8.94940 9.12275
0.86000 3.16147 3.73184 4.73151 5.45661 6.16984 6.47742 8.50695 8.95009 9.11159
0.87000 3.16923 3.76007 4.73436 5.45891 6.16687 6.48092 8.50483 8.95073 9.10121
0.88000 3.17642 3.78655 4.73677 5.46104 6.16380 6.48436 8.50281 8.95133 9.09162
0.89000 3.18303 3.81121 4.73879 5.46300 6.16068 6.48769 8.50091 8.95188 9.08282
0.90000 3.18906 3.83398 4.74047 5.46478 6.15757 6.49087 8.49913 8.95238 9.07480
0.91000 3.19452 3.85481 4.74186 5.46640 6.15455 6.49387 8.49749 8.95284 9.06756
0.92000 3.19941 3.87363 4.74299 5.46784 6.15165 6.49666 8.49600 8.95324 9.06109
0.93000 3.20372 3.89039 4.74390 5.46911 6.14895 6.49918 8.49465 8.95360 9.05540
0.94000 3.20746 3.90503 4.74462 5.47021 6.14649 6.50143 8.49347 8.95391 9.05048
0.95000 3.21063 3.91750 4.74519 5.47114 6.14433 6.50338 8.49245 8.95418 9.04632
0.96000 3.21322 3.92777 4.74562 5.47190 6.14249 6.50500 8.49161 8.95439 9.04292
0.97000 3.21524 3.93580 4.74594 5.47249 6.14103 6.50628 8.49094 8.95456 9.04029
0.98000 3.21668 3.94155 4.74616 5.47291 6.13996 6.50720 8.49047 8.95468 9.03840
0.99000 3.21755 3.94501 4.74628 5.47316 6.13931 6.50776 8.49018 8.95475 9.03728
1.00000 3.21784 3.94616 4.74632 5.47325 6.13909 6.50794 8.49009 8.95478 9.03690
